"Title","Genres","Description","GameFAQs_Reader_Rating","GameFAQs_Rating","MetaCritics_MetaScore","Developer","ReleaseDate","ReferenceURL",
"A.III: A-Ressha de Ikou III","Strategy,Breeding/Constructing","A.III: A-Ressha de Ikou III is a Strategy game, published by Artdink,which was released in Japan in 1993.","n/a","n/a","n/a","Artdink","Jun 11, 1993 ","http://www.gamefaqs.com/turbocd/589184-aiii-a-ressha-de-ikou-iii"
"The Addams Family","Action,Platformer,2D","The Addams Family is an Action game, developed by ICOM Simulations and published by Turbo Technologies, Inc.,which was released in 1991.","3.0","3.7","n/a","ICOM Simulations","1991 ","http://www.gamefaqs.com/turbocd/589185-the-addams-family"
"Advanced V.G.","Action,Fighting,2D","Advanced V.G. is an Action game, developed and published by TGL,which was released in Japan in 1994.","8.0","6.0","","","","http://www.gamefaqs.com/turbocd/589186-advanced-vg"
"Adventure Quiz Capcom World: Hatena no Daibouken","Miscellaneous,Trivia / Game Show","Adventure Quiz Capcom World: Hatena no Daibouken is a Miscellaneous game, developed by Alfa System and published by Hudson,which was released in Japan in 1992.","n/a","n/a","n/a","Alfa System","Jun 19, 1992 ","http://www.gamefaqs.com/turbocd/589188-adventure-quiz-capcom-world-hatena-no-daibouken"
"Ai Cho Aniki","Action,Shooter,Scrolling","Ai Cho Aniki is an Action game, developed by Bits Laboratory and published by NCS,which was released in Japan in 1995.","8.0","7.0","","","","http://www.gamefaqs.com/turbocd/589240-ai-cho-aniki"
"Akiyama Jin No Suugaku Mystery","Miscellaneous,Edutainment","Akiyama Jin No Suugaku Mystery is a Miscellaneous game, developed and published by NHK,which was released in Japan in 1994.","n/a","n/a","n/a","NHK","Dec 10, 1994 ","http://www.gamefaqs.com/turbocd/991430-akiyama-jin-no-suugaku-mystery"
"Akumajou Dracula X: Chi no Rondo","Action,General","Akumajou Dracula X: Chi no Rondo is an Action game, developed and published by Konami,which was released in Japan in 1993.","9.6","9.0","","","","http://www.gamefaqs.com/turbocd/589264-akumajou-dracula-x-chi-no-rondo"
"Alnam no Kiba: Shouzoku Juunishin-to Densetsu","Role-Playing,General","Alnam no Kiba: Shouzoku Juunishin-to Densetsu is a Role-Playing game, published by Right Stuff,which was released in Japan in 1994.","n/a","6.0","n/a","Right Stuff","Dec 22, 1994 ","http://www.gamefaqs.com/turbocd/589196-alnam-no-kiba-shouzoku-juunishin-to-densetsu"
"Alshark","Role-Playing,General","Alshark is a Role-Playing game, developed by Right Stuff and published by Victor Interactive Software,which was released in Japan in 1994.","n/a","10.0","n/a","Right Stuff","Aug 26, 1994 ","http://www.gamefaqs.com/turbocd/589190-alshark"
"Alzadick: Summer Carnival `92","Action,Shooter,Scrolling","Alzadick: Summer Carnival `92 is an Action game, published by Naxat Soft,which was released in Japan in 1992.","6.0","7.5","n/a","Naxat Soft","Jul 17, 1992 ","http://www.gamefaqs.com/turbocd/916111-alzadick-summer-carnival-92"
