"Title","Region","Genres","Description","GameFAQs_Reader_Rating","GameFAQs_Rating","MetaCritics_MetaScore","Developer","ReleaseDate","ReferenceURL"
"Galactic Pinball","US","Miscellaneous,Parlor,Pinball","Prepare to enter the vast expanse of the Milky Way. Put your pinball skills to an interstellar test with four incredible space tables.Blast your pinball at rotating planets and turn them into dust in the Cosmic world. Send your puck flying through galactic formations in the deep-space Colony. Defeat an evil skeleton and hit the ultimate UFO jackpot! Knock down multiple rings and destroy wicked assailants in an Alien place. Defy arduous obstacles and save the world from impending devastation!","8.0","7.0","","Intelligent Systems","August 1995 ","http://www.gamefaqs.com/virtualboy/563914-galactic-pinball"
"Golf","US","Sports,Traditional,Golf,Sim","Tee off for 18 holes of realistic 3-D links! Virtual Boy Golf elevates the game to an incredible new level!Determine your strategy as you ponder the conditions. Check your position and the distance to the pin. Select a club and adjust your swing. Consider the wind factor carefully or you could end up out of bounds! Each dimensional fairway provides harrowing hazards to challenge players of all handicaps. Swing into action and go for a hole in one!","6.0","6.1","","T&E Soft","November 1995 ","http://www.gamefaqs.com/virtualboy/563916-golf"
"T&E Virtual Golf","JP","Sports,Traditional,Golf,Sim","Tee off for 18 holes of realistic 3-D links! Virtual Boy Golf elevates the game to an incredible new level!Determine your strategy as you ponder the conditions. Check your position and the distance to the pin. Select a club and adjust your swing. Consider the wind factor carefully or you could end up out of bounds! Each dimensional fairway provides harrowing hazards to challenge players of all handicaps. Swing into action and go for a hole in one!","6.0","6.1","","T&E Soft","November 1995 ","http://www.gamefaqs.com/virtualboy/563916-golf"
"Innsmouth no Yakata","US","Action,General","Innsmouth no Yakata is an Action game, developed by Betop and published by I'Max,which was released in Japan in 1995.","3.0","4.5","","Betop","Oct 13, 1995 ","http://www.gamefaqs.com/virtualboy/579729-innsmouth-no-yakata"
"Jack Bros.","US","Action,General","The portal between Earth and another mysterious dimension has opened, and the intrepid Jack Brothers have come through for an adventure in our world. Having lost track of time, they now have only one hour to return to their home or be banished forever. Help them battle hoards of loathsome enemies through six electrifying 3-D levels, each with many floors to explore and conquer. This is one phenomenal adventure you can't afford to miss!","9.0","7.1","","ATLUS","October 1995 ","http://www.gamefaqs.com/virtualboy/563917-jack-bros"
"Jack Bros. no Airo de Hiihoo","JP","Action,General","The portal between Earth and another mysterious dimension has opened, and the intrepid Jack Brothers have come through for an adventure in our world. Having lost track of time, they now have only one hour to return to their home or be banished forever. Help them battle hoards of loathsome enemies through six electrifying 3-D levels, each with many floors to explore and conquer. This is one phenomenal adventure you can't afford to miss!","9.0","7.1","","ATLUS","October 1995 ","http://www.gamefaqs.com/virtualboy/563917-jack-bros"
"Jack Bros.","US","Action,General","The portal between Earth and another mysterious dimension has opened, and the intrepid Jack Brothers have come through for an adventure in our world. Having lost track of time, they now have only one hour to return to their home or be banished forever. Help them battle hoards of loathsome enemies through six electrifying 3-D levels, each with many floors to explore and conquer. This is one phenomenal adventure you can't afford to miss!","9.0","7.1","","ATLUS","October 1995 ","http://www.gamefaqs.com/virtualboy/563917-jack-bros"
"Jack Bros. no Airo de Hiihoo","JP","Action,General","The portal between Earth and another mysterious dimension has opened, and the intrepid Jack Brothers have come through for an adventure in our world. Having lost track of time, they now have only one hour to return to their home or be banished forever. Help them battle hoards of loathsome enemies through six electrifying 3-D levels, each with many floors to explore and conquer. This is one phenomenal adventure you can't afford to miss!","9.0","7.1","","ATLUS","October 1995 ","http://www.gamefaqs.com/virtualboy/563917-jack-bros"
"Mario Clash","US","Action,Platformer,2D","Mario finds himself pitted against a host of evil and nasty enemies. You must help him outwit the Spikes, Para-Goombahs, and other beasts and evils that lurk inside a tower that reaches to the clouds. After stunning a Koopa, he uses it as ammo against his enemies! The attaack is relentless!But watch out, there are also creatures made of fire and ice that must be avoided -- hazards at every turn. Even the narrow ledges on which Mario teeters and the pipes he races through must be traversed with caution!The pace gets hotter at each level, and the action jumps right out at you! Hold on! This 3-D Virtual Boy game offers a white-knuckled adventure that will keep you on the edge of your seat!","5.9","6.9","","Nintendo","October 1995 ","http://www.gamefaqs.com/virtualboy/563918-mario-clash"
"Mario's Tennis","US","Sports,Traditional,Tennis","Smashing tennis action with incredible depth on a realistic 3-D court! Experience the ultimate Virtual Boy sports game in either singles or doubles mode.","7.4","6.7","","TOSE","August 1995 ","http://www.gamefaqs.com/virtualboy/563919-marios-tennis"
