"Title","Region","Genres","Description","GameFAQs_Reader_Rating","GameFAQs_Rating","MetaCritics_MetaScore","Developer","ReleaseDate","ReferenceURL"
"AnimAction","US","Miscellaneous,General","AnimAction is a Miscellaneous game, developed and published by GCE,which was released in 1983.","n/a","n/a","n/a","GCE","1983 ","http://www.gamefaqs.com/vectrex/937684-animaction"
"Armor Attack","US","Action,General","Armor Attack is an Action game, developed and published by GCE,which was released in 1982.","7.0","7.8","n/a","GCE","1982 ","http://www.gamefaqs.com/vectrex/576744-armor-attack"
"Art Master","US","Miscellaneous,General","Art Master is a Miscellaneous game, developed and published by GCE,which was released in 1983.","n/a","n/a","n/a","GCE","1983 ","http://www.gamefaqs.com/vectrex/937685-art-master"
"Bedlam","US","Action,General","Face the toughest challenge yet: rid the infested earth colonies of the bio mechanical menace that threatens mankind's very existence. Take control of a team of crack military robots who know no remorse or mercy, and power your way through 25 massive levels of computer Bedlam!","6.0","6.5","n/a","GCE","1982 ","http://www.gamefaqs.com/vectrex/576745-bedlam"
"Berzerk","US","Action,General","Maneuver your humanoid through the electrified mazes of robot filled rooms. You many kill off the first group of robots but initial success does not mean survival...future groups begin firing at your! Added danger lurks when Evil Otto enters. He can jump the maze walls and squash you if you linger too long!","n/a","7.3","n/a","Western Technologies, Inc.","1982 ","http://www.gamefaqs.com/vectrex/576746-berzerk"
"Blitz!","US","Sports,Traditional,Football,Arcade","Blitz! is a Sports game, developed and published by GCE,which was released in 1982.","n/a","7.5","n/a","GCE","1982 ","http://www.gamefaqs.com/vectrex/576747-blitz"
"Clean Sweep","US","Action,General","Evil bank robbers have just blown your bank to smithereens. As bank president, you only hhhave a vacuum available to recover the money strewn among the rubble, before the thieves destroy you! The thieves get increasingly anxious, but for added challenge, turn off the lights of the bank's corridors and gather the money through a blind maze.","n/a","5.0","n/a","GCE","1982 ","http://www.gamefaqs.com/vectrex/924473-clean-sweep"
"Vectrex","US","Hardware,Console","Vectrex is a Hardware game, developed by GCE and published by Milton Bradley,which was released in 1982.","6.7","7.5","n/a","GCE","1982 ","http://www.gamefaqs.com/vectrex/916399-vectrex"
"Vectrex Hardware ","US","Hardware,Console","Vectrex is a Hardware game, developed by GCE and published by Milton Bradley,which was released in 1982.","6.7","7.5","n/a","GCE","1982 ","http://www.gamefaqs.com/vectrex/916399-vectrex"
"Vectrex Hardware ","EU","Hardware,Console","Vectrex is a Hardware game, developed by GCE and published by Milton Bradley,which was released in 1982.","6.7","7.5","n/a","GCE","1982 ","http://www.gamefaqs.com/vectrex/916399-vectrex"
