"Title","Region","Genres","Description","GameFAQs_Reader_Rating","GameFAQs_Rating","MetaCritics_MetaScore","Developer","ReleaseDate","ReferenceURL"
"Alchemist Marie & Elie: Futari no Atelier","US","Strategy,Breeding/Constructing","Alchemist Marie & Elie: Futari no Atelier is a Strategy game, developed by Gust and published by E3 Staff,which was released in Japan in 2001.","n/a","7.0","n/a","Gust","Oct 25, 2001 ","http://www.gamefaqs.com/wsc/581506-alchemist-marie-and-elie-futari-no-atelier"
"Another Heaven: Memory of Those Days","US","Adventure,General","Another Heaven: Memory of Those Days is an Adventure game, developed and published by Omega Micott,which was released in Japan in 2000.","n/a","n/a","n/a","Omega Micott","Dec 21, 2000 ","http://www.gamefaqs.com/wsc/579974-another-heaven-memory-of-those-days"
"Arc the Lad: Kijin Fukkatsu","US","Role-Playing,General","Arc the Lad: Kijin Fukkatsu is a Role-Playing game, developed by TOSE and published by Bandai,which was released in Japan in 2002.","10.0","8.0","n/a","TOSE","Jul4, 2002 ","http://www.gamefaqs.com/wsc/567546-arc-the-lad-kijin-fukkatsu"
"Battle Spirit: Digimon Frontier","US","Action,Fighting,2D","Battle Spirit: Digimon Frontier is an Action game, developed by Dimps Corporation and published by Bandai,which was released in Japan in 2002.","n/a","6.3","n/a","Dimps Corporation","Dec7, 2002 ","http://www.gamefaqs.com/wsc/583109-battle-spirit-digimon-frontier"
"Battle Spirit: Digimon Tamers","US","Action,General","Battle Spirit: Digimon Tamers is an Action game, developed by Dimps Corporation and published by Bandai,which was released in Japan in 2001.","3.0","6.6","n/a","Dimps Corporation","Oct6, 2001 ","http://www.gamefaqs.com/wsc/566006-battle-spirit-digimon-tamers"
"Battle Spirit: Digimon Tamers Ver 1.5","US","Action,General","Battle Spirit: Digimon Tamers Ver 1.5 is an Action game, developed by Dimps Corporation and published by Bandai,which was released in Japan in 2002.","n/a","7.8","n/a","Dimps Corporation","Apr 27, 2002 ","http://www.gamefaqs.com/wsc/578099-battle-spirit-digimon-tamers-ver-15"
"Blue Wing Blitz","US","Role-Playing,General","Blue Wing Blitz is a Role-Playing game, developed and published by SquareSoft,which was released in Japan in 2001.","8.0","6.0","n/a","SquareSoft","Jul5, 2001 ","http://www.gamefaqs.com/wsc/581503-blue-wing-blitz"
"Dark Eyes: BattleGate","US","Strategy,General","Dark Eyes: BattleGate is a Strategy game, developed by NexTech and published by Bandai,which was released in Japan in 2001.","n/a","n/a","n/a","NexTech","Mar 15, 2001 ","http://www.gamefaqs.com/wsc/580429-dark-eyes-battlegate"
"Dice de Chocobo","US","Miscellaneous,Board Games","Dice de Chocobo is a Miscellaneous game, developed and published by SquareSoft,which was cancelled before it was released.","","","","SquareSoft","Canceled ","http://www.gamefaqs.com/wsc/566010-dice-de-chocobo"
"Dicing Knight Period","US","Role-Playing,General","Dicing Knight Period is a Role-Playing game, developed by Platine Dispositif and published by Qute,which was released in Japan in 2004.","n/a","8.0","n/a","Platine Dispositif","May 31, 2004 ","http://www.gamefaqs.com/wsc/920960-dicing-knight-period"
"Digimon Adventure 02: D1 Tamers","US","Role-Playing,General","Digimon Adventure 02: D1 Tamers is a Role-Playing game, developed by Sims and published by Bandai,which was released in Japan in 2000.","6.0","8.7","n/a","Sims","Dec9, 2000 ","http://www.gamefaqs.com/wsc/579970-digimon-adventure-02-d1-tamers"
"Digimon Anode/Cathode Tamer: Veedramon Version","US","Miscellaneous,Compilation","Digimon Anode/Cathode Tamer: Veedramon Version is a Miscellaneous game, developed by Sims and published by Bandai,which was released in Asia in 2001.","n/a","8.0","n/a","Sims","Sep 18, 2001 ","http://www.gamefaqs.com/wsc/934313-digimon-anode-cathode-tamer-veedramon-version"
"Digimon Tamers: Brave Tamer","US","Role-Playing,General","Digimon Tamers: Brave Tamer is a Role-Playing game, published by Bandai,which was released in Japan in 2001.","7.0","7.0","n/a","Bandai","Dec 29, 2001 ","http://www.gamefaqs.com/wsc/580563-digimon-tamers-brave-tamer"
"Digimon Tamers: Digimon Action","US","Action,General","Digimon Tamers: Digimon Action is an Action game, developed and published by Bandai,which was cancelled before it was released.","","","","Bandai","Canceled ","http://www.gamefaqs.com/wsc/581507-digimon-tamers-digimon-action"
