"Title","Genres","Description","GameFAQs_Reader_Rating","GameFAQs_Rating","MetaCritics_MetaScore","Developer","ReleaseDate","ReferenceURL",
"'Aha! I Found It!' Hidden Object Game","Action,General","A hidden-object game for everyone has come to the WiiWare service. Try to find 12 particular items among a crowd of on-screen objects as fast as you can, from big fish to tiny earrings, easy-to-find items to well-hidden ones. Unlike most other hidden-object games, this one lets you play along with friends and family (additional Wii Remote controllers required) and compete to see who's best at finding the hidden objects in each stage. With 10 stages and more than 277 different items, there's plenty of searching fun to enjoy. Also, with items changing position each time you play, you can enjoy each stage again and again.","1.0","3.7","22","Ateam","Jan 25, 2010 ","http://www.gamefaqs.com/wii/979296-aha-i-found-it-hidden-object-game"
"AAA: El Videojuego","Action,Fighting,Wrestling","AAA: El Videojuego is an Action game, developed by Immersion Software & Graphics and published by Sabarasa Entertainment,which was cancelled before it was released.","","","","","","http://www.gamefaqs.com/wii/961093-aaa-el-videojuego"
"ABBA: You Can Dance","Miscellaneous,Rhythm,Dancing","ABBA created music that spanned generations and has inspired millions to sing and dance. ABBA You Can Dance features 26 ABBA songs, including all of the group’s biggest hits, such as &quot;Dancing Queen,&quot; &quot;Mamma Mia,&quot; &quot;Take a Chance on Me&quot; and &quot;Waterloo.&quot; The game's professionally choreographed routines and unique environments were inspired by the group’s music videos and live performances.","n/a","7.7","66","Ubisoft","Nov 15, 2011 ","http://www.gamefaqs.com/wii/640837-abba-you-can-dance"
"Imagine Champion Rider","Sports,Alternative,Horse Racing","Imagine Champion Rider is a Sports game, developed and published by Ubisoft,which was released in Europe in 2008.","n/a","3.7","n/a","Ubisoft","Oct 30, 2008 ","http://www.gamefaqs.com/wii/954419-imagine-champion-rider"
"AC/DC Live: Rock Band Track Pack","Miscellaneous,Rhythm,Music","AC/DC LIVE: Rock Band Track Pack is a fully-featured, standalone extension to the multi-million unit selling, genredefining, cultural phenomenons Rock Band and Rock Band 2, the ultimate social music game experiences. AC/DC Live lets you and your friends relive AC/DC's epic 1991 live performance at Donington, UK, through the eyes of Brian Johnson, Angus Young, Malcolm Young, Cliff Williams, and Chris Slade.","n/a","7.4","57","Harmonix Music Systems","Nov 16, 2008 ","http://www.gamefaqs.com/wii/954332-ac-dc-live-rock-band-track-pack"
"Academy of Champions: Soccer","Sports,Traditional,Soccer,Arcade","Brightfield Academy is every young soccer stars dreamland, filled with wild & beautiful environments, over-the-top animations, out of this world visual effects, and hilarious characters to interact with. Fulfill your dreams and team up with the worlds finest players, like worldwide soccer legend, Pele, and the greatest U.S. player of all-time, Mia Hamm. So pack your bagsits time to enroll yourself in a curriculum of outrageous matches, insane training drills, and nonstop fun at the Academy of Champions.","n/a","6.8","64","Ubisoft Vancouver","Nov3, 2009 ","http://www.gamefaqs.com/wii/960221-academy-of-champions-soccer"
"Academy of Champions: Soccer","Sports,Traditional,Soccer,Arcade","Brightfield Academy is every young soccer stars dreamland, filled with wild & beautiful environments, over-the-top animations, out of this world visual effects, and hilarious characters to interact with. Fulfill your dreams and team up with the worlds finest players, like worldwide soccer legend, Pele, and the greatest U.S. player of all-time, Mia Hamm. So pack your bagsits time to enroll yourself in a curriculum of outrageous matches, insane training drills, and nonstop fun at the Academy of Champions.","n/a","6.8","64","Ubisoft Vancouver","Nov3, 2009 ","http://www.gamefaqs.com/wii/960221-academy-of-champions-soccer"
"Action Girlz Racing","Driving,Racing,Kart","Action Girlz Racing puts you in the driving seat in a completely new and wonderful way! For the first time ever you can pick your favorite Action Girl and take to the roads to race around fairy-tale castles, holiday resorts and even through school corridors while the teachers aren't looking! Best of all are the Action Girlz themselves. Meet Kat, an action girl with no fear - she will take anything on! Latisha is so cool you have to check her for a pulse - nothing riles this girl! Bianca is all about being a professional - she has it all! The 'Action Girlz' are here, so grab your lipstick, start your engines and get ready to race!","n/a","1.0","8","Data Design Interactive","Jan 29, 2008 ","http://www.gamefaqs.com/wii/940582-action-girlz-racing"
"Magnetica Twist","Miscellaneous,Puzzle,General","The classic puzzle game Magnetica is now available on WiiWare , putting its own unique &quot;twist&quot; on the puzzle-game experience. You're surrounded by marbles, marching slowly but surely down a track. Use a launcher (piloted by a Mii of your choice) to shoot marbles with matching colors and wipe them out before they reach the end of the track. Control couldn't be simpler, as all you need to do is twist the Wii Remote controller to aim and press the A button to shoot. And the game play remains as addictive and deep as you've come to expect in Nintendo's puzzle games, with five varied play modes, advanced mechanics such as the ability to lob marbles, and a never-ending supply of combos. This definitely isn't your typical game of marbles.","n/a","6.7","70","Mitchell","Jun 30, 2008 ","http://www.gamefaqs.com/wii/946021-magnetica-twist"
"Active Life Explorer","Adventure,General","Jump into action as a fearless adventurer searching for treasure the world over. Explore an array of intriguing themed locales including dense twilight jungles, ancient ruins, lava-flooded caves, frozen ice packs and more each with their own traps, hazards and challenges. A veritable thrill-ride of activities will keep the whole family moving as they run across falling bridges, dodge perilous booby traps, escape from savage beasts, chase down bandits, and much more as they ride off into the sunset with a bounty of loot and rewards.","n/a","9.0","","","","http://www.gamefaqs.com/wii/997089-active-life-explorer"
"Active Life: Extreme Challenge","Sports,General","Jump on the mat, grab your Wii Remote, and challenge your whole body in 15 fun, adrenaline-fueled single and multiplayer activities like base jumping, rock climbing, skateboarding, BMX, street luge and wakeboarding!","n/a","6.9","56","TOSE","Aug 11, 2009 ","http://www.gamefaqs.com/wii/959888-active-life-extreme-challenge"
"Active Life: Magical Carnival","Miscellaneous,Party","Enjoy the theme park of your dreams without ever leaving home! Active Life: Magical Carnival lets players explore an array of intriguing themed carnival attractions including haunted houses, a lively circus tent, a pirate ship on the high-seas, a colorful parade and exciting fantasy zone. A veritable thrill-ride of activities will keep the whole family moving as they tame lions, steer pirate ships, explore haunted houses, ride a flying carpet and much more. Active Life: Magical Carnival includes over 20 action-packed attractions with support for up to 10 players in fun cooperative or competitive challenges with multiple difficulty options to cater to all skill levels.Party at the Park mode lets up to 10 players play in a series of individual or team-based activities that gives everyone a chance to get in on the action.One to four players can play through a Dream Attraction mode filled with dozens of themed carnival attractions including a: Circus, Parade, Horror, Pirate and Fantasy attractions. A versatile Free Play mode offers easy access to individual attractions. Finally, invite a friend to the carnival in the two-player Let’s Go Out mode.Send an invite to a Mii on your Mii Plaza to spend some quality time with that special someone.","n/a","n/a","","","","http://www.gamefaqs.com/wii/635503-active-life-magical-carnival"
"Active Life: Outdoor Challenge","Miscellaneous,Puzzle,General","ACTIVE LIFE: Outdoor Challenge introduces the Active Life mat, a durable peripheral that lets players control the on-screen action with their hands and feet when used in conjunction with a Wii Remote. The Active Life mat supports and encourages vigorous activities such as running and jumping, allowing for an energizing game experience. From kayaking to mine cart adventures and obstacle-filled races, players will be able to use a variety of hand gestures and foot movements across the Active Life mat&rsquo;s eight sensor inputs to control each event. Many of the game&rsquo;s events can be enjoyed in head-to-head or cooperative multiplayer modes with a single mat, letting players enjoy the rush of competition or the gratification of teamwork as they play together.","n/a","6.4","69","h.a.n.d. Inc.","Sep9, 2008 ","http://www.gamefaqs.com/wii/945858-active-life-outdoor-challenge"
"Adventure Double Wii Pack","Miscellaneous,Compilation","Adventure Double Wii Pack is a Miscellaneous game, published by Dreamcatcher,which was cancelled before it was released.","","","","","","http://www.gamefaqs.com/wii/978323-adventure-double-wii-pack"
"Adventure Island: The Beginning","Action,Platformer,2D","Adventure Island The Beginning comes to the Wii console with exciting new skills and elements. Learn how to use new skills while exploring Adventure Island from coast to coast. Search for Golden Melons hidden throughout the stages and mini-games. When obtaining Golden Melons, you'll be able to purchase various items to help you on your adventure. These items can increase your attack power or enable you to reach places you couldn't get to before. Fulfill certain requirements while playing in any of the modes to achieve a Master Higgins Feat and you'll be awarded a Master Higgins costume.","7.0","7.0","60","Hudson","May 25, 2009 ","http://www.gamefaqs.com/wii/959224-adventure-island-the-beginning"
"Adventure on Lost Island: Hidden Object Game","Miscellaneous,Puzzle,General","Discover hidden-object fun for kids and adults. Quickly find items in every stage to complete this adventure. Work together or compete in each stage to find items and help the game's hero find a way home. From seashells to sparkling jewels, do your best to find all of the hidden objects as fast as you can. During this adventure you will also confront ghosts and a dragon in action stages. Each stage can be played by up to four players for great gaming fun.","n/a","5.0","","","","http://www.gamefaqs.com/wii/604959-adventure-on-lost-island-hidden-object-game"
"Petz: Horsez 2","Miscellaneous,Virtual Life","This is the second game in the Petz Horsez series. Choose from five different horse breeds. As you raise your foal you learn to groom, play and feed him. Your horse develops and so will you allowing you both to complete at the highest level.","n/a","5.6","n/a","Phoenix Games Studio","Nov 14, 2007 ","http://www.gamefaqs.com/wii/939659-petz-horsez-2"
"The Adventures of Tintin: The Game","Adventure,General","Players will experience non-stop action and adventure as they investigate the mystery of a lifetime that may lead them to one of the greatest sunken treasures. But the quest won't be easy and players will need to join forces with the quick-witted dog Snowy and the grumpy Captain Haddock to beat greedy art collectors, kooky arms dealers, and other crooks to reveal the truth behind the Secret of the Unicorn ship.","8.0","8.0","","","","http://www.gamefaqs.com/wii/632837-the-adventures-of-tintin-the-game"
"The Adventures of Tintin: The Game","Adventure,General","Players will experience non-stop action and adventure as they investigate the mystery of a lifetime that may lead them to one of the greatest sunken treasures. But the quest won't be easy and players will need to join forces with the quick-witted dog Snowy and the grumpy Captain Haddock to beat greedy art collectors, kooky arms dealers, and other crooks to reveal the truth behind the Secret of the Unicorn ship.","8.0","8.0","","","","http://www.gamefaqs.com/wii/632837-the-adventures-of-tintin-the-game"
"AeroGuitar","Miscellaneous,Rhythm,Music","AeroGuitar is a Miscellaneous game, developed and published by Yudo,which was released in Japan in 2008.","n/a","1.5","n/a","Yudo","Sep 30, 2008 ","http://www.gamefaqs.com/wii/946813-aeroguitar"
"AFL","Sports,General","AFL is a Sports game, developed by Wicked Witch Software and published by Tru Blu,which was released in Australia in 2011.","n/a","8.0","","","","http://www.gamefaqs.com/wii/621431-afl"
"Agatha Adventure Double Wii Pack","Miscellaneous,Compilation","Agatha Adventure Double Wii Pack is a Miscellaneous game, developed and published by Dreamcatcher,which was cancelled before it was released.","","","","","","http://www.gamefaqs.com/wii/978324-agatha-adventure-double-wii-pack"
"Agatha Christie: And Then There Were None","Adventure,Third-Person,Modern","In the classic story And Then There Were None, 10 people, each with something to hide and something to fear, are invited to a lonely mansion on Shipwreck Island by a host who, surprisingly, fails to appear. On the island, they are cut off from everything but each other and the inescapable shadows of their own past lives. One by one, the guests share the darkest secrets of their wicked pasts. And one by one, they die... Agatha Christie fans, and newcomers to the genre, can look forward to a series of unexpected turns; although the storyline stays true to the original concept, players will encounter new plot twists. The first comes in the form of an 11th character, the player, a boatman who brings the others to the island and then is trapped there himself. To save the lives of the intended victims, the player must unravel the motives behind the murders and uncover the identity of the killer. If successful, he will spare not only the lives of the remaining guests, but also his own.","8.5","6.5","50","AWE Games","Feb 25, 2008 ","http://www.gamefaqs.com/wii/938684-agatha-christie-and-then-there-were-none"
"Agatha Christie: Evil Under the Sun","Adventure,Third-Person,Modern","Famous detective Hercule Poirot is back in typical style, turning up at just the right time to begin an investigation into the murder of a famous actress during what should have been the start of a relaxing holiday.Players will take on the role of Hercule Poirot to scour a stunning tropical island for clues and delve deeper into the mysterious relationships between over 20 unique characters to search out the killer...","5.0","6.5","46","AWE Games","Nov 19, 2008 ","http://www.gamefaqs.com/wii/954043-agatha-christie-evil-under-the-sun"
"Agent Hugo: Hula Holiday","Action,Platformer,3D","Agent Hugo: Hula Holiday is an Action game, developed and published by NDS Software,which was released in Europe in 2008.","n/a","n/a","n/a","NDS Software","Dec6, 2008 ","http://www.gamefaqs.com/wii/958037-agent-hugo-hula-holiday"
"Agent Hugo: Lemoon Twist","Action,Platformer,3D","Agent Hugo: Lemoon Twist is an Action game, developed by Coyote Console and published by ITE Media,which was released in Europe in 2008.","n/a","4.3","n/a","Coyote Console","May 29, 2008 ","http://www.gamefaqs.com/wii/958038-agent-hugo-lemoon-twist"
"Airport Mania: First Flight","Simulation,Flight,Civilian Plane","Pack your bags for a trip through the skies in Airport Mania. Travel through eight amusing airports while you land a variety of planes, purchase upgrades and avoid delays. Stay on your toes, as some planes carry precious cargo and will need to land in a hurry, while others might need a trip to the repair shop. But, with good planning, you're sure to make it to the gate on time. With unique challenges, whimsical characters and fun that'll put a smile on your face, Airport Mania is one flight you can't miss.","n/a","7.4","","","","http://www.gamefaqs.com/wii/610211-airport-mania-first-flight"
"Akko de Pon! Ikasama Hourouki","Miscellaneous,Board Games","Akko de Pon! Ikasama Hourouki is a Miscellaneous game, developed and published by Success,which was released in Japan in 2008.","n/a","n/a","n/a","Success","Jul3, 2008 ","http://www.gamefaqs.com/wii/945684-akko-de-pon-ikasama-hourouki"
"Castlevania Judgment","Action,Fighting,3D","The battle between good and evil continues with Castlevania Judgment, the first Castlevania title for the Wii. Castlevania Judgment brings together the many generations of heroic vampire hunters, including the fearsome Belmont clan, as well as Draculas most formidable allies, and pits them against one another in the first Castlevania fighting game ever created. Choose sides from a collection of 14 battle-tested warriors in a clash of epic proportions that will span the depths of time.","5.8","7.0","49","Eighting","Nov 18, 2008 ","http://www.gamefaqs.com/wii/950179-castlevania-judgment"
"Aladdin Magic Racer","Driving,General","Have you ever dreamed of flying a magic carpet through wild race tracks in the midst of scenery inspired by the most beautiful places in the universe? Then it's time to take the controls!","n/a","1.0","n/a","Red Wagon Games","August 2011 ","http://www.gamefaqs.com/wii/626240-aladdin-magic-racer"
