"releaseID","romID","releaseTitleName","regionLocalizedID","TEMPregionLocalizedName","TEMPsystemShortName","TEMPsystemName","releaseCoverFront","releaseCoverBack","releaseCoverCart","releaseCoverDisc","releaseDescription","releaseDeveloper","releasePublisher","releaseGenre","releaseDate","releaseReferenceURL"
17254,15779,"32X Sample Program: PWM Sound Demo",21,"USA","32X","Sega 32X","","","","","","","","","",""
17255,15780,"After Burner Complete",7,"Europe","32X","Sega 32X","","","","","","","","","",""
17256,15781,"After Burner Complete",13,"Japan","32X","Sega 32X","","","","","","","","","",""
17257,15781,"After Burner",21,"USA","32X","Sega 32X","","","","","","","","","",""
17258,15782,"The Amazing Spider-Man: Web of Fire",21,"USA","32X","Sega 32X","","","","","","","","","",""
17259,15783,"BC Racers",21,"USA","32X","Sega 32X","","","","","","","","","",""
17260,15784,"Blackthorne",21,"USA","32X","Sega 32X","","","","","","","","","",""
17261,15785,"Brutal Unleashed: Above the Claw",21,"USA","32X","Sega 32X","","","","","","","","","",""
17262,15786,"Chaotix",13,"Japan","32X","Sega 32X","","","","","","","","","",""
17263,15786,"Knuckles' Chaotix",21,"USA","32X","Sega 32X","","","","","","","","","",""
17264,15787,"Cosmic Carnage",7,"Europe","32X","Sega 32X","","","","","","","","","",""
17265,15788,"Cyber Brawl",13,"Japan","32X","Sega 32X","","","","","","","","","",""
17266,15788,"Cosmic Carnage",21,"USA","32X","Sega 32X","","","","","","","","","",""
17267,15789,"Darxide",7,"Europe","32X","Sega 32X","","","","","","","","","",""
17268,15790,"Doom",13,"Japan","32X","Sega 32X","","","","","","","","","",""
17269,15790,"Doom",21,"USA","32X","Sega 32X","","","","","","","","","",""
17270,15791,"Doom",7,"Europe","32X","Sega 32X","","","","","","","","","",""
17271,15792,"ECCO the Dolphin CinePak Demo",13,"Japan","32X","Sega 32X","","","","","","","","","",""
17272,15792,"ECCO the Dolphin CinePak Demo",21,"USA","32X","Sega 32X","","","","","","","","","",""
17273,15793,"FIFA Soccer '96",7,"Europe","32X","Sega 32X","","","","","","","","","",""
17274,15794,"Golf Magazine 36 Great Holes Starring Fred Couples",7,"Europe","32X","Sega 32X","","","","","","","","","",""
17275,15795,"Golf Magazine 36 Great Holes Starring Fred Couples",13,"Japan","32X","Sega 32X","","","","","","","","","",""
17276,15795,"Golf Magazine 36 Great Holes Starring Fred Couples",21,"USA","32X","Sega 32X","","","","","","","","","",""
17277,15796,"Knuckles' Chaotix",7,"Europe","32X","Sega 32X","","","","","","","","","",""
