"releaseID","romID","releaseTitleName","regionLocalizedID","TEMPregionLocalizedName","TEMPsystemShortName","TEMPsystemName","releaseCoverFront","releaseCoverBack","releaseCoverCart","releaseCoverDisc","releaseDescription","releaseDeveloper","releasePublisher","releaseGenre","releaseDate","releaseReferenceURL"
14117,13329,"Ace of Aces",7,"Europe",7800,"Atari 7800","","","","","","","","","",""
14118,13330,"Ace of Aces",21,"USA",7800,"Atari 7800","","","","","","","","","",""
14119,13331,"Alien Brigade",7,"Europe",7800,"Atari 7800","","","","","","","","","",""
14120,13332,"Alien Brigade",21,"USA",7800,"Atari 7800","","","","","","","","","",""
14121,13333,"Asteroids",21,"USA",7800,"Atari 7800","","","","","","","","","",""
14122,13334,"Ballblazer",7,"Europe",7800,"Atari 7800","","","","","","","","","",""
14123,13335,"Ballblazer",21,"USA",7800,"Atari 7800","","","","","","","","","",""
14124,13336,"Barnyard Blaster",7,"Europe",7800,"Atari 7800","","","","","","","","","",""
14125,13337,"Barnyard Blaster",21,"USA",7800,"Atari 7800","","","","","","","","","",""
14126,13338,"Baseball",7,"Europe",7800,"Atari 7800","","","","","","","","","",""
14127,13339,"Basketbrawl",21,"USA",7800,"Atari 7800","","","","","","","","","",""
14128,13340,"Basketbrawl",7,"Europe",7800,"Atari 7800","","","","","","","","","",""
14129,13341,"Centipede",7,"Europe",7800,"Atari 7800","","","","","","","","","",""
14130,13342,"Centipede",21,"USA",7800,"Atari 7800","","","","","","","","","",""
14131,13343,"Choplifter!",7,"Europe",7800,"Atari 7800","","","","","","","","","",""
14132,13344,"Choplifter!",21,"USA",7800,"Atari 7800","","","","","","","","","",""
14133,13345,"Commando",7,"Europe",7800,"Atari 7800","","","","","","","","","",""
14134,13346,"Commando",21,"USA",7800,"Atari 7800","","","","","","","","","",""
14135,13347,"Crack'ed",7,"Europe",7800,"Atari 7800","","","","","","","","","",""
14136,13348,"Crack'ed",21,"USA",7800,"Atari 7800","","","","","","","","","",""
14137,13349,"Crossbow",7,"Europe",7800,"Atari 7800","","","","","","","","","",""
14138,13350,"Crossbow",21,"USA",7800,"Atari 7800","","","","","","","","","",""
14139,13351,"Dark Chambers",21,"USA",7800,"Atari 7800","","","","","","","","","",""
14140,13352,"Dark Chambers",7,"Europe",7800,"Atari 7800","","","","","","","","","",""
14141,13353,"Desert Falcon",7,"Europe",7800,"Atari 7800","","","","","","","","","",""
14142,13354,"Desert Falcon",21,"USA",7800,"Atari 7800","","","","","","","","","",""
14143,13355,"Dig Dug",7,"Europe",7800,"Atari 7800","","","","","","","","","",""
14144,13356,"Dig Dug",21,"USA",7800,"Atari 7800","","","","","","","","","",""
14145,13357,"Donkey Kong",21,"USA",7800,"Atari 7800","","","","","","","","","",""
14146,13358,"Donkey Kong",7,"Europe",7800,"Atari 7800","","","","","","","","","",""
14147,13359,"Donkey Kong Junior",7,"Europe",7800,"Atari 7800","","","","","","","","","",""
14148,13360,"Donkey Kong Junior",21,"USA",7800,"Atari 7800","","","","","","","","","",""
14149,13361,"Double Dragon",7,"Europe",7800,"Atari 7800","","","","","","","","","",""
14150,13362,"Double Dragon",21,"USA",7800,"Atari 7800","","","","","","","","","",""
14151,13363,"F-18 Hornet",7,"Europe",7800,"Atari 7800","","","","","","","","","",""
14152,13364,"F-18 Hornet",21,"USA",7800,"Atari 7800","","","","","","","","","",""
14153,13365,"Fatal Run",21,"USA",7800,"Atari 7800","","","","","","","","","",""
14154,13366,"Fatal Run",7,"Europe",7800,"Atari 7800","","","","","","","","","",""
14155,13367,"Fight Night",7,"Europe",7800,"Atari 7800","","","","","","","","","",""
14156,13368,"Fight Night",21,"USA",7800,"Atari 7800","","","","","","","","","",""
14157,13369,"Food Fight",7,"Europe",7800,"Atari 7800","","","","","","","","","",""
14158,13370,"Food Fight",21,"USA",7800,"Atari 7800","","","","","","","","","",""
14159,13371,"Galaga",7,"Europe",7800,"Atari 7800","","","","","","","","","",""
14160,13372,"Galaga",21,"USA",7800,"Atari 7800","","","","","","","","","",""
14161,13373,"Hat Trick",21,"USA",7800,"Atari 7800","","","","","","","","","",""
14162,13374,"Hat Trick",7,"Europe",7800,"Atari 7800","","","","","","","","","",""
14163,13375,"Ikari Warriors",7,"Europe",7800,"Atari 7800","","","","","","","","","",""
