"releaseID","romID","releaseTitleName","regionLocalizedID","TEMPregionLocalizedName","TEMPsystemShortName","TEMPsystemName","releaseCoverFront","releaseCoverBack","releaseCoverCart","releaseCoverDisc","releaseDescription","releaseDeveloper","releasePublisher","releaseGenre","releaseDate","releaseReferenceURL"
14775,13801,"2010: The Graphic Action Game",7,"Europe","ColecoVision","Coleco ColecoVision","","","","","","","","","",""
14776,13801,"2010: The Graphic Action Game",21,"USA","ColecoVision","Coleco ColecoVision","","","","","","","","","",""
14777,13802,"Adam's Musicbox Demo",21,"USA","ColecoVision","Coleco ColecoVision","","","","","","","","","",""
14778,13803,"Alcazar: The Forgotten Fortress",21,"USA","ColecoVision","Coleco ColecoVision","","","","","","","","","",""
14779,13804,"Alphabet Zoo",21,"USA","ColecoVision","Coleco ColecoVision","","","","","","","","","",""
14780,13805,"Amazing Bumpman",21,"USA","ColecoVision","Coleco ColecoVision","","","","","","","","","",""
14781,13806,"Antarctic Adventure",7,"Europe","ColecoVision","Coleco ColecoVision","","","","","","","","","",""
14782,13806,"Antarctic Adventure",21,"USA","ColecoVision","Coleco ColecoVision","","","","","","","","","",""
14783,13807,"Aquattack",21,"USA","ColecoVision","Coleco ColecoVision","","","","","","","","","",""
14784,13808,"Artillery Duel",21,"USA","ColecoVision","Coleco ColecoVision","","","","","","","","","",""
14785,13809,"BC's Quest for Tires",7,"Europe","ColecoVision","Coleco ColecoVision","","","","","","","","","",""
14786,13809,"BC's Quest for Tires",21,"USA","ColecoVision","Coleco ColecoVision","","","","","","","","","",""
14787,13810,"BC's Quest for Tires II: Grog's Revenge",7,"Europe","ColecoVision","Coleco ColecoVision","","","","","","","","","",""
14788,13810,"BC's Quest for Tires II: Grog's Revenge",21,"USA","ColecoVision","Coleco ColecoVision","","","","","","","","","",""
14789,13811,"BC's Quest for Tires II: Grog's Revenge",7,"Europe","ColecoVision","Coleco ColecoVision","","","","","","","","","",""
14790,13811,"BC's Quest for Tires II: Grog's Revenge",21,"USA","ColecoVision","Coleco ColecoVision","","","","","","","","","",""
14791,13812,"Beamrider",21,"USA","ColecoVision","Coleco ColecoVision","","","","","","","","","",""
14792,13813,"Blockade Runner",21,"USA","ColecoVision","Coleco ColecoVision","","","","","","","","","",""
14793,13814,"Boulder Dash",21,"USA","ColecoVision","Coleco ColecoVision","","","","","","","","","",""
14794,13815,"Brain Strainers",7,"Europe","ColecoVision","Coleco ColecoVision","","","","","","","","","",""
14795,13815,"Brain Strainers",21,"USA","ColecoVision","Coleco ColecoVision","","","","","","","","","",""
14796,13816,"Buck Rogers: Planet Of Zoom",7,"Europe","ColecoVision","Coleco ColecoVision","","","","","","","","","",""
14797,13816,"Buck Rogers: Planet Of Zoom",21,"USA","ColecoVision","Coleco ColecoVision","","","","","","","","","",""
14798,13817,"Bump 'N' Jump",7,"Europe","ColecoVision","Coleco ColecoVision","","","","","","","","","",""
