"releaseID","romID","releaseTitleName","regionLocalizedID","TEMPregionLocalizedName","TEMPsystemShortName","TEMPsystemName","releaseCoverFront","releaseCoverBack","releaseCoverCart","releaseCoverDisc","releaseDescription","releaseDeveloper","releasePublisher","releaseGenre","releaseDate","releaseReferenceURL"
2705,2654,"Adian no Tsue",13,"Japan","FDS","Nintendo Famicom Disk System","","","","","","","","","",""
2706,2655,"Ai Senshi Nicol",13,"Japan","FDS","Nintendo Famicom Disk System","","","","","","","","","",""
2707,2656,"Aki to Tsukasa no Fushigi no Kabe",13,"Japan","FDS","Nintendo Famicom Disk System","","","","","","","","","",""
2708,2657,"Akumajou Dracula",13,"Japan","FDS","Nintendo Famicom Disk System","","","","","","","","","",""
2709,2658,"Akumajou Dracula",13,"Japan","FDS","Nintendo Famicom Disk System","","","","","","","","","",""
2710,2659,"Akumajou Dracula",13,"Japan","FDS","Nintendo Famicom Disk System","","","","","","","","","",""
2711,2660,"Aliens: Alien 2",13,"Japan","FDS","Nintendo Famicom Disk System","","","","","","","","","",""
2712,2661,"All Night Nippon Super Mario Brothers",13,"Japan","FDS","Nintendo Famicom Disk System","","","","","","","","","",""
2713,2662,"Apple Town Monogatari: Little Computer People",13,"Japan","FDS","Nintendo Famicom Disk System","","","","","","","","","",""
2714,2663,"Armana no Kiseki",13,"Japan","FDS","Nintendo Famicom Disk System","","","","","","","","","",""
2715,2664,"Aspic: Majaou no Noroi",13,"Japan","FDS","Nintendo Famicom Disk System","","","","","","","","","",""
2716,2665,"Big Challenge! Go! Go! Bowling",13,"Japan","FDS","Nintendo Famicom Disk System","","","","","","","","","",""
2717,2666,"Big Challenge! Gun Fighter",13,"Japan","FDS","Nintendo Famicom Disk System","","","","","","","","","",""
2718,2667,"Big Challenge! Juudou Senshuken",13,"Japan","FDS","Nintendo Famicom Disk System","","","","","","","","","",""
2719,2668,"Bio Miracle Bokutte Upa",13,"Japan","FDS","Nintendo Famicom Disk System","","","","","","","","","",""
2720,2669,"Bishoujo Control",13,"Japan","FDS","Nintendo Famicom Disk System","","","","","","","","","",""
2721,2670,"Bishoujo Hanafuda Club Vol.1: Oichokabu Hen",13,"Japan","FDS","Nintendo Famicom Disk System","","","","","","","","","",""
2722,2671,"Bishoujo Hanafuda Club Vol.2: Koikoi Bakappana Hen",13,"Japan","FDS","Nintendo Famicom Disk System","","","","","","","","","",""
2723,2672,"Bishoujo Kachinuki Renju: Gomoku Narabe",13,"Japan","FDS","Nintendo Famicom Disk System","","","","","","","","","",""
2724,2673,"Bishoujo Mahjong Club",13,"Japan","FDS","Nintendo Famicom Disk System","","","","","","","","","",""
2725,2674,"Bishoujo Sexy Derby",13,"Japan","FDS","Nintendo Famicom Disk System","","","","","","","","","",""
2726,2675,"Bishoujo Sexy Puzzle",13,"Japan","FDS","Nintendo Famicom Disk System","","","","","","","","","",""
2727,2676,"Bishoujo Sexy Slot",13,"Japan","FDS","Nintendo Famicom Disk System","","","","","","","","","",""
2728,2677,"Bishoujo SF Alien Battle",13,"Japan","FDS","Nintendo Famicom Disk System","","","","","","","","","",""
2729,2678,"Bishoujo Shashinkan: Moving School",13,"Japan","FDS","Nintendo Famicom Disk System","","","","","","","","","",""
2730,2679,"Bishoujo Shashinkan: Studio Cut",13,"Japan","FDS","Nintendo Famicom Disk System","","","","","","","","","",""
2731,2680,"Bodycon Quest I: Abakareshi Musume Tachi",13,"Japan","FDS","Nintendo Famicom Disk System","","","","","","","","","",""
2732,2681,"Chitei Tairiku Orudoora",13,"Japan","FDS","Nintendo Famicom Disk System","","","","","","","","","",""
2733,2682,"Cocona World",13,"Japan","FDS","Nintendo Famicom Disk System","","","","","","","","","",""
2734,2683,"Comic Sakka Series Touma Senki #1: Mashoujo Gakuen Evil",13,"Japan","FDS","Nintendo Famicom Disk System","","","","","","","","","",""
2735,2684,"Comic Sakka Series Touma Senki #2: Mermaid no Gyakushuu",13,"Japan","FDS","Nintendo Famicom Disk System","","","","","","","","","",""
2736,2685,"Comic Sakka Series Touma Senki #3: Ryuujin Sensei Kikiippatsu",13,"Japan","FDS","Nintendo Famicom Disk System","","","","","","","","","",""
2737,2686,"Comic Sakka Series Touma Senki #4: Tenkuu Ryuumaou Fukkatsu",13,"Japan","FDS","Nintendo Famicom Disk System","","","","","","","","","",""
2738,2687,"Comic Sakka Series Touma Senki #5: Youjuu Rudo no Chousen",13,"Japan","FDS","Nintendo Famicom Disk System","","","","","","","","","",""
2739,2688,"Date de Blackjack",13,"Japan","FDS","Nintendo Famicom Disk System","","","","","","","","","",""
2740,2689,"Deep Dungeon: Madou Senki",13,"Japan","FDS","Nintendo Famicom Disk System","","","","","","","","","",""
2741,2690,"Deep Dungeon II: Yuushi no Monshou",13,"Japan","FDS","Nintendo Famicom Disk System","","","","","","","","","",""
2742,2691,"Deep Dungeon II: Yuushi no Monshou",13,"Japan","FDS","Nintendo Famicom Disk System","","","","","","","","","",""
2743,2692,"Dirty Pair: Project Eden",13,"Japan","FDS","Nintendo Famicom Disk System","","","","","","","","","",""
2744,2693,"Disk Hacker: Version 1.0",13,"Japan","FDS","Nintendo Famicom Disk System","","","","","","","","","",""
2745,2694,"Disk Hacker: Version 1.2",13,"Japan","FDS","Nintendo Famicom Disk System","","","","","","","","","",""
2746,2695,"Disk Hacker: Version 1.3",13,"Japan","FDS","Nintendo Famicom Disk System","","","","","","","","","",""
2747,2696,"Disk Hacker II: Copy Plus 3",13,"Japan","FDS","Nintendo Famicom Disk System","","","","","","","","","",""
2748,2697,"Disk Keeper",13,"Japan","FDS","Nintendo Famicom Disk System","","","","","","","","","",""
2749,2698,"Donkey Kong",13,"Japan","FDS","Nintendo Famicom Disk System","","","","","","","","","",""
2750,2699,"Donkey Kong Jr.",13,"Japan","FDS","Nintendo Famicom Disk System","","","","","","","","","",""
2751,2700,"Dr. Chaos: Jigoku no Tobira",13,"Japan","FDS","Nintendo Famicom Disk System","","","","","","","","","",""
2752,2701,"Dracula II: Noroi no Fuuin",13,"Japan","FDS","Nintendo Famicom Disk System","","","","","","","","","",""
2753,2702,"Druid: Kyoufu no Tobira",13,"Japan","FDS","Nintendo Famicom Disk System","","","","","","","","","",""
2754,2703,"Egger Land",13,"Japan","FDS","Nintendo Famicom Disk System","","","","","","","","","",""
2755,2704,"Electrician",13,"Japan","FDS","Nintendo Famicom Disk System","","","","","","","","","",""
2756,2705,"Emi-chan no Moero Yakyuuken!",13,"Japan","FDS","Nintendo Famicom Disk System","","","","","","","","","",""
2757,2706,"Esper Dream",13,"Japan","FDS","Nintendo Famicom Disk System","","","","","","","","","",""
2758,2707,"Esper Dream",13,"Japan","FDS","Nintendo Famicom Disk System","","","","","","","","","",""
2759,2708,"Exciting Baseball",13,"Japan","FDS","Nintendo Famicom Disk System","","","","","","","","","",""
2760,2709,"Exciting Basket",13,"Japan","FDS","Nintendo Famicom Disk System","","","","","","","","","",""
2761,2710,"Exciting Billiard",13,"Japan","FDS","Nintendo Famicom Disk System","","","","","","","","","",""
2762,2711,"Exciting Soccer: Konami Cup",13,"Japan","FDS","Nintendo Famicom Disk System","","","","","","","","","",""
2763,2712,"Fairy Pinball: Yousei Tachi no Pinball",13,"Japan","FDS","Nintendo Famicom Disk System","","","","","","","","","",""
2764,2713,"Falsion",13,"Japan","FDS","Nintendo Famicom Disk System","","","","","","","","","",""
2765,2714,"Famicom Grand Prix II: 3D Hot Rally",13,"Japan","FDS","Nintendo Famicom Disk System","","","","","","","","","",""
2766,2715,"Family Computer Golf Japan Course",13,"Japan","FDS","Nintendo Famicom Disk System","","","","","","","","","",""
2767,2716,"Family Computer Golf Special Course",13,"Japan","FDS","Nintendo Famicom Disk System","","","","","","","","","",""
2768,2717,"Family Computer Golf Tournament: Japan Course",13,"Japan","FDS","Nintendo Famicom Disk System","","","","","","","","","",""
2769,2718,"Family Computer Golf U.S. Course",13,"Japan","FDS","Nintendo Famicom Disk System","","","","","","","","","",""
2770,2719,"Family Computer Othello",13,"Japan","FDS","Nintendo Famicom Disk System","","","","","","","","","",""
2771,2720,"Final Commando: Akai Yousai",13,"Japan","FDS","Nintendo Famicom Disk System","","","","","","","","","",""
2772,2721,"Fire Rock",13,"Japan","FDS","Nintendo Famicom Disk System","","","","","","","","","",""
2773,2722,"FMC Disk Card Checker Ver 1.3",13,"Japan","FDS","Nintendo Famicom Disk System","","","","","","","","","",""
2774,2723,"Fruits Mahjong 1 Disk #1: Dai H Taikai",13,"Japan","FDS","Nintendo Famicom Disk System","","","","","","","","","",""
2775,2724,"Fruits Mahjong 2 Disk #2: Tokimeki Gals",13,"Japan","FDS","Nintendo Famicom Disk System","","","","","","","","","",""
2776,2725,"Fruits Mahjong 2 Disk #3: Yonin to Dai H Taikai",13,"Japan","FDS","Nintendo Famicom Disk System","","","","","","","","","",""
2777,2726,"Fruits Mahjong 3 Disk #4: Yonin no Tenshi Tachi",13,"Japan","FDS","Nintendo Famicom Disk System","","","","","","","","","",""
2778,2727,"Fruits Mahjong 3 Disk #5: Tottemo H na Gogo",13,"Japan","FDS","Nintendo Famicom Disk System","","","","","","","","","",""
2779,2728,"Fruits Mahjong 4 Disk #6: Bishoujo Connection",13,"Japan","FDS","Nintendo Famicom Disk System","","","","","","","","","",""
2780,2729,"Fruits Mahjong 4 Disk #7: Daitan H na Hirusagari",13,"Japan","FDS","Nintendo Famicom Disk System","","","","","","","","","",""
2781,2730,"Game no Tatsujin: Money Wars",13,"Japan","FDS","Nintendo Famicom Disk System","","","","","","","","","",""
2782,2731,"Ginga Denshou: Galaxy Odyssey",13,"Japan","FDS","Nintendo Famicom Disk System","","","","","","","","","",""
2783,2732,"Golf",13,"Japan","FDS","Nintendo Famicom Disk System","","","","","","","","","",""
2784,2733,"Golf",13,"Japan","FDS","Nintendo Famicom Disk System","","","","","","","","","",""
2785,2734,"The Golf: Bishoujo Classic",13,"Japan","FDS","Nintendo Famicom Disk System","","","","","","","","","",""
2786,2735,"Hao-kun no Fushigi na Tabi",13,"Japan","FDS","Nintendo Famicom Disk System","","","","","","","","","",""
2787,2736,"Hayama Reiko no Date de Blackjack",13,"Japan","FDS","Nintendo Famicom Disk System","","","","","","","","","",""
2788,2737,"Hikari Shinwa: Palthena no Kagami",13,"Japan","FDS","Nintendo Famicom Disk System","","","","","","","","","",""
2789,2738,"Ice Hockey",13,"Japan","FDS","Nintendo Famicom Disk System","","","","","","","","","",""
2790,2739,"Idol Hotline: Nakayama Miho no Tokimeki High School",13,"Japan","FDS","Nintendo Famicom Disk System","","","","","","","","","",""
2791,2740,"Jingorou",13,"Japan","FDS","Nintendo Famicom Disk System","","","","","","","","","",""
2792,2741,"Kalin no Tsurugi",13,"Japan","FDS","Nintendo Famicom Disk System","","","","","","","","","",""
2793,2742,"Kamen Rider Black: Taiketsu Shadow Moon",13,"Japan","FDS","Nintendo Famicom Disk System","","","","","","","","","",""
2794,2743,"Karate Champ",13,"Japan","FDS","Nintendo Famicom Disk System","","","","","","","","","",""
2795,2744,"Kick Challenger Air Foot: Yasai no Kuni no Ashi Senshi",13,"Japan","FDS","Nintendo Famicom Disk System","","","","","","","","","",""
2796,2745,"Kieta Princess",13,"Japan","FDS","Nintendo Famicom Disk System","","","","","","","","","",""
2797,2746,"Kind Gal's",13,"Japan","FDS","Nintendo Famicom Disk System","","","","","","","","","",""
2798,2747,"Knight Move",13,"Japan","FDS","Nintendo Famicom Disk System","","","","","","","","","",""
2799,2748,"Kobayashi Hitomi no Hold Up",13,"Japan","FDS","Nintendo Famicom Disk System","","","","","","","","","",""
2800,2749,"Kobayashi Hitomi Shocking Tennis",13,"Japan","FDS","Nintendo Famicom Disk System","","","","","","","","","",""
2801,2750,"Konamic Ice Hockey",13,"Japan","FDS","Nintendo Famicom Disk System","","","","","","","","","",""
