"releaseID","romID","releaseTitleName","regionLocalizedID","TEMPregionLocalizedName","TEMPsystemShortName","TEMPsystemName","releaseCoverFront","releaseCoverBack","releaseCoverCart","releaseCoverDisc","releaseDescription","releaseDeveloper","releasePublisher","releaseGenre","releaseDate","releaseReferenceURL"
6355,5814,"007: Everything or Nothing",13,"Japan","GBA","Nintendo Game Boy Advance","","","","","","","","","",""
6356,5815,"007: Everything or Nothing",7,"Europe","GBA","Nintendo Game Boy Advance","","","","","","","","","",""
6357,5815,"007: Everything or Nothing",21,"USA","GBA","Nintendo Game Boy Advance","","","","","","","","","",""
6358,5816,"007: NightFire",7,"Europe","GBA","Nintendo Game Boy Advance","","","","","","","","","",""
6359,5816,"007: NightFire",21,"USA","GBA","Nintendo Game Boy Advance","","","","","","","","","",""
6360,5817,"2 Disney Games: Disney Sports: Football + Disney Sports: Skateboarding",7,"Europe","GBA","Nintendo Game Boy Advance","","","","","","","","","",""
6361,5818,"2 Disney Games: Lilo & Stitch 2 + Peter Pan: Return to Neverland",7,"Europe","GBA","Nintendo Game Boy Advance","","","","","","","","","",""
6362,5819,"2 Game Pack!: Hot Wheels: Stunt Track Challenge + Hot Wheels: World Race",7,"Europe","GBA","Nintendo Game Boy Advance","","","","","","","","","",""
6363,5819,"2 Game Pack!: Hot Wheels: Stunt Track Challenge + Hot Wheels: World Race",21,"USA","GBA","Nintendo Game Boy Advance","","","","","","","","","",""
6364,5820,"2 Game Pack!: Matchbox Missions: Emergency Response & Air, Land and Sea Rescue",7,"Europe","GBA","Nintendo Game Boy Advance","","","","","","","","","",""
6365,5821,"2 Game Pack!: Matchbox Missions: Emergency Response + Air, Land and Sea Rescue",21,"USA","GBA","Nintendo Game Boy Advance","","","","","","","","","",""
6366,5822,"2 Game Pack!: Uno & Skip-Bo",7,"Europe","GBA","Nintendo Game Boy Advance","","","","","","","","","",""
6367,5823,"2 Game Pack!: Uno + Skip-Bo",21,"USA","GBA","Nintendo Game Boy Advance","","","","","","","","","",""
6368,5824,"2 Games in 1: Alla Ricerca di Nemo + Gli Incredibili: Una 'Normale' Famiglia di Supereroi",12,"Italy","GBA","Nintendo Game Boy Advance","","","","","","","","","",""
6369,5825,"2 Games in 1: Bionicle + Knights' Kingdom",7,"Europe","GBA","Nintendo Game Boy Advance","","","","","","","","","",""
6370,5826,"2 Games in 1: Brother Bear + The Lion King",7,"Europe","GBA","Nintendo Game Boy Advance","","","","","","","","","",""
6371,5827,"2 Games in 1: Buscando a Nemo + Los Increibles",17,"Spain","GBA","Nintendo Game Boy Advance","","","","","","","","","",""
6372,5828,"2 Games in 1: Cartoon Network Block Party + Cartoon Network Speedway",21,"USA","GBA","Nintendo Game Boy Advance","","","","","","","","","",""
6373,5829,"2 Games in 1: Columns Crown + ChuChu Rocket!",7,"Europe","GBA","Nintendo Game Boy Advance","","","","","","","","","",""
6374,5830,"2 Games in 1: Die Monster AG + Findet Nemo",10,"Germany","GBA","Nintendo Game Boy Advance","","","","","","","","","",""
6375,5831,"2 Games in 1: Disney Princesas + El Rey Leon",17,"Spain","GBA","Nintendo Game Boy Advance","","","","","","","","","",""
6376,5832,"2 Games in 1: Disney Princesas + Hermano Oso",17,"Spain","GBA","Nintendo Game Boy Advance","","","","","","","","","",""
6377,5833,"2 Games in 1: Disney Princesas + Lizzie McGuire",17,"Spain","GBA","Nintendo Game Boy Advance","","","","","","","","","",""
6378,5834,"2 Games in 1: Disney Princess + Brother Bear",7,"Europe","GBA","Nintendo Game Boy Advance","","","","","","","","","",""
6379,5835,"2 Games in 1: Disney Princess + Lizzie McGuire",7,"Europe","GBA","Nintendo Game Boy Advance","","","","","","","","","",""
6380,5836,"2 Games in 1: Disney Princesse + Frere des Ours",9,"France","GBA","Nintendo Game Boy Advance","","","","","","","","","",""
6381,5837,"2 Games in 1: Disney Princesse + Le Roi Lion",9,"France","GBA","Nintendo Game Boy Advance","","","","","","","","","",""
6382,5838,"2 Games in 1: Disney Principesse + Il Re Leone",12,"Italy","GBA","Nintendo Game Boy Advance","","","","","","","","","",""
6383,5839,"2 Games in 1: Disney Principesse + Koda, Fratello Orso",12,"Italy","GBA","Nintendo Game Boy Advance","","","","","","","","","",""
6384,5840,"2 Games in 1: Disneys Prinzessinnen + Baerenbrueder",10,"Germany","GBA","Nintendo Game Boy Advance","","","","","","","","","",""
6385,5841,"2 Games in 1: Disneys Prinzessinnen + Der Koenig der Loewen",10,"Germany","GBA","Nintendo Game Boy Advance","","","","","","","","","",""
6386,5842,"2 Games in 1: Dr. Mario + Puzzle League",7,"Europe","GBA","Nintendo Game Boy Advance","","","","","","","","","",""
6387,5843,"2 Games in 1: Dragon Ball Z: The Legacy of Goku I & II",21,"USA","GBA","Nintendo Game Boy Advance","","","","","","","","","",""
6388,5844,"2 Games in 1: Findet Nemo + Die Unglaublichen",10,"Germany","GBA","Nintendo Game Boy Advance","","","","","","","","","",""
6389,5845,"2 Games in 1: Findet Nemo + Findet Nemo: Das Abenteuer Geht Weiter",10,"Germany","GBA","Nintendo Game Boy Advance","","","","","","","","","",""
