"releaseID","romID","releaseTitleName","regionLocalizedID","TEMPregionLocalizedName","TEMPsystemShortName","TEMPsystemName","releaseCoverFront","releaseCoverBack","releaseCoverCart","releaseCoverDisc","releaseDescription","releaseDeveloper","releasePublisher","releaseGenre","releaseDate","releaseReferenceURL"
16560,15285,"5 in 1 Funpak",21,"USA","GG","Sega Game Gear","","","","","","","","","",""
16561,15286,"Aa Harimanada",13,"Japan","GG","Sega Game Gear","","","","","","","","","",""
16562,15287,"The Addams Family",7,"Europe","GG","Sega Game Gear","","","","","","","","","",""
16563,15287,"The Addams Family",13,"Japan","GG","Sega Game Gear","","","","","","","","","",""
16564,15287,"The Addams Family",21,"USA","GG","Sega Game Gear","","","","","","","","","",""
16565,15288,"The Adventures of Batman & Robin",7,"Europe","GG","Sega Game Gear","","","","","","","","","",""
16566,15288,"The Adventures of Batman & Robin",21,"USA","GG","Sega Game Gear","","","","","","","","","",""
16567,15289,"Aerial Assault",13,"Japan","GG","Sega Game Gear","","","","","","","","","",""
16568,15290,"Aerial Assault",7,"Europe","GG","Sega Game Gear","","","","","","","","","",""
16569,15290,"Aerial Assault",13,"Japan","GG","Sega Game Gear","","","","","","","","","",""
16570,15290,"Aerial Assault",21,"USA","GG","Sega Game Gear","","","","","","","","","",""
16571,15291,"Aladdin",13,"Japan","GG","Sega Game Gear","","","","","","","","","",""
16572,15292,"Aladdin",7,"Europe","GG","Sega Game Gear","","","","","","","","","",""
16573,15292,"Aladdin",21,"USA","GG","Sega Game Gear","","","","","","","","","",""
16574,15293,"Alien 3",7,"Europe","GG","Sega Game Gear","","","","","","","","","",""
16575,15293,"Alien 3",21,"USA","GG","Sega Game Gear","","","","","","","","","",""
16576,15294,"Alien 3",13,"Japan","GG","Sega Game Gear","","","","","","","","","",""
16577,15295,"Alien Syndrome",13,"Japan","GG","Sega Game Gear","","","","","","","","","",""
16578,15296,"Alien Syndrome",7,"Europe","GG","Sega Game Gear","","","","","","","","","",""
16579,15296,"Alien Syndrome",21,"USA","GG","Sega Game Gear","","","","","","","","","",""
16580,15297,"Andre Agassi Tennis",21,"USA","GG","Sega Game Gear","","","","","","","","","",""
16581,15298,"Arcade Classics",21,"USA","GG","Sega Game Gear","","","","","","","","","",""
16582,15299,"Arch Rivals",21,"USA","GG","Sega Game Gear","","","","","","","","","",""
16583,15300,"Arena",7,"Europe","GG","Sega Game Gear","","","","","","","","","",""
16584,15300,"Arena",21,"USA","GG","Sega Game Gear","","","","","","","","","",""
16585,15301,"Ariel the Little Mermaid",7,"Europe","GG","Sega Game Gear","","","","","","","","","",""
16586,15301,"Ariel the Little Mermaid",21,"USA","GG","Sega Game Gear","","","","","","","","","",""
16587,15302,"Arliel: Crystal Densetsu",13,"Japan","GG","Sega Game Gear","","","","","","","","","",""
16588,15303,"Asterix and the Great Rescue",7,"Europe","GG","Sega Game Gear","","","","","","","","","",""
16589,15304,"Asterix and the Great Rescue",21,"USA","GG","Sega Game Gear","","","","","","","","","",""
16590,15305,"Asterix and the Secret Mission",7,"Europe","GG","Sega Game Gear","","","","","","","","","",""
16591,15306,"Ax Battler: A Legend of Golden Axe",7,"Europe","GG","Sega Game Gear","","","","","","","","","",""
16592,15306,"Ax Battler: A Legend of Golden Axe",21,"USA","GG","Sega Game Gear","","","","","","","","","",""
16593,15307,"Ax Battler: A Legend of Golden Axe",7,"Europe","GG","Sega Game Gear","","","","","","","","","",""
