"releaseID","romID","releaseTitleName","regionLocalizedID","TEMPregionLocalizedName","TEMPsystemShortName","TEMPsystemName","releaseCoverFront","releaseCoverBack","releaseCoverCart","releaseCoverDisc","releaseDescription","releaseDeveloper","releasePublisher","releaseGenre","releaseDate","releaseReferenceURL"
14391,13534,"Air Cars",7,"Europe","Jaguar","Atari Jaguar","","","","","","","","","",""
14392,13534,"Air Cars",13,"Japan","Jaguar","Atari Jaguar","","","","","","","","","",""
14393,13534,"Air Cars",21,"USA","Jaguar","Atari Jaguar","","","","","","","","","",""
14394,13535,"Alien vs Predator",7,"Europe","Jaguar","Atari Jaguar","","","","","","","","","",""
14395,13535,"Alien vs Predator",13,"Japan","Jaguar","Atari Jaguar","","","","","","","","","",""
14396,13535,"Alien vs Predator",21,"USA","Jaguar","Atari Jaguar","","","","","","","","","",""
14397,13536,"Atari Karts",7,"Europe","Jaguar","Atari Jaguar","","","","","","","","","",""
14398,13536,"Atari Karts",13,"Japan","Jaguar","Atari Jaguar","","","","","","","","","",""
14399,13536,"Atari Karts",21,"USA","Jaguar","Atari Jaguar","","","","","","","","","",""
14400,13537,"Attack of the Mutant Penguins",7,"Europe","Jaguar","Atari Jaguar","","","","","","","","","",""
14401,13537,"Attack of the Mutant Penguins",13,"Japan","Jaguar","Atari Jaguar","","","","","","","","","",""
14402,13537,"Attack of the Mutant Penguins",21,"USA","Jaguar","Atari Jaguar","","","","","","","","","",""
14403,13538,"Battle Sphere Gold",7,"Europe","Jaguar","Atari Jaguar","","","","","","","","","",""
14404,13538,"Battle Sphere Gold",13,"Japan","Jaguar","Atari Jaguar","","","","","","","","","",""
14405,13538,"Battle Sphere Gold",21,"USA","Jaguar","Atari Jaguar","","","","","","","","","",""
14406,13539,"Brutal Sports Football",7,"Europe","Jaguar","Atari Jaguar","","","","","","","","","",""
14407,13539,"Brutal Sports Football",13,"Japan","Jaguar","Atari Jaguar","","","","","","","","","",""
14408,13539,"Brutal Sports Football",21,"USA","Jaguar","Atari Jaguar","","","","","","","","","",""
14409,13540,"Bubsy in Fractured Furry Tales",7,"Europe","Jaguar","Atari Jaguar","","","","","","","","","",""
14410,13540,"Bubsy in Fractured Furry Tales",13,"Japan","Jaguar","Atari Jaguar","","","","","","","","","",""
14411,13540,"Bubsy in Fractured Furry Tales",21,"USA","Jaguar","Atari Jaguar","","","","","","","","","",""
14412,13541,"Cannon Fodder",7,"Europe","Jaguar","Atari Jaguar","","","","","","","","","",""
14413,13541,"Cannon Fodder",13,"Japan","Jaguar","Atari Jaguar","","","","","","","","","",""
