"releaseID","romID","releaseTitleName","regionLocalizedID","TEMPregionLocalizedName","TEMPsystemShortName","TEMPsystemName","releaseCoverFront","releaseCoverBack","releaseCoverCart","releaseCoverDisc","releaseDescription","releaseDeveloper","releasePublisher","releaseGenre","releaseDate","releaseReferenceURL"
9485,8711,"007: GoldenEye",7,"Europe","N64","Nintendo 64","","","","","","","","","",""
9486,8712,"007: GoldenEye",13,"Japan","N64","Nintendo 64","","","","","","","","","",""
9487,8713,"007: GoldenEye",21,"USA","N64","Nintendo 64","","","","","","","","","",""
9488,8714,"007: The World Is Not Enough",7,"Europe","N64","Nintendo 64","","","","","","","","","",""
9489,8715,"007: The World Is Not Enough",21,"USA","N64","Nintendo 64","","","","","","","","","",""
9490,8716,"1080 TenEighty Snowboarding",7,"Europe","N64","Nintendo 64","","","","","","","","","",""
9491,8717,"1080 TenEighty Snowboarding",13,"Japan","N64","Nintendo 64","","","","","","","","","",""
9492,8717,"1080 TenEighty Snowboarding",21,"USA","N64","Nintendo 64","","","","","","","","","",""
9493,8718,"40 Winks",7,"Europe","N64","Nintendo 64","","","","","","","","","",""
9494,8719,"64 de Hakken!! Tamagotchi: Minna de Tamagotchi World",13,"Japan","N64","Nintendo 64","","","","","","","","","",""
9495,8720,"64 Hanafuda: Tenshi no Yakusoku",13,"Japan","N64","Nintendo 64","","","","","","","","","",""
9496,8721,"64 Oozumou",13,"Japan","N64","Nintendo 64","","","","","","","","","",""
9497,8722,"64 Oozumou 2",13,"Japan","N64","Nintendo 64","","","","","","","","","",""
9498,8723,"64 Trump Collection: Alice no Wakuwaku Trump World",13,"Japan","N64","Nintendo 64","","","","","","","","","",""
9499,8724,"Action Replay Pro 64",7,"Europe","N64","Nintendo 64","","","","","","","","","",""
9500,8725,"Action Replay Pro 64",7,"Europe","N64","Nintendo 64","","","","","","","","","",""
9501,8726,"AeroFighters Assault",21,"USA","N64","Nintendo 64","","","","","","","","","",""
9502,8727,"AeroFighters Assault",7,"Europe","N64","Nintendo 64","","","","","","","","","",""
9503,8728,"AeroGauge",7,"Europe","N64","Nintendo 64","","","","","","","","","",""
9504,8729,"AeroGauge",21,"USA","N64","Nintendo 64","","","","","","","","","",""
9505,8730,"AeroGauge",13,"Japan","N64","Nintendo 64","","","","","","","","","",""
9506,8731,"AeroGauge",13,"Japan","N64","Nintendo 64","","","","","","","","","",""
9507,8732,"AI Shougi 3",13,"Japan","N64","Nintendo 64","","","","","","","","","",""
9508,8733,"Aidyn Chronicles: The First Mage",21,"USA","N64","Nintendo 64","","","","","","","","","",""
9509,8734,"Aidyn Chronicles: The First Mage",7,"Europe","N64","Nintendo 64","","","","","","","","","",""
9510,8735,"Aidyn Chronicles: The First Mage",21,"USA","N64","Nintendo 64","","","","","","","","","",""
9511,8736,"Air Boarder 64",13,"Japan","N64","Nintendo 64","","","","","","","","","",""
9512,8737,"Air Boarder 64",7,"Europe","N64","Nintendo 64","","","","","","","","","",""
9513,8738,"Akumajou Dracula Mokushiroku: Real Action Adventure",13,"Japan","N64","Nintendo 64","","","","","","","","","",""
9514,8739,"Akumajou Dracula Mokushiroku Gaiden: Legend of Cornell",13,"Japan","N64","Nintendo 64","","","","","","","","","",""
9515,8740,"All Star Tennis '99",7,"Europe","N64","Nintendo 64","","","","","","","","","",""
9516,8741,"All Star Tennis 99",21,"USA","N64","Nintendo 64","","","","","","","","","",""
9517,8742,"All-Star Baseball 2000",21,"USA","N64","Nintendo 64","","","","","","","","","",""
9518,8743,"All-Star Baseball 2000",7,"Europe","N64","Nintendo 64","","","","","","","","","",""
9519,8744,"All-Star Baseball 2001",21,"USA","N64","Nintendo 64","","","","","","","","","",""
9520,8745,"All-Star Baseball 99",21,"USA","N64","Nintendo 64","","","","","","","","","",""
9521,8746,"All-Star Baseball 99",7,"Europe","N64","Nintendo 64","","","","","","","","","",""
9522,8747,"Armorines: Project S.W.A.R.M.",10,"Germany","N64","Nintendo 64","","","","","","","","","",""
9523,8748,"Armorines: Project S.W.A.R.M.",21,"USA","N64","Nintendo 64","","","","","","","","","",""
9524,8749,"Armorines: Project S.W.A.R.M.",7,"Europe","N64","Nintendo 64","","","","","","","","","",""
9525,8750,"Army Men: Air Combat",21,"USA","N64","Nintendo 64","","","","","","","","","",""
9526,8751,"Army Men: Sarge's Heroes",21,"USA","N64","Nintendo 64","","","","","","","","","",""
9527,8752,"Army Men: Sarge's Heroes",7,"Europe","N64","Nintendo 64","","","","","","","","","",""
9528,8753,"Army Men: Sarge's Heroes 2",21,"USA","N64","Nintendo 64","","","","","","","","","",""
9529,8754,"Asteroids Hyper 64",21,"USA","N64","Nintendo 64","","","","","","","","","",""
9530,8755,"Automobili Lamborghini",21,"USA","N64","Nintendo 64","","","","","","","","","",""
