"releaseID","romID","releaseTitleName","regionLocalizedID","TEMPregionLocalizedName","TEMPsystemShortName","TEMPsystemName","releaseCoverFront","releaseCoverBack","releaseCoverCart","releaseCoverDisc","releaseDescription","releaseDeveloper","releasePublisher","releaseGenre","releaseDate","releaseReferenceURL"
1,1,"'89 Dennou Kyuusei Uranai",13,"Japan","NES","Nintendo Entertainment System","","","","","","","","","",""
2,2,"10-Yard Fight",13,"Japan","NES","Nintendo Entertainment System","","","","","","","","","",""
3,3,"10-Yard Fight",7,"Europe","NES","Nintendo Entertainment System","","","","","","","","","",""
4,3,"10-Yard Fight",21,"USA","NES","Nintendo Entertainment System","","","","","","","","","",""
5,4,"10-Yard Fight",13,"Japan","NES","Nintendo Entertainment System","","","","","","","","","",""
6,5,"100 Man Dollar Kid: Maboroshi no Teiou Hen",13,"Japan","NES","Nintendo Entertainment System","","","","","","","","","",""
7,6,1942,13,"Japan","NES","Nintendo Entertainment System","","","","","","","","","",""
8,6,1942,21,"USA","NES","Nintendo Entertainment System","","","","","","","","","",""
9,7,"1943: The Battle of Midway",21,"USA","NES","Nintendo Entertainment System","","","","","","","","","",""
10,8,"1943: The Battle of Midway",13,"Japan","NES","Nintendo Entertainment System","","","","","","","","","",""
11,9,"1943: The Battle of Valhalla",13,"Japan","NES","Nintendo Entertainment System","","","","","","","","","",""
12,10,"1991 Du Ma Racing",1,"Asia","NES","Nintendo Entertainment System","","","","","","","","","",""
13,11,"1999: Hore, Mitakotoka! Seikimatsu",13,"Japan","NES","Nintendo Entertainment System","","","","","","","","","",""
14,12,"3 in 1 Supergun",1,"Asia","NES","Nintendo Entertainment System","","","","","","","","","",""
15,13,"3-D Block",1,"Asia","NES","Nintendo Entertainment System","","","","","","","","","",""
16,14,"3-D Block",1,"Asia","NES","Nintendo Entertainment System","","","","","","","","","",""
17,15,"3-D WorldRunner",21,"USA","NES","Nintendo Entertainment System","","","","","","","","","",""
18,16,"4 Nin Uchi Mahjong",13,"Japan","NES","Nintendo Entertainment System","","","","","","","","","",""
19,17,"4 Nin Uchi Mahjong",13,"Japan","NES","Nintendo Entertainment System","","","","","","","","","",""
20,18,"720 Degrees",21,"USA","NES","Nintendo Entertainment System","","","","","","","","","",""
21,19,"8 Eyes",21,"USA","NES","Nintendo Entertainment System","","","","","","","","","",""
22,20,"8 Eyes",13,"Japan","NES","Nintendo Entertainment System","","","","","","","","","",""
23,21,"A Ressha de Ikou",13,"Japan","NES","Nintendo Entertainment System","","","","","","","","","",""
24,22,"Aa Yakyuu Jinsei Icchokusen",13,"Japan","NES","Nintendo Entertainment System","","","","","","","","","",""
25,23,"Abadox",13,"Japan","NES","Nintendo Entertainment System","","","","","","","","","",""
26,24,"Abadox: The Deadly Inner War",21,"USA","NES","Nintendo Entertainment System","","","","","","","","","",""
27,25,"Abarenbou Tengu",13,"Japan","NES","Nintendo Entertainment System","","","","","","","","","",""
28,26,"Aces: Iron Eagle 3",13,"Japan","NES","Nintendo Entertainment System","","","","","","","","","",""
29,27,"Action 52",21,"USA","NES","Nintendo Entertainment System","","","","","","","","","",""
30,28,"Action 52",21,"USA","NES","Nintendo Entertainment System","","","","","","","","","",""
31,29,"Action in New York",7,"Europe","NES","Nintendo Entertainment System","","","","","","","","","",""
32,30,"The Addams Family",7,"Europe","NES","Nintendo Entertainment System","","","","","","","","","",""
33,31,"The Addams Family",21,"USA","NES","Nintendo Entertainment System","","","","","","","","","",""
34,32,"The Addams Family: Pugsley's Scavenger Hunt",21,"USA","NES","Nintendo Entertainment System","","","","","","","","","",""
35,33,"The Addams Family: Pugsley's Scavenger Hunt",7,"Europe","NES","Nintendo Entertainment System","","","","","","","","","",""
36,34,"The Addams Family: Pugsley's Scavenger Hunt",7,"Europe","NES","Nintendo Entertainment System","","","","","","","","","",""
37,35,"The Addams Family: Uncle Fester's Quest",21,"USA","NES","Nintendo Entertainment System","","","","","","","","","",""
38,36,"Advanced Dungeons & Dragons: Dragons of Flame",13,"Japan","NES","Nintendo Entertainment System","","","","","","","","","",""
39,37,"Advanced Dungeons & Dragons: DragonStrike",21,"USA","NES","Nintendo Entertainment System","","","","","","","","","",""
40,38,"Advanced Dungeons & Dragons: Heroes of the Lance",13,"Japan","NES","Nintendo Entertainment System","","","","","","","","","",""
41,39,"Advanced Dungeons & Dragons: Heroes of the Lance",21,"USA","NES","Nintendo Entertainment System","","","","","","","","","",""
42,40,"Advanced Dungeons & Dragons: Heroes of the Lance",21,"USA","NES","Nintendo Entertainment System","","","","","","","","","",""
43,41,"Advanced Dungeons & Dragons: Hillsfar",13,"Japan","NES","Nintendo Entertainment System","","","","","","","","","",""
44,42,"Advanced Dungeons & Dragons: Hillsfar",21,"USA","NES","Nintendo Entertainment System","","","","","","","","","",""
45,43,"Advanced Dungeons & Dragons: Pool of Radiance",13,"Japan","NES","Nintendo Entertainment System","","","","","","","","","",""
46,44,"Advanced Dungeons & Dragons: Pool of Radiance",21,"USA","NES","Nintendo Entertainment System","","","","","","","","","",""
47,45,"Adventure Island 3",21,"USA","NES","Nintendo Entertainment System","","","","","","","","","",""
48,46,"Adventure Island Classic",7,"Europe","NES","Nintendo Entertainment System","","","","","","","","","",""
49,47,"Adventure Island II",21,"USA","NES","Nintendo Entertainment System","","","","","","","","","",""
50,48,"The Adventure Island Part II",7,"Europe","NES","Nintendo Entertainment System","","","","","","","","","",""
51,49,"Adventures in the Magic Kingdom",21,"USA","NES","Nintendo Entertainment System","","","","","","","","","",""
52,50,"Adventures in the Magic Kingdom",7,"Europe","NES","Nintendo Entertainment System","","","","","","","","","",""
53,51,"Adventures in the Magic Kingdom",21,"USA","NES","Nintendo Entertainment System","","","","","","","","","",""
54,52,"The Adventures of Bayou Billy",21,"USA","NES","Nintendo Entertainment System","","","","","","","","","",""
55,53,"The Adventures of Bayou Billy",7,"Europe","NES","Nintendo Entertainment System","","","","","","","","","",""
56,54,"Adventures of Dino Riki",21,"USA","NES","Nintendo Entertainment System","","","","","","","","","",""
57,55,"The Adventures of Dr. Franken",21,"USA","NES","Nintendo Entertainment System","","","","","","","","","",""
58,56,"The Adventures of Gilligan's Island",21,"USA","NES","Nintendo Entertainment System","","","","","","","","","",""
59,57,"Adventures of Lolo",7,"Europe","NES","Nintendo Entertainment System","","","","","","","","","",""
60,58,"Adventures of Lolo",21,"USA","NES","Nintendo Entertainment System","","","","","","","","","",""
61,59,"Adventures of Lolo",13,"Japan","NES","Nintendo Entertainment System","","","","","","","","","",""
62,60,"Adventures of Lolo 2",7,"Europe","NES","Nintendo Entertainment System","","","","","","","","","",""
63,61,"Adventures of Lolo 2",13,"Japan","NES","Nintendo Entertainment System","","","","","","","","","",""
64,62,"Adventures of Lolo 2",21,"USA","NES","Nintendo Entertainment System","","","","","","","","","",""
65,63,"Adventures of Lolo 3",21,"USA","NES","Nintendo Entertainment System","","","","","","","","","",""
66,64,"Adventures of Lolo 3",7,"Europe","NES","Nintendo Entertainment System","","","","","","","","","",""
67,65,"The Adventures of Rad Gravity",7,"Europe","NES","Nintendo Entertainment System","","","","","","","","","",""
68,66,"The Adventures of Rad Gravity",21,"USA","NES","Nintendo Entertainment System","","","","","","","","","",""
69,67,"The Adventures of Rocky and Bullwinkle and Friends",21,"USA","NES","Nintendo Entertainment System","","","","","","","","","",""
70,68,"Adventures of Tom Sawyer",21,"USA","NES","Nintendo Entertainment System","","","","","","","","","",""
71,69,"After Burner",21,"USA","NES","Nintendo Entertainment System","","","","","","","","","",""
72,70,"After Burner",13,"Japan","NES","Nintendo Entertainment System","","","","","","","","","",""
73,71,"Ai Sensei no Oshiete: Watashi no Hoshi",13,"Japan","NES","Nintendo Entertainment System","","","","","","","","","",""
74,72,"Aigina no Yogen: Balubalouk no Densetsu Yori",13,"Japan","NES","Nintendo Entertainment System","","","","","","","","","",""
75,73,"Air Fortress",21,"USA","NES","Nintendo Entertainment System","","","","","","","","","",""
76,74,"Air Fortress",7,"Europe","NES","Nintendo Entertainment System","","","","","","","","","",""
77,75,"Air Fortress",13,"Japan","NES","Nintendo Entertainment System","","","","","","","","","",""
78,76,"Airball",20,"Unknown","NES","Nintendo Entertainment System","","","","","","","","","",""
79,77,"Airball",20,"Unknown","NES","Nintendo Entertainment System","","","","","","","","","",""
80,78,"Airwolf",7,"Europe","NES","Nintendo Entertainment System","","","","","","","","","",""
81,79,"Airwolf",13,"Japan","NES","Nintendo Entertainment System","","","","","","","","","",""
82,80,"Airwolf",21,"USA","NES","Nintendo Entertainment System","","","","","","","","","",""
83,81,"Akagawa Jirou no Yuurei Ressha",13,"Japan","NES","Nintendo Entertainment System","","","","","","","","","",""
84,82,"Akira",13,"Japan","NES","Nintendo Entertainment System","","","","","","","","","",""
85,83,"Akuma no Shoutaijou",13,"Japan","NES","Nintendo Entertainment System","","","","","","","","","",""
86,84,"Akuma-kun: Makai no Wana",13,"Japan","NES","Nintendo Entertainment System","","","","","","","","","",""
87,85,"Akumajou Densetsu",13,"Japan","NES","Nintendo Entertainment System","","","","","","","","","",""
88,86,"Akumajou Dracula",13,"Japan","NES","Nintendo Entertainment System","","","","","","","","","",""
89,87,"Akumajou Special: Boku Dracula-kun",13,"Japan","NES","Nintendo Entertainment System","","","","","","","","","",""
90,88,"Al Unser Jr. Turbo Racing",21,"USA","NES","Nintendo Entertainment System","","","","","","","","","",""
91,89,"Aladdin",7,"Europe","NES","Nintendo Entertainment System","","","","","","","","","",""
92,90,"Alfred Chicken",21,"USA","NES","Nintendo Entertainment System","","","","","","","","","",""
93,91,"Alfred Chicken",7,"Europe","NES","Nintendo Entertainment System","","","","","","","","","",""
94,92,"Alien 3",21,"USA","NES","Nintendo Entertainment System","","","","","","","","","",""
