"releaseID","romID","releaseTitleName","regionLocalizedID","TEMPregionLocalizedName","TEMPsystemShortName","TEMPsystemName","releaseCoverFront","releaseCoverBack","releaseCoverCart","releaseCoverDisc","releaseDescription","releaseDeveloper","releasePublisher","releaseGenre","releaseDate","releaseReferenceURL"
15513,14455,"Bakumatsu Rouman Tokubetsu Hen: Gekka no Kenshi: Tsuki ni Saku Hana, Chiri Yuku Hana",13,"Japan","NGPC","SNK Neo Geo Pocket Color","http://image.gamespotcdn.net/gamespot/images/box/7/5/7/197757_16783_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/7/5/7/197757_16783_back.jpg","","","1863. History's hidden secret is revealed. During the age known as ""Bakumatsu"", 135 years ago, chaos rules! It's all yours: A new type of weapon fighting game in which Power and Speed weapons, in addition to various Repel moves can be used to experience a new sensation in video game thrills!","Saurus","SNK","Fighting","03/16/00","http://www.gamefaqs.com/ngpc/197757-the-last-blade"
15514,14456,"Baseball Stars Color",7,"Europe","NGPC","SNK Neo Geo Pocket Color","http://image.gamespotcdn.net/gamespot/images/box/7/0/3/196703_120879_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/7/0/3/196703_120879_back.jpg","","","Baseball Stars Color is a Sports game, developed and published by SNK, which was released in Japan in 1999.","SNK","SNK","Sports","11/12/99","http://www.gamefaqs.com/ngpc/196703-baseball-stars-color"
15515,14456,"Baseball Stars Color",13,"Japan","NGPC","SNK Neo Geo Pocket Color","http://image.gamespotcdn.net/gamespot/images/box/7/0/3/196703_96772_front.jpg","","","","Baseball Stars Color is a Sports game, developed and published by SNK, which was released in Japan in 1999.","SNK","SNK","Sports","03/19/99","http://www.gamefaqs.com/ngpc/196703-baseball-stars-color"
15516,14456,"Baseball Stars Color",21,"USA","NGPC","SNK Neo Geo Pocket Color","http://image.gamespotcdn.net/gamespot/images/box/7/0/3/196703_41753_front.jpg","","","","Baseball Stars Color is a Sports game, developed and published by SNK, which was released in Japan in 1999.","SNK","SNK","Sports","05/31/99","http://www.gamefaqs.com/ngpc/196703-baseball-stars-color"
15517,14457,"Big Bang Pro Wrestling",13,"Japan","NGPC","SNK Neo Geo Pocket Color","http://image.gamespotcdn.net/gamespot/images/box/5/8/2/916582_18244_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/5/8/2/916582_18244_back.jpg","","","Big Bang Pro Wrestling is an Action game, developed by S-Neo and published by SNK, which was released in Japan in 2000.","S-Neo","SNK","Fighting","11/23/00","http://www.gamefaqs.com/ngpc/916582-big-bang-pro-wrestling"
15518,14458,"Bikkuriman 2000: Viva! Pocket Festiva!",13,"Japan","NGPC","SNK Neo Geo Pocket Color","http://image.gamespotcdn.net/gamespot/images/box/5/4/8/916548_16629_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/5/4/8/916548_16629_back.jpg","","","Bikkuriman 2000 Viva! Pocket Festival is an Action game, published by Sega, which was released in Japan in 2000.","Sega","Sega","Adventure","03/16/00","http://www.gamefaqs.com/ngpc/916548-bikkuriman-2000-viva-pocket-festival"
15519,14459,"Biomotor Unitron",13,"Japan","NGPC","SNK Neo Geo Pocket Color","http://image.gamespotcdn.net/gamespot/images/box/7/6/1/196761_86682_front.jpg","","","","Using the ore mined from the Unitice meteor, humans have been able to develop the man-shaped robots known as UNITRONS. As a Unitron master, you control one of these mighty machines as you explore mysterious dungeons and fight for the ultimate prize in the Unitron Arena! Create - Collect - Trade! Build your own weapons for your Unitron using Arms and Material. There are over 200 possible combinations! Battles against fearsome monsters and skilled Unitron masters await you! If you can defeat them all, you too can become... The Master of Masters!","Yumekobo","SNK","Role-playing","04/15/99","http://www.gamefaqs.com/ngpc/196761-bio-motor-unitron"
15520,14460,"Biomotor Unitron",7,"Europe","NGPC","SNK Neo Geo Pocket Color","http://image.gamespotcdn.net/gamespot/images/box/7/6/1/196761_293879_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/7/6/1/196761_293879_back.jpg","","","Using the ore mined from the Unitice meteor, humans have been able to develop the man-shaped robots known as UNITRONS. As a Unitron master, you control one of these mighty machines as you explore mysterious dungeons and fight for the ultimate prize in the Unitron Arena! Create - Collect - Trade! Build your own weapons for your Unitron using Arms and Material. There are over 200 possible combinations! Battles against fearsome monsters and skilled Unitron masters await you! If you can defeat them all, you too can become... The Master of Masters!","Yumekobo","SNK","Role-playing",1999,"http://www.gamefaqs.com/ngpc/196761-bio-motor-unitron"
15521,14460,"Biomotor Unitron",21,"USA","NGPC","SNK Neo Geo Pocket Color","http://image.gamespotcdn.net/gamespot/images/box/7/6/1/196761_41790_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/7/6/1/196761_41790_back.jpg","","","Using the ore mined from the Unitice meteor, humans have been able to develop the man-shaped robots known as UNITRONS. As a Unitron master, you control one of these mighty machines as you explore mysterious dungeons and fight for the ultimate prize in the Unitron Arena! Create - Collect - Trade! Build your own weapons for your Unitron using Arms and Material. There are over 200 possible combinations! Battles against fearsome monsters and skilled Unitron masters await you! If you can defeat them all, you too can become... The Master of Masters!","Yumekobo","SNK","Role-playing","07/31/99","http://www.gamefaqs.com/ngpc/196761-bio-motor-unitron"
15522,14461,"Biomotor Unitron (Demo)",13,"Japan","NGPC","SNK Neo Geo Pocket Color","http://image.gamespotcdn.net/gamespot/images/box/7/6/1/196761_86682_front.jpg","","","","Using the ore mined from the Unitice meteor, humans have been able to develop the man-shaped robots known as UNITRONS. As a Unitron master, you control one of these mighty machines as you explore mysterious dungeons and fight for the ultimate prize in the Unitron Arena! Create - Collect - Trade! Build your own weapons for your Unitron using Arms and Material. There are over 200 possible combinations! Battles against fearsome monsters and skilled Unitron masters await you! If you can defeat them all, you too can become... The Master of Masters!","Yumekobo","SNK","Role-playing","","http://www.gamefaqs.com/ngpc/196761-bio-motor-unitron"
