"releaseID","romID","releaseTitleName","regionLocalizedID","TEMPregionLocalizedName","TEMPsystemShortName","TEMPsystemName","releaseCoverFront","releaseCoverBack","releaseCoverCart","releaseCoverDisc","releaseDescription","releaseDeveloper","releasePublisher","releaseGenre","releaseDate","releaseReferenceURL"
15080,14026,"1943 Kai",13,"Japan","PCE","NEC PC Engine/TurboGrafx-16","","","","","","","","","",""
15081,14027,"21 Emon: Mezase Hotel Ou!!",13,"Japan","PCE","NEC PC Engine/TurboGrafx-16","","","","","","","","","",""
15082,14028,"Adventure Island",13,"Japan","PCE","NEC PC Engine/TurboGrafx-16","","","","","","","","","",""
15083,14029,"Aero Blasters",13,"Japan","PCE","NEC PC Engine/TurboGrafx-16","","","","","","","","","",""
15084,14030,"Aero Blasters",21,"USA","PCE","NEC PC Engine/TurboGrafx-16","","","","","","","","","",""
15085,14031,"After Burner II",13,"Japan","PCE","NEC PC Engine/TurboGrafx-16","","","","","","","","","",""
15086,14032,"Air Zonk",21,"USA","PCE","NEC PC Engine/TurboGrafx-16","","","","","","","","","",""
15087,14033,"Alien Crush",13,"Japan","PCE","NEC PC Engine/TurboGrafx-16","","","","","","","","","",""
15088,14034,"Alien Crush",21,"USA","PCE","NEC PC Engine/TurboGrafx-16","","","","","","","","","",""
15089,14035,"Ankoku Densetsu",13,"Japan","PCE","NEC PC Engine/TurboGrafx-16","","","","","","","","","",""
15090,14036,"Aoi Blink",13,"Japan","PCE","NEC PC Engine/TurboGrafx-16","","","","","","","","","",""
15091,14037,"Appare Gateball",13,"Japan","PCE","NEC PC Engine/TurboGrafx-16","","","","","","","","","",""
15092,14038,"Armed Formation F",13,"Japan","PCE","NEC PC Engine/TurboGrafx-16","","","","","","","","","",""
15093,14039,"Artist Tool",13,"Japan","PCE","NEC PC Engine/TurboGrafx-16","","","","","","","","","",""
15094,14040,"Atomic Robo-Kid Special",13,"Japan","PCE","NEC PC Engine/TurboGrafx-16","","","","","","","","","",""
15095,14041,"AV Poker",13,"Japan","PCE","NEC PC Engine/TurboGrafx-16","","","","","","","","","",""
15096,14042,"Ballistix",13,"Japan","PCE","NEC PC Engine/TurboGrafx-16","","","","","","","","","",""
15097,14043,"Ballistix",21,"USA","PCE","NEC PC Engine/TurboGrafx-16","","","","","","","","","",""
15098,14044,"Bari Bari Densetsu",13,"Japan","PCE","NEC PC Engine/TurboGrafx-16","","","","","","","","","",""
15099,14045,"Barunba",13,"Japan","PCE","NEC PC Engine/TurboGrafx-16","","","","","","","","","",""
15100,14046,"Batman",13,"Japan","PCE","NEC PC Engine/TurboGrafx-16","","","","","","","","","",""
15101,14047,"Battle Lode Runner",13,"Japan","PCE","NEC PC Engine/TurboGrafx-16","","","","","","","","","",""
15102,14048,"Battle Royale",21,"USA","PCE","NEC PC Engine/TurboGrafx-16","","","","","","","","","",""
15103,14049,"Be Ball",13,"Japan","PCE","NEC PC Engine/TurboGrafx-16","","","","","","","","","",""
15104,14050,"Benkei Gaiden",13,"Japan","PCE","NEC PC Engine/TurboGrafx-16","","","","","","","","","",""
15105,14051,"Benkei Gaiden",13,"Japan","PCE","NEC PC Engine/TurboGrafx-16","","","","","","","","","",""
15106,14052,"Bikkuriman World",13,"Japan","PCE","NEC PC Engine/TurboGrafx-16","","","","","","","","","",""
15107,14053,"Bikkuriman World",13,"Japan","PCE","NEC PC Engine/TurboGrafx-16","","","","","","","","","",""
15108,14054,"Blazing Lazers",21,"USA","PCE","NEC PC Engine/TurboGrafx-16","","","","","","","","","",""
15109,14055,"Blodia",13,"Japan","PCE","NEC PC Engine/TurboGrafx-16","","","","","","","","","",""
15110,14056,"Bloody Wolf",21,"USA","PCE","NEC PC Engine/TurboGrafx-16","","","","","","","","","",""
15111,14057,"Bodycon Quest II",13,"Japan","PCE","NEC PC Engine/TurboGrafx-16","","","","","","","","","",""
15112,14058,"Bomberman",21,"USA","PCE","NEC PC Engine/TurboGrafx-16","","","","","","","","","",""
15113,14059,"Bomberman",13,"Japan","PCE","NEC PC Engine/TurboGrafx-16","","","","","","","","","",""
15114,14060,"Bomberman '93",21,"USA","PCE","NEC PC Engine/TurboGrafx-16","","","","","","","","","",""
15115,14061,"Bomberman '93",13,"Japan","PCE","NEC PC Engine/TurboGrafx-16","","","","","","","","","",""
15116,14062,"Bomberman '93",13,"Japan","PCE","NEC PC Engine/TurboGrafx-16","","","","","","","","","",""
15117,14063,"Bomberman '94",13,"Japan","PCE","NEC PC Engine/TurboGrafx-16","","","","","","","","","",""
15118,14064,"Bomberman: Users Battle",13,"Japan","PCE","NEC PC Engine/TurboGrafx-16","","","","","","","","","",""
15119,14065,"Bonk III: Bonk's Big Adventure",21,"USA","PCE","NEC PC Engine/TurboGrafx-16","","","","","","","","","",""
15120,14066,"Bonk's Adventure",21,"USA","PCE","NEC PC Engine/TurboGrafx-16","","","","","","","","","",""
15121,14067,"Bonk's Revenge",21,"USA","PCE","NEC PC Engine/TurboGrafx-16","","","","","","","","","",""
15122,14068,"Bouken Danshaku Don: The Lost Sunheart",13,"Japan","PCE","NEC PC Engine/TurboGrafx-16","","","","","","","","","",""
15123,14069,"Boxyboy",21,"USA","PCE","NEC PC Engine/TurboGrafx-16","","","","","","","","","",""
15124,14070,"Bravoman",21,"USA","PCE","NEC PC Engine/TurboGrafx-16","","","","","","","","","",""
15125,14071,"Break In",13,"Japan","PCE","NEC PC Engine/TurboGrafx-16","","","","","","","","","",""
15126,14072,"Bubblegum Crash!: Knight Sabers 2034",13,"Japan","PCE","NEC PC Engine/TurboGrafx-16","","","","","","","","","",""
15127,14073,"Bull Fight: Ring no Haja",13,"Japan","PCE","NEC PC Engine/TurboGrafx-16","","","","","","","","","",""
15128,14074,"Burning Angels",13,"Japan","PCE","NEC PC Engine/TurboGrafx-16","","","","","","","","","",""
15129,14075,"Busou Keiji: Cyber Cross",13,"Japan","PCE","NEC PC Engine/TurboGrafx-16","","","","","","","","","",""
15130,14076,"Cadash",13,"Japan","PCE","NEC PC Engine/TurboGrafx-16","","","","","","","","","",""
15131,14077,"Cadash",21,"USA","PCE","NEC PC Engine/TurboGrafx-16","","","","","","","","","",""
15132,14078,"Champion Wrestler",13,"Japan","PCE","NEC PC Engine/TurboGrafx-16","","","","","","","","","",""
15133,14079,"Champions Forever Boxing",21,"USA","PCE","NEC PC Engine/TurboGrafx-16","","","","","","","","","",""
15134,14080,"Chew Man Fu",21,"USA","PCE","NEC PC Engine/TurboGrafx-16","","","","","","","","","",""
15135,14081,"Chibi Maruko-chan: Quiz de Piihyara",13,"Japan","PCE","NEC PC Engine/TurboGrafx-16","","","","","","","","","",""
15136,14082,"Chikudenya Toubei: Kubikiri Yakata Yori",13,"Japan","PCE","NEC PC Engine/TurboGrafx-16","","","","","","","","","",""
15137,14083,"Chikudenya Toubei: Kubikiri Yakata Yori",13,"Japan","PCE","NEC PC Engine/TurboGrafx-16","","","","","","","","","",""
15138,14084,"China Warrior",21,"USA","PCE","NEC PC Engine/TurboGrafx-16","","","","","","","","","",""
15139,14085,"Chouzetsu Rinjin: Bravoman",13,"Japan","PCE","NEC PC Engine/TurboGrafx-16","","","","","","","","","",""
15140,14086,"Circus Lido",13,"Japan","PCE","NEC PC Engine/TurboGrafx-16","","","","","","","","","",""
15141,14087,"City Hunter",13,"Japan","PCE","NEC PC Engine/TurboGrafx-16","","","","","","","","","",""
15142,14088,"Columns",13,"Japan","PCE","NEC PC Engine/TurboGrafx-16","","","","","","","","","",""
15143,14089,"Coryoon: Child of Dragon",13,"Japan","PCE","NEC PC Engine/TurboGrafx-16","","","","","","","","","",""
15144,14090,"Coryoon: Child of Dragon",13,"Japan","PCE","NEC PC Engine/TurboGrafx-16","","","","","","","","","",""
15145,14091,"Cratermaze",21,"USA","PCE","NEC PC Engine/TurboGrafx-16","","","","","","","","","",""
15146,14092,"Cross Wiber: Cyber Combat Police",13,"Japan","PCE","NEC PC Engine/TurboGrafx-16","","","","","","","","","",""
15147,14093,"Cyber Core",21,"USA","PCE","NEC PC Engine/TurboGrafx-16","","","","","","","","","",""
15148,14094,"Cyber Core",13,"Japan","PCE","NEC PC Engine/TurboGrafx-16","","","","","","","","","",""
15149,14095,"Cyber Dodge",13,"Japan","PCE","NEC PC Engine/TurboGrafx-16","","","","","","","","","",""
15150,14096,"Cyber Knight",13,"Japan","PCE","NEC PC Engine/TurboGrafx-16","","","","","","","","","",""
15151,14097,"Daichi-kun Crisis: Do Natural",13,"Japan","PCE","NEC PC Engine/TurboGrafx-16","","","","","","","","","",""
15152,14098,"Daisenpuu",13,"Japan","PCE","NEC PC Engine/TurboGrafx-16","","","","","","","","","",""
15153,14099,"Darius Alpha",13,"Japan","PCE","NEC PC Engine/TurboGrafx-16","","","","","","","","","",""
15154,14100,"Darius Plus",13,"Japan","PCE","NEC PC Engine/TurboGrafx-16","","","","","","","","","",""
15155,14101,"Darkwing Duck",21,"USA","PCE","NEC PC Engine/TurboGrafx-16","","","","","","","","","",""
15156,14102,"Davis Cup Tennis",21,"USA","PCE","NEC PC Engine/TurboGrafx-16","","","","","","","","","",""
15157,14103,"Dead Moon",13,"Japan","PCE","NEC PC Engine/TurboGrafx-16","","","","","","","","","",""
15158,14104,"Dead Moon",21,"USA","PCE","NEC PC Engine/TurboGrafx-16","","","","","","","","","",""
15159,14105,"Deep Blue",21,"USA","PCE","NEC PC Engine/TurboGrafx-16","","","","","","","","","",""
15160,14106,"Deep Blue: Kaitei Shinwa",13,"Japan","PCE","NEC PC Engine/TurboGrafx-16","","","","","","","","","",""
15161,14107,"Detana!! TwinBee",13,"Japan","PCE","NEC PC Engine/TurboGrafx-16","","","","","","","","","",""
15162,14108,"Devil Crash: Naxat Pinball",13,"Japan","PCE","NEC PC Engine/TurboGrafx-16","","","","","","","","","",""
15163,14109,"Devil's Crush: Naxat Pinball",21,"USA","PCE","NEC PC Engine/TurboGrafx-16","","","","","","","","","",""
15164,14110,"Die Hard",13,"Japan","PCE","NEC PC Engine/TurboGrafx-16","","","","","","","","","",""
15165,14111,"Digital Champ",13,"Japan","PCE","NEC PC Engine/TurboGrafx-16","","","","","","","","","",""
15166,14112,"Don Doko Don!",13,"Japan","PCE","NEC PC Engine/TurboGrafx-16","","","","","","","","","",""
15167,14113,"Doraemon: Meikyuu Daisakusen",13,"Japan","PCE","NEC PC Engine/TurboGrafx-16","","","","","","","","","",""
15168,14114,"Doraemon: Nobita no Dorabian Night",13,"Japan","PCE","NEC PC Engine/TurboGrafx-16","","","","","","","","","",""
15169,14115,"Double Dungeons: W",13,"Japan","PCE","NEC PC Engine/TurboGrafx-16","","","","","","","","","",""
15170,14116,"Double Dungeons: W",21,"USA","PCE","NEC PC Engine/TurboGrafx-16","","","","","","","","","",""
15171,14117,"Download",13,"Japan","PCE","NEC PC Engine/TurboGrafx-16","","","","","","","","","",""
15172,14118,"Download",13,"Japan","PCE","NEC PC Engine/TurboGrafx-16","","","","","","","","","",""
15173,14119,"Dragon Egg!",13,"Japan","PCE","NEC PC Engine/TurboGrafx-16","","","","","","","","","",""
15174,14120,"Dragon Saber: After Story of Dragon Spirit",13,"Japan","PCE","NEC PC Engine/TurboGrafx-16","","","","","","","","","",""
15175,14121,"Dragon Saber: After Story of Dragon Spirit",13,"Japan","PCE","NEC PC Engine/TurboGrafx-16","","","","","","","","","",""
15176,14122,"Dragon Spirit",13,"Japan","PCE","NEC PC Engine/TurboGrafx-16","","","","","","","","","",""
15177,14123,"Dragon Spirit",21,"USA","PCE","NEC PC Engine/TurboGrafx-16","","","","","","","","","",""
15178,14124,"Dragon's Curse",21,"USA","PCE","NEC PC Engine/TurboGrafx-16","","","","","","","","","",""
15179,14125,"Drop Rock Hora Hora",13,"Japan","PCE","NEC PC Engine/TurboGrafx-16","","","","","","","","","",""
15180,14126,"Drop Rock Hora Hora",13,"Japan","PCE","NEC PC Engine/TurboGrafx-16","","","","","","","","","",""
15181,14127,"Drop.Off",21,"USA","PCE","NEC PC Engine/TurboGrafx-16","","","","","","","","","",""
15182,14128,"Druaga no Tou",13,"Japan","PCE","NEC PC Engine/TurboGrafx-16","","","","","","","","","",""
15183,14129,"Dungeon Explorer",21,"USA","PCE","NEC PC Engine/TurboGrafx-16","","","","","","","","","",""
15184,14130,"Dungeon Explorer",13,"Japan","PCE","NEC PC Engine/TurboGrafx-16","","","","","","","","","",""
15185,14131,"Energy",13,"Japan","PCE","NEC PC Engine/TurboGrafx-16","","","","","","","","","",""
15186,14132,"F-1 Dream",13,"Japan","PCE","NEC PC Engine/TurboGrafx-16","","","","","","","","","",""
15187,14133,"F-1 Pilot: You're King of Kings",13,"Japan","PCE","NEC PC Engine/TurboGrafx-16","","","","","","","","","",""
15188,14134,"F1 Circus",13,"Japan","PCE","NEC PC Engine/TurboGrafx-16","","","","","","","","","",""
15189,14135,"F1 Circus",13,"Japan","PCE","NEC PC Engine/TurboGrafx-16","","","","","","","","","",""
