"releaseID","romID","releaseTitleName","regionLocalizedID","TEMPregionLocalizedName","TEMPsystemShortName","TEMPsystemName","releaseCoverFront","releaseCoverBack","releaseCoverCart","releaseCoverDisc","releaseDescription","releaseDeveloper","releasePublisher","releaseGenre","releaseDate","releaseReferenceURL"
111101,56170,"1552 Tenka Dairan",13,"Japan","PCECD","NEC PC Engine CD/TurboGrafx-CD","","","","","","","","","",""
111102,56171,"A.III.: A Ressha de Ikou III",13,"Japan","PCECD","NEC PC Engine CD/TurboGrafx-CD","","","","","","","","","",""
111103,56172,"Akumajou Dracula X: Chi no Rondo",13,"Japan","PCECD","NEC PC Engine CD/TurboGrafx-CD","","","","","","","","","",""
111104,56173,"Alnam no Kiba: Juuzoku Juuni Shinto Densetsu",13,"Japan","PCECD","NEC PC Engine CD/TurboGrafx-CD","","","","","","","","","",""
111105,56174,"Alnam no Kiba: Juuzoku Juuni Shinto Densetsu",13,"Japan","PCECD","NEC PC Engine CD/TurboGrafx-CD","","","","","","","","","",""
111106,56175,"The Atlas: Renaissance Voyager",13,"Japan","PCECD","NEC PC Engine CD/TurboGrafx-CD","","","","","","","","","",""
111107,56176,"Avenger",13,"Japan","PCECD","NEC PC Engine CD/TurboGrafx-CD","","","","","","","","","",""
111108,56177,"Bakushou Yoshimoto Shinkigeki",13,"Japan","PCECD","NEC PC Engine CD/TurboGrafx-CD","","","","","","","","","",""
111109,56178,"Bishoujo Senshi Sailor Moon",13,"Japan","PCECD","NEC PC Engine CD/TurboGrafx-CD","","","","","","","","","",""
111110,56179,"Black Hole Assault",13,"Japan","PCECD","NEC PC Engine CD/TurboGrafx-CD","","","","","","","","","",""
111111,56180,"CAL II",13,"Japan","PCECD","NEC PC Engine CD/TurboGrafx-CD","","","","","","","","","",""
111112,56181,"CAL II",13,"Japan","PCECD","NEC PC Engine CD/TurboGrafx-CD","","","","","","","","","",""
111113,56182,"Cosmic Fantasy: Bouken Shounen Yuu",13,"Japan","PCECD","NEC PC Engine CD/TurboGrafx-CD","","","","","","","","","",""
111114,56183,"Cosmic Fantasy: Bouken Shounen Yuu",13,"Japan","PCECD","NEC PC Engine CD/TurboGrafx-CD","","","","","","","","","",""
111115,56184,"Cosmic Fantasy 2: Bouken Shounen Ban",13,"Japan","PCECD","NEC PC Engine CD/TurboGrafx-CD","","","","","","","","","",""
111116,56185,"Cosmic Fantasy 3: Bouken Shounen Rei",13,"Japan","PCECD","NEC PC Engine CD/TurboGrafx-CD","","","","","","","","","",""
111117,56186,"Cyber City Oedo 808: Kemono no Zokusei",13,"Japan","PCECD","NEC PC Engine CD/TurboGrafx-CD","","","","","","","","","",""
