"releaseID","romID","releaseTitleName","regionLocalizedID","TEMPregionLocalizedName","TEMPsystemShortName","TEMPsystemName","releaseCoverFront","releaseCoverBack","releaseCoverCart","releaseCoverDisc","releaseDescription","releaseDeveloper","releasePublisher","releaseGenre","releaseDate","releaseReferenceURL"
111180,63271,"...Iru!",13,"Japan","PSX","Sony PlayStation","","","","","","","","","",""
111181,63272,"007 Racing",7,"Europe","PSX","Sony PlayStation","","","","","","","","","",""
111182,63273,"007 Racing",9,"France","PSX","Sony PlayStation","","","","","","","","","",""
111183,63274,"007 Racing",10,"Germany","PSX","Sony PlayStation","","","","","","","","","",""
111184,63275,"007 Racing",21,"USA","PSX","Sony PlayStation","","","","","","","","","",""
111185,63276,"007: Demain ne Meurt Jamais",9,"France","PSX","Sony PlayStation","","","","","","","","","",""
111186,63277,"007: Der Morgen stirbt nie",10,"Germany","PSX","Sony PlayStation","","","","","","","","","",""
111187,63278,"007: Die Welt ist nicht genug",10,"Germany","PSX","Sony PlayStation","","","","","","","","","",""
111188,63279,"007: El mundo nunca es suficiente",17,"Spain","PSX","Sony PlayStation","","","","","","","","","",""
111189,63280,"007: Le Monde ne Suffit Pas",9,"France","PSX","Sony PlayStation","","","","","","","","","",""
111190,63281,"007: The World Is Not Enough",7,"Europe","PSX","Sony PlayStation","","","","","","","","","",""
111191,63282,"007: The World Is Not Enough",21,"USA","PSX","Sony PlayStation","","","","","","","","","",""
111192,63283,"007: Tomorrow Never Dies",7,"Europe","PSX","Sony PlayStation","","","","","","","","","",""
111193,63284,"007: Tomorrow Never Dies",13,"Japan","PSX","Sony PlayStation","","","","","","","","","",""
111194,63285,"007: Tomorrow Never Dies",21,"USA","PSX","Sony PlayStation","","","","","","","","","",""
111195,63286,"100 Man Yen Quiz Hunter",13,"Japan","PSX","Sony PlayStation","","","","","","","","","",""
111196,63287,"100% Star",7,"Europe","PSX","Sony PlayStation","","","","","","","","","",""
111197,63288,"100% Star",9,"France","PSX","Sony PlayStation","","","","","","","","","",""
111198,63289,"10th Anniversary Memorial Save Data (Disc 1) ('PlayStation Taiou')",13,"Japan","PSX","Sony PlayStation","","","","","","","","","",""
111199,63290,"16 Tales 2",21,"USA","PSX","Sony PlayStation","","","","","","","","","",""
111200,63291,"19 ji 03 pun: Ueno hatsu Yakou Ressha",13,"Japan","PSX","Sony PlayStation","","","","","","","","","",""
111201,63292,"1Xtreme",21,"USA","PSX","Sony PlayStation","","","","","","","","","",""
111202,63293,"2 Demos in 1: Driver: You Are the Wheelman + V-Rally: Championship Edition 2",13,"Japan","PSX","Sony PlayStation","","","","","","","","","",""
111203,63294,"2002 FIFA World Cup",21,"USA","PSX","Sony PlayStation","","","","","","","","","",""
111204,63295,"2002 FIFA World Cup Korea Japan",7,"Europe","PSX","Sony PlayStation","","","","","","","","","",""
111205,63296,"2002 FIFA World Cup Korea Japan",10,"Germany","PSX","Sony PlayStation","","","","","","","","","",""
111206,63297,"2002 FIFA World Cup Korea Japan",12,"Italy","PSX","Sony PlayStation","","","","","","","","","",""
111207,63298,"2002 FIFA World Cup Korea Japan",17,"Spain","PSX","Sony PlayStation","","","","","","","","","",""
111208,63299,"2999 Nen no Game Kids",13,"Japan","PSX","Sony PlayStation","","","","","","","","","",""
111209,63300,"2Xtreme",7,"Europe","PSX","Sony PlayStation","","","","","","","","","",""
111210,63301,"2Xtreme",21,"USA","PSX","Sony PlayStation","","","","","","","","","",""
111211,63302,"3, 2, 1, Smurf! My First Racing Game",7,"Europe","PSX","Sony PlayStation","","","","","","","","","",""
111212,63303,"360 Three Sixty",7,"Europe","PSX","Sony PlayStation","","","","","","","","","",""
111213,63304,"3D Baseball",21,"USA","PSX","Sony PlayStation","","","","","","","","","",""
111214,63305,"3D Kakutou Tkool",13,"Japan","PSX","Sony PlayStation","","","","","","","","","",""
111215,63306,"3D Lemmings",7,"Europe","PSX","Sony PlayStation","","","","","","","","","",""
111216,63307,"3D Lemmings",13,"Japan","PSX","Sony PlayStation","","","","","","","","","",""
111217,63308,"3D Lemmings",21,"USA","PSX","Sony PlayStation","","","","","","","","","",""
111218,63309,"3D Mission Shooting: Finalist",13,"Japan","PSX","Sony PlayStation","","","","","","","","","",""
111219,63310,"3D Shooting Tkool",13,"Japan","PSX","Sony PlayStation","","","","","","","","","",""
111220,63311,"3x3 Eyes: Kyuusei Koushu (Disc 1)",13,"Japan","PSX","Sony PlayStation","","","","","","","","","",""
111221,63312,"3x3 Eyes: Kyuusei Koushu (Disc 2)",13,"Japan","PSX","Sony PlayStation","","","","","","","","","",""
111222,63313,"3x3 Eyes: Tenrinou Genmu (Disc 1)",13,"Japan","PSX","Sony PlayStation","","","","","","","","","",""
111223,63314,"3x3 Eyes: Tenrinou Genmu (Disc 2)",13,"Japan","PSX","Sony PlayStation","","","","","","","","","",""
111224,63315,"3x3 Eyes: Tenrinou Genmu (Disc 3)",13,"Japan","PSX","Sony PlayStation","","","","","","","","","",""
111225,63316,"3Xtreme",21,"USA","PSX","Sony PlayStation","","","","","","","","","",""
111226,63317,"4-4-2 Soccer",7,"Europe","PSX","Sony PlayStation","","","","","","","","","",""
111227,63318,"40 Winks",7,"Europe","PSX","Sony PlayStation","","","","","","","","","",""
111228,63319,"40 Winks",12,"Italy","PSX","Sony PlayStation","","","","","","","","","",""
111229,63320,"40 Winks",17,"Spain","PSX","Sony PlayStation","","","","","","","","","",""
111230,63321,"40 Winks",21,"USA","PSX","Sony PlayStation","","","","","","","","","",""
111231,63322,"4x4 World Trophy",7,"Europe","PSX","Sony PlayStation","","","","","","","","","",""
111232,63323,"5 Star Racing",7,"Europe","PSX","Sony PlayStation","","","","","","","","","",""
111233,63324,"98 Koushien: Koukou Yakyuu Simulation",13,"Japan","PSX","Sony PlayStation","","","","","","","","","",""
111234,63325,"99 Koushien",13,"Japan","PSX","Sony PlayStation","","","","","","","","","",""
111235,63326,"A Ressha de Ikou 4: Evolution",13,"Japan","PSX","Sony PlayStation","","","","","","","","","",""
111236,63327,"A Ressha de Ikou 4: Evolution",13,"Japan","PSX","Sony PlayStation","","","","","","","","","",""
111237,63328,"A Ressha de Ikou 4: Evolution Global",13,"Japan","PSX","Sony PlayStation","","","","","","","","","",""
111238,63329,"A Ressha de Ikou 4: Evolution Global",13,"Japan","PSX","Sony PlayStation","","","","","","","","","",""
111239,63330,"A Ressha de Ikou Z: Mezase! Tairiku Oudan",13,"Japan","PSX","Sony PlayStation","","","","","","","","","",""
111240,63331,"A Sangre Fría (Disc 1)",17,"Spain","PSX","Sony PlayStation","","","","","","","","","",""
111241,63332,"A Sangre Fría (Disc 2)",17,"Spain","PSX","Sony PlayStation","","","","","","","","","",""
111242,63333,"A Sangue Freddo (Disc 1)",12,"Italy","PSX","Sony PlayStation","","","","","","","","","",""
111243,63334,"A Sangue Freddo (Disc 2)",12,"Italy","PSX","Sony PlayStation","","","","","","","","","",""
111244,63335,"A-Train: Trains, Power, Money",21,"USA","PSX","Sony PlayStation","","","","","","","","","",""
111245,63336,"A.IV: Evolution Global",7,"Europe","PSX","Sony PlayStation","","","","","","","","","",""
111246,63337,"A2 Racer: Europa Tour",15,"Netherlands","PSX","Sony PlayStation","","","","","","","","","",""
111247,63338,"A5: A Ressha de Ikou 5",13,"Japan","PSX","Sony PlayStation","","","","","","","","","",""
111248,63339,"AbalaBurn",13,"Japan","PSX","Sony PlayStation","","","","","","","","","",""
111249,63340,"Abe a GoGo",13,"Japan","PSX","Sony PlayStation","","","","","","","","","",""
111250,63341,"Absolute Football",9,"France","PSX","Sony PlayStation","","","","","","","","","",""
111251,63342,"Ace Combat",13,"Japan","PSX","Sony PlayStation","","","","","","","","","",""
