"releaseID","romID","releaseTitleName","regionLocalizedID","TEMPregionLocalizedName","TEMPsystemShortName","TEMPsystemName","releaseCoverFront","releaseCoverBack","releaseCoverCart","releaseCoverDisc","releaseDescription","releaseDeveloper","releasePublisher","releaseGenre","releaseDate","releaseReferenceURL"
110847,55916,"3 Ninjas Kick Back",21,"USA","SCD","Sega CD/Mega-CD","","","","","","","","","",""
110848,55917,"A/X-101",21,"USA","SCD","Sega CD/Mega-CD","","","","","","","","","",""
110849,55918,"The Adventures of Batman and Robin",21,"USA","SCD","Sega CD/Mega-CD","","","","","","","","","",""
110850,55919,"The Adventures of Willy Beamish",21,"USA","SCD","Sega CD/Mega-CD","","","","","","","","","",""
110851,55920,"After Burner III",13,"Japan","SCD","Sega CD/Mega-CD","","","","","","","","","",""
110852,55921,"After Burner III",21,"USA","SCD","Sega CD/Mega-CD","","","","","","","","","",""
110853,55922,"AH3: ThunderStrike",21,"USA","SCD","Sega CD/Mega-CD","","","","","","","","","",""
110854,55923,"The Amazing Spider-Man vs. The Kingpin",7,"Europe","SCD","Sega CD/Mega-CD","","","","","","","","","",""
110855,55924,"The Amazing Spider-Man vs. The Kingpin",21,"USA","SCD","Sega CD/Mega-CD","","","","","","","","","",""
110856,55925,"AX-101",13,"Japan","SCD","Sega CD/Mega-CD","","","","","","","","","",""
110857,55926,"Bari-Arm",13,"Japan","SCD","Sega CD/Mega-CD","","","","","","","","","",""
110858,55927,"Batman Returns",7,"Europe","SCD","Sega CD/Mega-CD","","","","","","","","","",""
110859,55928,"Batman Returns",7,"Europe","SCD","Sega CD/Mega-CD","","","","","","","","","",""
110860,55929,"Batman Returns",21,"USA","SCD","Sega CD/Mega-CD","","","","","","","","","",""
110861,55930,"Battlecorps",7,"Europe","SCD","Sega CD/Mega-CD","","","","","","","","","",""
110862,55931,"Battlecorps",21,"USA","SCD","Sega CD/Mega-CD","","","","","","","","","",""
110863,55932,"BC Racers",7,"Europe","SCD","Sega CD/Mega-CD","","","","","","","","","",""
110864,55933,"BC Racers",7,"Europe","SCD","Sega CD/Mega-CD","","","","","","","","","",""
110865,55934,"Black Hole Assault",13,"Japan","SCD","Sega CD/Mega-CD","","","","","","","","","",""
110866,55935,"Blackhole Assault",7,"Europe","SCD","Sega CD/Mega-CD","","","","","","","","","",""
110867,55936,"Blackhole Assault",21,"USA","SCD","Sega CD/Mega-CD","","","","","","","","","",""
