"releaseID","romID","releaseTitleName","regionLocalizedID","TEMPregionLocalizedName","TEMPsystemShortName","TEMPsystemName","releaseCoverFront","releaseCoverBack","releaseCoverCart","releaseCoverDisc","releaseDescription","releaseDeveloper","releasePublisher","releaseGenre","releaseDate","releaseReferenceURL"
15715,14574,"007 James Bond",13,"Japan","SG1000","Sega SG-1000","","","","","","","","","",""
15716,14575,"007 James Bond",13,"Japan","SG1000","Sega SG-1000","","","","","","","","","",""
15717,14576,"007 James Bond",19,"Taiwan","SG1000","Sega SG-1000","","","","","","","","","",""
15718,14577,"Bank Panic",19,"Taiwan","SG1000","Sega SG-1000","","","","","","","","","",""
15719,14578,"Bank Panic",13,"Japan","SG1000","Sega SG-1000","","","","","","","","","",""
15720,14579,"The Black Onyx",13,"Japan","SG1000","Sega SG-1000","","","","","","","","","",""
15721,14580,"Bomb Jack",19,"Taiwan","SG1000","Sega SG-1000","","","","","","","","","",""
15722,14581,"Bomb Jack",13,"Japan","SG1000","Sega SG-1000","","","","","","","","","",""
15723,14582,"Bomb Jack",19,"Taiwan","SG1000","Sega SG-1000","","","","","","","","","",""
15724,14583,"Borderline",7,"Europe","SG1000","Sega SG-1000","","","","","","","","","",""
15725,14583,"Borderline",13,"Japan","SG1000","Sega SG-1000","","","","","","","","","",""
15726,14584,"The Castle",13,"Japan","SG1000","Sega SG-1000","","","","","","","","","",""
15727,14585,"Chack'n Pop",19,"Taiwan","SG1000","Sega SG-1000","","","","","","","","","",""
15728,14586,"Chack'n Pop",13,"Japan","SG1000","Sega SG-1000","","","","","","","","","",""
15729,14587,"Challenge Derby",13,"Japan","SG1000","Sega SG-1000","","","","","","","","","",""
15730,14588,"Challenge Derby",13,"Japan","SG1000","Sega SG-1000","","","","","","","","","",""
15731,14589,"Challenge Derby",13,"Japan","SG1000","Sega SG-1000","","","","","","","","","",""
15732,14590,"Champion Baseball",13,"Japan","SG1000","Sega SG-1000","","","","","","","","","",""
15733,14591,"Champion Baseball",13,"Japan","SG1000","Sega SG-1000","","","","","","","","","",""
15734,14592,"Champion Baseball",19,"Taiwan","SG1000","Sega SG-1000","","","","","","","","","",""
15735,14593,"Champion Billiards",13,"Japan","SG1000","Sega SG-1000","","","","","","","","","",""
15736,14594,"Champion Billiards",19,"Taiwan","SG1000","Sega SG-1000","","","","","","","","","",""
15737,14595,"Champion Boxing",19,"Taiwan","SG1000","Sega SG-1000","","","","","","","","","",""
15738,14596,"Champion Boxing",13,"Japan","SG1000","Sega SG-1000","","","","","","","","","",""
15739,14597,"Champion Boxing",13,"Japan","SG1000","Sega SG-1000","","","","","","","","","",""
15740,14598,"Champion Golf",13,"Japan","SG1000","Sega SG-1000","","","","","","","","","",""
15741,14599,"Champion Golf",13,"Japan","SG1000","Sega SG-1000","","","","","","","","","",""
15742,14600,"Champion Ice Hockey",13,"Japan","SG1000","Sega SG-1000","","","","","","","","","",""
15743,14601,"Champion Ice Hockey",19,"Taiwan","SG1000","Sega SG-1000","","","","","","","","","",""
15744,14602,"Champion Kendou",19,"Taiwan","SG1000","Sega SG-1000","","","","","","","","","",""
15745,14603,"Champion Kendou",13,"Japan","SG1000","Sega SG-1000","","","","","","","","","",""
15746,14604,"Champion Pro Wrestling",13,"Japan","SG1000","Sega SG-1000","","","","","","","","","",""
15747,14605,"Champion Soccer",19,"Taiwan","SG1000","Sega SG-1000","","","","","","","","","",""
15748,14606,"Champion Soccer",13,"Japan","SG1000","Sega SG-1000","","","","","","","","","",""
15749,14607,"Champion Tennis",13,"Japan","SG1000","Sega SG-1000","","","","","","","","","",""
15750,14608,"Championship Lode Runner",19,"Taiwan","SG1000","Sega SG-1000","","","","","","","","","",""
15751,14609,"Championship Lode Runner",13,"Japan","SG1000","Sega SG-1000","","","","","","","","","",""
15752,14610,"Choplifter",13,"Japan","SG1000","Sega SG-1000","","","","","","","","","",""
15753,14611,"Choplifter",19,"Taiwan","SG1000","Sega SG-1000","","","","","","","","","",""
15754,14612,"Choplifter",19,"Taiwan","SG1000","Sega SG-1000","","","","","","","","","",""
15755,14613,"Choplifter",13,"Japan","SG1000","Sega SG-1000","","","","","","","","","",""
15756,14614,"Choplifter",19,"Taiwan","SG1000","Sega SG-1000","","","","","","","","","",""
15757,14615,"Chuugaku Hisshuu Eibunpou",13,"Japan","SG1000","Sega SG-1000","","","","","","","","","",""
15758,14616,"Chuugaku Hisshuu Eibunpou",13,"Japan","SG1000","Sega SG-1000","","","","","","","","","",""
15759,14617,"Chuugaku Hisshuu Eisakubun",13,"Japan","SG1000","Sega SG-1000","","","","","","","","","",""
15760,14618,"Chuugaku Hisshuu Eisakubun",13,"Japan","SG1000","Sega SG-1000","","","","","","","","","",""
15761,14619,"Chuugaku Hisshuu Eisakubun",13,"Japan","SG1000","Sega SG-1000","","","","","","","","","",""
15762,14620,"Chuugaku Hisshuu Eisakubun",13,"Japan","SG1000","Sega SG-1000","","","","","","","","","",""
15763,14621,"Chuugaku Hisshuu Eitango",13,"Japan","SG1000","Sega SG-1000","","","","","","","","","",""
15764,14622,"Chuugaku Hisshuu Eitango",13,"Japan","SG1000","Sega SG-1000","","","","","","","","","",""
15765,14623,"Chuugaku Hisshuu Eitango",13,"Japan","SG1000","Sega SG-1000","","","","","","","","","",""
15766,14624,"Congo Bongo",7,"Europe","SG1000","Sega SG-1000","","","","","","","","","",""
15767,14624,"Congo Bongo",13,"Japan","SG1000","Sega SG-1000","","","","","","","","","",""
15768,14625,"Congo Bongo",13,"Japan","SG1000","Sega SG-1000","","","","","","","","","",""
15769,14626,"Congo Bongo",13,"Japan","SG1000","Sega SG-1000","","","","","","","","","",""
15770,14627,"C_So!",19,"Taiwan","SG1000","Sega SG-1000","","","","","","","","","",""
15771,14628,"C_So!",13,"Japan","SG1000","Sega SG-1000","","","","","","","","","",""
15772,14629,"Dokidoki Penguin Land",13,"Japan","SG1000","Sega SG-1000","","","","","","","","","",""
15773,14630,"Dragon Wang",19,"Taiwan","SG1000","Sega SG-1000","","","","","","","","","",""
15774,14631,"Dragon Wang",13,"Japan","SG1000","Sega SG-1000","","","","","","","","","",""
15775,14632,"Dragon Wang",13,"Japan","SG1000","Sega SG-1000","","","","","","","","","",""
15776,14633,"Dragon Wang",19,"Taiwan","SG1000","Sega SG-1000","","","","","","","","","",""
15777,14634,"Drol",19,"Taiwan","SG1000","Sega SG-1000","","","","","","","","","",""
15778,14635,"Drol",13,"Japan","SG1000","Sega SG-1000","","","","","","","","","",""
15779,14636,"Elevator Action",13,"Japan","SG1000","Sega SG-1000","","","","","","","","","",""
