"releaseID","romID","releaseTitleName","regionLocalizedID","TEMPregionLocalizedName","TEMPsystemShortName","TEMPsystemName","releaseCoverFront","releaseCoverBack","releaseCoverCart","releaseCoverDisc","releaseDescription","releaseDeveloper","releasePublisher","releaseGenre","releaseDate","releaseReferenceURL"
10421,9656,"96 Zenkoku Koukou Soccer Senshuken",13,"Japan","SNES","Nintendo Super Nintendo Entertainment System","","","","","","","","","",""
10422,9657,"2020 Super Baseball",13,"Japan","SNES","Nintendo Super Nintendo Entertainment System","","","","","","","","","",""
10423,9658,"2020 Super Baseball",21,"USA","SNES","Nintendo Super Nintendo Entertainment System","","","","","","","","","",""
10424,9659,"3 Ninjas Kick Back",21,"USA","SNES","Nintendo Super Nintendo Entertainment System","","","","","","","","","",""
10425,9660,"3-ji no Wide Shou: 5 Gatsugou",13,"Japan","SNES","Nintendo Super Nintendo Entertainment System","","","","","","","","","",""
10426,9661,"3-ji no Wide Shou: 6 Gatsugou",13,"Japan","SNES","Nintendo Super Nintendo Entertainment System","","","","","","","","","",""
10427,9662,"3-jigen Kakutou Ballz",13,"Japan","SNES","Nintendo Super Nintendo Entertainment System","","","","","","","","","",""
10428,9663,"3x3 Eyes: Juuma Houkan",13,"Japan","SNES","Nintendo Super Nintendo Entertainment System","","","","","","","","","",""
10429,9664,"3x3 Eyes: Seima Kourinden",13,"Japan","SNES","Nintendo Super Nintendo Entertainment System","","","","","","","","","",""
10430,9665,"4-nin Shougi",13,"Japan","SNES","Nintendo Super Nintendo Entertainment System","","","","","","","","","",""
10431,9666,"46 Okunen Monogatari: Harukanaru Eden e",13,"Japan","SNES","Nintendo Super Nintendo Entertainment System","","","","","","","","","",""
10432,9667,"The 7th Saga",21,"USA","SNES","Nintendo Super Nintendo Entertainment System","","","","","","","","","",""
10433,9668,"90 Minutes: European Prime Goal",7,"Europe","SNES","Nintendo Super Nintendo Entertainment System","","","","","","","","","",""
10434,9669,"90 Minutes: European Prime Goal",7,"Europe","SNES","Nintendo Super Nintendo Entertainment System","","","","","","","","","",""
10435,9670,"A.S.P.: Air Strike Patrol",21,"USA","SNES","Nintendo Super Nintendo Entertainment System","","","","","","","","","",""
10436,9671,"Aaahh!!! Real Monsters",21,"USA","SNES","Nintendo Super Nintendo Entertainment System","","","","","","","","","",""
10437,9672,"Aaahh!!! Real Monsters",7,"Europe","SNES","Nintendo Super Nintendo Entertainment System","","","","","","","","","",""
10438,9673,"ABC Monday Night Football",13,"Japan","SNES","Nintendo Super Nintendo Entertainment System","","","","","","","","","",""
10439,9674,"ABC Monday Night Football",21,"USA","SNES","Nintendo Super Nintendo Entertainment System","","","","","","","","","",""
