"releaseID","romID","releaseTitleName","regionLocalizedID","TEMPregionLocalizedName","TEMPsystemShortName","TEMPsystemName","releaseCoverFront","releaseCoverBack","releaseCoverCart","releaseCoverDisc","releaseDescription","releaseDeveloper","releasePublisher","releaseGenre","releaseDate","releaseReferenceURL"
109519,54588,"2do Arukotoha Sand-R",13,"Japan","Saturn","Sega Saturn","","","","","","","","","",""
109520,54589,"2Tax Gold",13,"Japan","Saturn","Sega Saturn","","","","","","","","","",""
109521,54590,"3D Baseball: The Majors",13,"Japan","Saturn","Sega Saturn","","","","","","","","","",""
109522,54591,"3D Baseball",21,"USA","Saturn","Sega Saturn","","","","","","","","","",""
109523,54592,"3D Lemmings",7,"Europe","Saturn","Sega Saturn","","","","","","","","","",""
109524,54593,"3D Lemmings",13,"Japan","Saturn","Sega Saturn","","","","","","","","","",""
109525,54594,"3D Mission Shooting: Finalist",13,"Japan","Saturn","Sega Saturn","","","","","","","","","",""
109526,54595,"3x3 Eyes: Kyuusei Koushu S (Disc 1)",13,"Japan","Saturn","Sega Saturn","","","","","","","","","",""
109527,54596,"3x3 Eyes: Kyuusei Koushu S (Disc 2)",13,"Japan","Saturn","Sega Saturn","","","","","","","","","",""
109528,54597,"3x3 Eyes: Kyuusei Koushu S (Disc 3) (Special CD-ROM)",13,"Japan","Saturn","Sega Saturn","","","","","","","","","",""
109529,54598,"6 Inch My Darling",13,"Japan","Saturn","Sega Saturn","","","","","","","","","",""
109530,54599,"Actua Golf",7,"Europe","Saturn","Sega Saturn","","","","","","","","","",""
109531,54600,"Actua Golf",13,"Japan","Saturn","Sega Saturn","","","","","","","","","",""
109532,54601,"Actua Soccer: Club Edition",7,"Europe","Saturn","Sega Saturn","","","","","","","","","",""
109533,54602,"Actua Soccer",13,"Japan","Saturn","Sega Saturn","","","","","","","","","",""
109534,54603,"Advanced V.G.",13,"Japan","Saturn","Sega Saturn","","","","","","","","","",""
109535,54604,"Advanced World War: Sennen Teikoku no Koubou: Last of the Millennium",13,"Japan","Saturn","Sega Saturn","","","","","","","","","",""
109536,54605,"Ai Iijima Interactive Video Clip: Good Island Cafe",13,"Japan","Saturn","Sega Saturn","","","","","","","","","",""
109537,54606,"AI Shougi",13,"Japan","Saturn","Sega Saturn","","","","","","","","","",""
109538,54607,"Airs Adventure",13,"Japan","Saturn","Sega Saturn","","","","","","","","","",""
