"releaseID","romID","releaseTitleName","regionLocalizedID","TEMPregionLocalizedName","TEMPsystemShortName","TEMPsystemName","releaseCoverFront","releaseCoverBack","releaseCoverCart","releaseCoverDisc","releaseDescription","releaseDeveloper","releasePublisher","releaseGenre","releaseDate","releaseReferenceURL"
14680,13705,"Alchemist Marie & Elie: Futari no Atelier",13,"Japan","WonderSwan Color","Bandai WonderSwan Color","","","","","","","","","",""
14681,13706,"Another Heaven: Memory of those Days",13,"Japan","WonderSwan Color","Bandai WonderSwan Color","","","","","","","","","",""
14682,13707,"Arc the Lad: Kishin Fukkatsu",13,"Japan","WonderSwan Color","Bandai WonderSwan Color","","","","","","","","","",""
14683,13708,"Battle Spirit: Digimon Frontier",13,"Japan","WonderSwan Color","Bandai WonderSwan Color","","","","","","","","","",""
14684,13709,"Blue Wing Blitz",13,"Japan","WonderSwan Color","Bandai WonderSwan Color","","","","","","","","","",""
14685,13710,"Dark Eyes: Battle Gate",13,"Japan","WonderSwan Color","Bandai WonderSwan Color","","","","","","","","","",""
14686,13711,"Dicing Knight.",13,"Japan","WonderSwan Color","Bandai WonderSwan Color","","","","","","","","","",""
14687,13712,"Digimon: Anode Tamer & Cathode Tamer",1,"Asia","WonderSwan Color","Bandai WonderSwan Color","","","","","","","","","",""
14688,13713,"Digimon Adventure 02: D1 Tamers",13,"Japan","WonderSwan Color","Bandai WonderSwan Color","","","","","","","","","",""
14689,13714,"Digimon Tamers: Battle Spirit",13,"Japan","WonderSwan Color","Bandai WonderSwan Color","","","","","","","","","",""
14690,13715,"Digimon Tamers: Battle Spirit Ver. 1.5",13,"Japan","WonderSwan Color","Bandai WonderSwan Color","","","","","","","","","",""
14691,13716,"Digimon Tamers: Brave Tamer",13,"Japan","WonderSwan Color","Bandai WonderSwan Color","","","","","","","","","",""
14692,13717,"Digimon Tamers: Digimon Medley",13,"Japan","WonderSwan Color","Bandai WonderSwan Color","","","","","","","","","",""
14693,13718,"Digital Monster: D-Project",13,"Japan","WonderSwan Color","Bandai WonderSwan Color","","","","","","","","","",""
14694,13719,"Digital Monster Card Game: Ver. WonderSwan Color",13,"Japan","WonderSwan Color","Bandai WonderSwan Color","","","","","","","","","",""
14695,13720,"Dokodemo Hamster 3: Odekake Saffron",13,"Japan","WonderSwan Color","Bandai WonderSwan Color","","","","","","","","","",""
14696,13721,"Dragon Ball",13,"Japan","WonderSwan Color","Bandai WonderSwan Color","","","","","","","","","",""
14697,13722,"Final Fantasy",13,"Japan","WonderSwan Color","Bandai WonderSwan Color","","","","","","","","","",""
14698,13723,"Final Fantasy II",13,"Japan","WonderSwan Color","Bandai WonderSwan Color","","","","","","","","","",""
14699,13724,"Final Fantasy IV",13,"Japan","WonderSwan Color","Bandai WonderSwan Color","","","","","","","","","",""
14700,13725,"Final Lap Special: GT & Formula Machine",13,"Japan","WonderSwan Color","Bandai WonderSwan Color","","","","","","","","","",""
14701,13726,"Flash Koibito-kun",13,"Japan","WonderSwan Color","Bandai WonderSwan Color","","","","","","","","","",""
14702,13727,"From TV Animation One Piece: Chopper no Daibouken",13,"Japan","WonderSwan Color","Bandai WonderSwan Color","","","","","","","","","",""
14703,13728,"From TV Animation One Piece: Grand Battle Swan Colosseum",13,"Japan","WonderSwan Color","Bandai WonderSwan Color","","","","","","","","","",""
14704,13729,"From TV Animation One Piece: Niji no Shima Densetsu",13,"Japan","WonderSwan Color","Bandai WonderSwan Color","","","","","","","","","",""
14705,13730,"From TV Animation One Piece: Treasure Wars",13,"Japan","WonderSwan Color","Bandai WonderSwan Color","","","","","","","","","",""
14706,13731,"From TV Animation One Piece: Treasure Wars 2: Buggy Land e Youkoso",13,"Japan","WonderSwan Color","Bandai WonderSwan Color","","","","","","","","","",""
14707,13732,"Front Mission",13,"Japan","WonderSwan Color","Bandai WonderSwan Color","","","","","","","","","",""
14708,13733,"Gekitou! Crash Gear Turbo: Gear Champion League",13,"Japan","WonderSwan Color","Bandai WonderSwan Color","","","","","","","","","",""
14709,13734,"Gensou Maden Saiyuuki Retribution: Hi no Ataru Basho de",13,"Japan","WonderSwan Color","Bandai WonderSwan Color","","","","","","","","","",""
