"releaseID","romID","releaseTitleName","regionLocalizedID","TEMPregionLocalizedName","TEMPsystemShortName","TEMPsystemName","releaseCoverFront","releaseCoverBack","releaseCoverCart","releaseCoverDisc","releaseDescription","releaseDeveloper","releasePublisher","releaseGenre","releaseDate","releaseReferenceURL"
14568,13593,"Anchorz Field",13,"Japan","WonderSwan","Bandai WonderSwan","","","","","","","","","",""
14569,13594,"Armored Unit",13,"Japan","WonderSwan","Bandai WonderSwan","","","","","","","","","",""
14570,13595,"Bakusou Dekotora Densetsu for WonderSwan",13,"Japan","WonderSwan","Bandai WonderSwan","","","","","","","","","",""
14571,13596,"Beatmania for WonderSwan",13,"Japan","WonderSwan","Bandai WonderSwan","","","","","","","","","",""
14572,13597,"Buffers Evolution",13,"Japan","WonderSwan","Bandai WonderSwan","","","","","","","","","",""
14573,13598,"Cardcaptor Sakura: Sakura to Fushigi na Clow Card",13,"Japan","WonderSwan","Bandai WonderSwan","","","","","","","","","",""
14574,13599,"Chaos Gear: Michibikareshi Mono",13,"Japan","WonderSwan","Bandai WonderSwan","","","","","","","","","",""
14575,13600,"Chocobo no Fushigi na Dungeon for WonderSwan",13,"Japan","WonderSwan","Bandai WonderSwan","","","","","","","","","",""
14576,13601,"Chou Aniki: Otoko no Tamafuda",13,"Japan","WonderSwan","Bandai WonderSwan","","","","","","","","","",""
14577,13602,"Chou Denki Card Game: Youfu Makai: Kikuchi Shuukou",13,"Japan","WonderSwan","Bandai WonderSwan","","","","","","","","","",""
14578,13603,"Clock Tower for WonderSwan",13,"Japan","WonderSwan","Bandai WonderSwan","","","","","","","","","",""
14579,13604,"Crazy Climber",13,"Japan","WonderSwan","Bandai WonderSwan","","","","","","","","","",""
14580,13605,"D's Garage 21 Koubo Game: Tane o Maku Tori",13,"Japan","WonderSwan","Bandai WonderSwan","","","","","","","","","",""
14581,13606,"Densha de Go!",13,"Japan","WonderSwan","Bandai WonderSwan","","","","","","","","","",""
14582,13607,"Densha de Go! 2",13,"Japan","WonderSwan","Bandai WonderSwan","","","","","","","","","",""
14583,13608,"Digimon: Ver. WonderSwan",1,"Asia","WonderSwan","Bandai WonderSwan","","","","","","","","","",""
14584,13609,"Digimon Adventure: Anode Tamer",13,"Japan","WonderSwan","Bandai WonderSwan","","","","","","","","","",""
14585,13610,"Digimon Adventure: Cathode Tamer",13,"Japan","WonderSwan","Bandai WonderSwan","","","","","","","","","",""
14586,13611,"Digimon Adventure 02: Tag Tamers",13,"Japan","WonderSwan","Bandai WonderSwan","","","","","","","","","",""
14587,13612,"Digital Monster: Ver. WonderSwan",13,"Japan","WonderSwan","Bandai WonderSwan","","","","","","","","","",""
14588,13613,"Digital Partner",13,"Japan","WonderSwan","Bandai WonderSwan","","","","","","","","","",""
14589,13614,"Dokodemo Hamster",13,"Japan","WonderSwan","Bandai WonderSwan","","","","","","","","","",""
14590,13615,"Engacho! for WonderSwan",13,"Japan","WonderSwan","Bandai WonderSwan","","","","","","","","","",""
14591,13616,"Fever: Sankyo Koushiki Pachinko Simulation for WonderSwan",13,"Japan","WonderSwan","Bandai WonderSwan","","","","","","","","","",""
14592,13617,"Final Lap 2000",13,"Japan","WonderSwan","Bandai WonderSwan","","","","","","","","","",""
14593,13618,"Fire Pro Wrestling for WonderSwan",13,"Japan","WonderSwan","Bandai WonderSwan","","","","","","","","","",""
14594,13619,"Fishing Freaks: Bass Rise for WonderSwan",13,"Japan","WonderSwan","Bandai WonderSwan","","","","","","","","","",""
14595,13620,"From TV Animation One Piece: Mezase Kaizoku Ou!",13,"Japan","WonderSwan","Bandai WonderSwan","","","","","","","","","",""
14596,13621,"Ganso Jajamaru-kun",13,"Japan","WonderSwan","Bandai WonderSwan","","","","","","","","","",""
14597,13622,"Glocal Hexcite",13,"Japan","WonderSwan","Bandai WonderSwan","","","","","","","","","",""
14598,13623,"Gomoku Narabe & Reversi: Touryuumon",13,"Japan","WonderSwan","Bandai WonderSwan","","","","","","","","","",""
14599,13624,"Goraku Ou Tango!",13,"Japan","WonderSwan","Bandai WonderSwan","","","","","","","","","",""
14600,13625,"GunPey",13,"Japan","WonderSwan","Bandai WonderSwan","","","","","","","","","",""
14601,13626,"Hanafuda Shiyouyo",13,"Japan","WonderSwan","Bandai WonderSwan","","","","","","","","","",""
14602,13627,"Harobots",13,"Japan","WonderSwan","Bandai WonderSwan","","","","","","","","","",""
14603,13628,"Hunter X Hunter: Ishi o Tsugu Mono",13,"Japan","WonderSwan","Bandai WonderSwan","","","","","","","","","",""
14604,13629,"Itou Junji Uzumaki: Noroi Simulation",13,"Japan","WonderSwan","Bandai WonderSwan","","","","","","","","","",""
14605,13630,"Kakutou Ryouri Densetsu Bistro Recipe: Wonder Battle Hen",13,"Japan","WonderSwan","Bandai WonderSwan","","","","","","","","","",""
14606,13631,"Kaze no Klonoa: Moonlight Museum",13,"Japan","WonderSwan","Bandai WonderSwan","","","","","","","","","",""
14607,13632,"Keiba Yosou Shien Soft: Yosou Shinkaron",13,"Japan","WonderSwan","Bandai WonderSwan","","","","","","","","","",""
14608,13633,"Kiss Yori...: Seaside Serenade",13,"Japan","WonderSwan","Bandai WonderSwan","","","","","","","","","",""
14609,13634,"Kosodate Quiz Dokodemo: My Angel",13,"Japan","WonderSwan","Bandai WonderSwan","","","","","","","","","",""
14610,13635,"Kyousouba Ikusei Simulation: Keiba",13,"Japan","WonderSwan","Bandai WonderSwan","","","","","","","","","",""
14611,13636,"Langrisser Millennium WS: The Last Century",13,"Japan","WonderSwan","Bandai WonderSwan","","","","","","","","","",""
14612,13637,"Last Stand",13,"Japan","WonderSwan","Bandai WonderSwan","","","","","","","","","",""
14613,13638,"Lode Runner for WonderSwan",13,"Japan","WonderSwan","Bandai WonderSwan","","","","","","","","","",""
14614,13639,"Macross: True Love Song",13,"Japan","WonderSwan","Bandai WonderSwan","","","","","","","","","",""
14615,13640,"Magical Drop for WonderSwan",13,"Japan","WonderSwan","Bandai WonderSwan","","","","","","","","","",""
14616,13641,"Mahjong Touryuumon",13,"Japan","WonderSwan","Bandai WonderSwan","","","","","","","","","",""
14617,13642,"Makai Mura for WonderSwan",13,"Japan","WonderSwan","Bandai WonderSwan","","","","","","","","","",""
14618,13643,"Medarot Perfect Edition: Kabuto Version",13,"Japan","WonderSwan","Bandai WonderSwan","","","","","","","","","",""
14619,13644,"Medarot Perfect Edition: Kuwagata Version",13,"Japan","WonderSwan","Bandai WonderSwan","","","","","","","","","",""
14620,13645,"Meitantei Conan: Majutsushi no Chousenjou!",13,"Japan","WonderSwan","Bandai WonderSwan","","","","","","","","","",""
14621,13646,"Meitantei Conan: Nishi no Meitantei Saidai no Kiki!",13,"Japan","WonderSwan","Bandai WonderSwan","","","","","","","","","",""
