"Title","CoverRegionName","CoverType","CoverURL"
"Acid Drop","Acid Drop (EU, 1992)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/5/3/9/584539_37508_front.jpg"
"Acid Drop","Acid Drop (EU, 1992)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/5/3/9/584539_37508_back.jpg"
"G.I. Joe: Cobra Strike","G.I. Joe: Cobra Strike (US, 1983)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/7/7/1/584771_37729_front.jpg"
"G.I. Joe: Cobra Strike","G.I. Joe: Cobra Strike (US, 1983)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/7/7/1/584771_37729_back.jpg"
"G.I. Joe: Cobra Strike","Action Force (EU, 1983)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/7/7/1/584771_172383_front.jpg"
"G.I. Joe: Cobra Strike","Action Force (EU, 1983)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/7/7/1/584771_172383_back.jpg"
"The Activision Decathlon","The Activision Decathlon (US, 1983)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/6/7/3/584673_37633_front.jpg"
"The Activision Decathlon","The Activision Decathlon (US, 1983)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/6/7/3/584673_37633_back.jpg"
"Adventure","Adventure (US, 1979)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/5/4/3/584543_46667_front.jpg"
"Adventure","Adventure (US, 1979)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/5/4/3/584543_46667_back.jpg"
"Adventures of Tron","Adventures of Tron (US, 1982)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/5/4/4/584544_37512_front.jpg"
"Adventures of Tron","Adventures of Tron (US, 1982)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/5/4/4/584544_37512_back.jpg"
"Air Raid","Air Raid (US, 1982)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/1/3/8/945138_100085_front.jpg"
"Air Raid","Air Raid (US, 1982)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/1/3/8/945138_100085_back.jpg"
"Air Raid","Air Raid (US, 1982)","Box Spine","http://image.gamespotcdn.net/gamespot/images/box/1/3/8/945138_100085_spine.jpg"
"Air Raid","Air Raid (US, 1982)","Box Flap","http://image.gamespotcdn.net/gamespot/images/box/1/3/8/945138_100085_flap.jpg"
"Air Raiders","Air Raiders (US, 1982)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/5/4/6/584546_37514_front.jpg"
