"Title","CoverRegionName","CoverType","CoverURL"
"DeathKeep","Advanced Dungeons & Dragons: DeathKeep (US, 1995)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/3/0/2/584302_37347_front.jpg"
"DeathKeep","Advanced Dungeons & Dragons: DeathKeep (US, 1995)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/3/0/2/584302_37347_back.jpg"
"Slayer","Advanced Dungeons & Dragons: Slayer (US, 1994)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/9/4/3/917943_41180_front.jpg"
"Slayer","Advanced Dungeons & Dragons: Slayer (US, 1994)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/9/4/3/917943_41180_back.jpg"
"Slayer","Advanced Dungeons & Dragons: Lost Dungeon (JP, 01/20/95)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/9/4/3/917943_89275_front.jpg"
"Slayer","Advanced Dungeons & Dragons: Lost Dungeon (JP, 01/20/95)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/9/4/3/917943_89275_back.jpg"
"Slayer","Advanced Dungeons & Dragons: Slayer (EU, 1995)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/9/4/3/917943_189640_front.jpg"
"Slayer","Advanced Dungeons & Dragons: Slayer (US, 1994)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/9/4/3/917943_41180_front.jpg"
"Slayer","Advanced Dungeons & Dragons: Slayer (US, 1994)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/9/4/3/917943_41180_back.jpg"
"Slayer","Advanced Dungeons & Dragons: Lost Dungeon (JP, 01/20/95)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/9/4/3/917943_89275_front.jpg"
"Slayer","Advanced Dungeons & Dragons: Lost Dungeon (JP, 01/20/95)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/9/4/3/917943_89275_back.jpg"
"Slayer","Advanced Dungeons & Dragons: Slayer (EU, 1995)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/9/4/3/917943_189640_front.jpg"
"AI Shogi","AI Shogi (JP, 09/14/95)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/5/1/5/569515_7303_front.jpg"
"AI Shogi","AI Shogi (JP, 09/14/95)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/5/1/5/569515_7303_back.jpg"
"Akagi: Topaiten","Akagi: Topaiten (JP, 01/13/96)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/5/6/3/569563_7403_front.jpg"
"Akagi: Topaiten","Akagi: Topaiten (JP, 01/13/96)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/5/6/3/569563_7403_back.jpg"
"Akagi: Topaiten","Akagi: Topaiten (JP, 01/13/96)","Box Spine","http://image.gamespotcdn.net/gamespot/images/box/5/6/3/569563_7403_spine.jpg"
"Alone in the Dark","Alone in the Dark (US, 1993)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/3/0/5/584305_37349_front.jpg"
"Alone in the Dark","Alone in the Dark (US, 1993)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/3/0/5/584305_37349_back.jpg"
"Alone in the Dark","Alone in the Dark (JP, 10/21/94)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/3/0/5/584305_3196_front.jpg"
"Alone in the Dark","Alone in the Dark (JP, 10/21/94)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/3/0/5/584305_3196_back.jpg"
"Alone in the Dark","Alone in the Dark (EU, 1994)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/3/0/5/584305_172703_front.jpg"
"Alone in the Dark 2","Alone in the Dark 2 (US, 1994)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/3/0/6/584306_37350_front.jpg"
"Alone in the Dark 2","Alone in the Dark 2 (US, 1994)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/3/0/6/584306_37350_back.jpg"
"Alone in the Dark 2","Alone in the Dark 2 (JP, 09/08/95)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/3/0/6/584306_2984_front.jpg"
"Alone in the Dark 2","Alone in the Dark 2 (JP, 09/08/95)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/3/0/6/584306_2984_back.jpg"
"The Animals!","The Animals! (US, 1993)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/3/0/7/584307_37351_front.jpg"
"The Animals!","The Animals! (US, 1993)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/3/0/7/584307_37351_back.jpg"
"Out of This World","Out of This World (US, 1991)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/4/4/7/584447_88728_front.jpg"
"Out of This World","Out of This World (US, 1991)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/4/4/7/584447_88728_back.jpg"
"Out of This World","Outer World (JP, 10/21/94)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/4/4/7/584447_2543_front.jpg"
"Out of This World","Outer World (JP, 10/21/94)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/4/4/7/584447_2543_back.jpg"
"Out of This World","Another World (EU, 1994)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/4/4/7/584447_123432_front.jpg"
"Aqua World: Umibi Monogatari","Aqua World: Umibi Monogatari (JP, 10/13/95)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/5/1/9/569519_7991_front.jpg"
"Aqua World: Umibi Monogatari","Aqua World: Umibi Monogatari (JP, 10/13/95)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/5/1/9/569519_7991_back.jpg"
"AutoBahn Tokio","AutoBahn Tokio (JP, 12/22/95)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/5/6/0/569560_8408_front.jpg"
"AutoBahn Tokio","AutoBahn Tokio (JP, 12/22/95)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/5/6/0/569560_8408_back.jpg"
"Bakushou!! All Yoshimoto Quiz-Ou Ketteisen","Bakushou!! All Yoshimoto Quiz-Ou Ketteisen (JP, 03/24/95)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/4/8/5/569485_7719_front.jpg"
"Bakushou!! All Yoshimoto Quiz-Ou Ketteisen","Bakushou!! All Yoshimoto Quiz-Ou Ketteisen (JP, 03/24/95)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/4/8/5/569485_7719_back.jpg"
"Ballz: The Director's Cut","Ballz: The Director's Cut (JP, 09/14/95)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/3/0/9/584309_3092_front.jpg"
"Ballz: The Director's Cut","Ballz: The Director's Cut (JP, 09/14/95)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/3/0/9/584309_3092_back.jpg"
"Ballz: The Director's Cut","Ballz: The Director's Cut (US, 1995)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/3/0/9/584309_46655_front.jpg"
"Ballz: The Director's Cut","Ballz: The Director's Cut (US, 1995)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/3/0/9/584309_46655_back.jpg"
"Battery Navi","Battery Navi (JP, 1995)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/5/2/0/575520_97281_front.jpg"
"Battery Navi","Battery Navi (JP, 1995)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/5/2/0/575520_97281_back.jpg"
"Battle Chess","Battle Chess (US, 1993)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/3/1/4/584314_37355_front.jpg"
"Battle Chess","Battle Chess (US, 1993)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/3/1/4/584314_37355_back.jpg"
"Battle Chess","Battle Chess (JP, 09/16/94)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/3/1/4/584314_2985_front.jpg"
"Battle Chess","Battle Chess (JP, 09/16/94)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/3/1/4/584314_2985_back.jpg"
"Battle Pinball","Battle Pinball (JP, 11/25/94)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/4/6/8/584468_3617_front.jpg"
