"Title","CoverRegionName","CoverType","CoverURL"
"Ace of Aces","Ace of Aces (US, 1988)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/9/0/0/930900_71850_front.jpg"
"Ace of Aces","Ace of Aces (US, 1988)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/9/0/0/930900_71850_back.jpg"
"Adventureland","Adventureland (US, 1981)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/0/7/9/564079_29257_front.jpg"
"Airball","Airball (US, 1988)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/9/0/1/930901_71851_front.jpg"
"Airball","Airball (US, 1988)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/9/0/1/930901_71851_back.jpg"
"Alternate Reality: The City","Alternate Reality: The City (US, 1985)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/5/0/0/575500_34367_front.jpg"
"Andromeda Conquest","Andromeda Conquest (US, 1982)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/9/9/8/943998_97701_front.jpg"
"Archon: The Light and the Dark","Archon: The Light And The Dark (US, 1987)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/9/4/2/955942_149276_front.jpg"
"Archon: The Light and the Dark","Archon: The Light And The Dark (US, 1987)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/9/4/2/955942_149276_back.jpg"
"Archon: The Light and the Dark","Archon: The Light And The Dark (US, 1987)","Box Flap","http://image.gamespotcdn.net/gamespot/images/box/9/4/2/955942_149276_flap.jpg"
"Arkanoid","Arkanoid (EU, 1987)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/9/8/4/955984_117189_front.jpg"
"Arkanoid","Arkanoid (EU, 1987)","Box Spine","http://image.gamespotcdn.net/gamespot/images/box/9/8/4/955984_117189_spine.jpg"
"Asteroids","Asteroids (US, 1981)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/6/3/8/926638_63184_front.jpg"
"Ballblazer","Ballblazer (US, 1988)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/3/7/4/917374_48205_front.jpg"
"Ballblazer","Ballblazer (US, 1988)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/3/7/4/917374_48205_back.jpg"
"Basketball","Basketball (US, 06/01/79)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/5/8/6/935586_79981_front.jpg"
"The Battle of the Bulge: Tigers in the Snow","The Battle of the Bulge: Tigers in the Snow (US, 1981)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/8/3/7/946837_103322_front.jpg"
"The Blade of Blackpoole","The Blade of Blackpoole (US, 1983)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/8/2/9/941829_92507_front.jpg"
