"Title","CoverRegionName","CoverType","CoverURL"
"Aaargh!","Aaargh! (US, 1989)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/9/5/8/563958_29162_front.jpg"
"Aardvark","Aardvark (US, 1986)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/3/2/2/934322_77734_front.jpg"
"Abyss","Abyss (US, 1987)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/9/9/3/563993_29187_front.jpg"
"Accolade Comics","Accolade Comics (US, 1987)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/0/0/4/564004_29195_front.jpg"
"Ace","Ace (US, 1985)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/0/1/5/564015_29206_front.jpg"
"Ace","Ace (EU, 1985)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/0/1/5/564015_73587_front.jpg"
"Ace 2","Ace 2 (US, 1987)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/0/2/6/564026_29214_front.jpg"
"Ace 2088","Ace 2088 (US, 1987)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/0/3/7/564037_29224_front.jpg"
"Ace of Aces","Ace of Aces (US, 1986)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/0/4/8/564048_29233_front.jpg"
"AcroJet","AcroJet (EU, 1985)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/0/6/9/564069_71333_front.jpg"
"AcroJet","AcroJet (Cassette) (EU, 1985)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/0/6/9/564069_189776_front.jpg"
"Action Biker","Action Biker (US, 1985)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/5/7/5/581575_36322_front.jpg"
"Action Biker","Action Biker (EU, 1985)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/5/7/5/581575_73632_front.jpg"
"Action Fighter","Action Fighter (US, 1989)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/0/8/0/564080_29258_front.jpg"
"Action Force","Action Force (US, 1986)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/0/9/1/564091_29266_front.jpg"
"Action Service","Action Service (US, 1989)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/1/1/0/564110_29280_front.jpg"
"Ad Infinitum","Ad Infinitum (US, 1984)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/1/2/9/564129_29292_front.jpg"
"The Addams Family","The Addams Family (US, 1992)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/1/4/0/564140_29302_front.jpg"
"The Addams Family","The Addams Family (US, 1992)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/1/4/0/564140_29302_back.jpg"
"The Addams Family","The Addams Family (EU, 1992)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/1/4/0/564140_71376_front.jpg"
"The Addams Family","The Addams Family (EU, 1992)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/1/4/0/564140_71376_back.jpg"
"The Addams Family","The Addams Family (EU, 1992)","Box Spine","http://image.gamespotcdn.net/gamespot/images/box/1/4/0/564140_71376_spine.jpg"
