"Title","CoverRegionName","CoverType","CoverURL"
"Aa Harimanada","Aa Harimanada (JP, 07/23/93)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/5/3/9/569539_7472_front.jpg"
"Aa Harimanada","Aa Harimanada (JP, 07/23/93)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/5/3/9/569539_7472_back.jpg"
"The Addams Family","The Addams Family (US, January 1992)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/5/9/8/585598_76710_front.jpg"
"The Addams Family","The Addams Family (US, January 1992)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/5/9/8/585598_76710_back.jpg"
"The Addams Family","The Addams Family (JP, 10/23/92)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/5/9/8/585598_3622_front.jpg"
"The Addams Family: Pugsley's Scavenger Hunt","The Addams Family: Pugsley's Scavenger Hunt (US, July 1993)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/5/9/9/585599_38515_front.jpg"
"The Addams Family: Pugsley's Scavenger Hunt","The Addams Family: Pugsley's Scavenger Hunt (EU, 1993)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/5/9/9/585599_194064_front.jpg"
"The Addams Family: Pugsley's Scavenger Hunt","The Addams Family: Pugsley's Scavenger Hunt (EU, 1993)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/5/9/9/585599_194064_back.jpg"
"Adventure Island","Adventure Island (US, February 1992)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/6/0/0/585600_78047_front.jpg"
"Adventure Island","Adventure Island (US, February 1992)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/6/0/0/585600_78047_back.jpg"
"Adventure Island","Takahashi Meijin no Bouken Jima II (JP, 03/06/92)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/6/0/0/585600_2711_front.jpg"
"Adventure Island II: Aliens in Paradise","Takahashi Meijin no Boukenjima III (JP, 02/26/93)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/6/0/1/585601_52522_front.jpg"
"Adventure Island II: Aliens in Paradise","Adventure Island II: Aliens in Paradise (US, February 1993)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/6/0/1/585601_76707_front.jpg"
"Adventure Island II: Aliens in Paradise","Adventure Island II: Aliens in Paradise (US, February 1993)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/6/0/1/585601_76707_back.jpg"
"Adventure Island II: Aliens in Paradise","Takahashi Meijin no Boukenjima III (JP, 02/26/93)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/6/0/1/585601_52522_front.jpg"
"Adventure Island II: Aliens in Paradise","Adventure Island II: Aliens in Paradise (US, February 1993)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/6/0/1/585601_76707_front.jpg"
"Adventure Island II: Aliens in Paradise","Adventure Island II: Aliens in Paradise (US, February 1993)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/6/0/1/585601_76707_back.jpg"
"Adventures of Lolo","Lolo no Daibouken (JP, 03/25/94)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/7/7/8/562778_7317_front.jpg"
"Adventures of Lolo","Lolo no Daibouken (JP, 03/25/94)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/7/7/8/562778_7317_back.jpg"
"Adventures of Lolo","Adventures of Lolo (EU, 1995)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/7/7/8/562778_7507_front.jpg"
"Adventures of Lolo","Adventures of Lolo (EU, 1995)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/7/7/8/562778_7507_back.jpg"
"The Adventures of Rocky and Bullwinkle and Friends","The Adventures of Rocky and Bullwinkle and Friends (US, October 1992)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/2/9/1/563291_45455_front.jpg"
"The Adventures of Rocky and Bullwinkle and Friends","The Adventures of Rocky and Bullwinkle and Friends (US, October 1992)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/2/9/1/563291_45455_back.jpg"
"The Adventures of Star Saver","Rubble Saver (JP, 05/17/91)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/6/0/2/585602_81841_front.jpg"
"The Adventures of Star Saver","The Adventures of Star Saver (US, March 1992)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/6/0/2/585602_38516_front.jpg"
"The Adventures of Star Saver","The Adventures of Star Saver (US, March 1992)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/6/0/2/585602_38516_back.jpg"
"The Adventures of Star Saver","The Adventures Of Star Saver (EU, 1992)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/6/0/2/585602_195560_front.jpg"
"The Adventures of Star Saver","The Adventures Of Star Saver (EU, 1992)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/6/0/2/585602_195560_back.jpg"
"Aerostar","Aerostar (JP, 06/28/91)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/5/5/1/196551_2507_front.jpg"
"Aerostar","Aerostar (US, September 1991)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/5/5/1/196551_27816_front.jpg"
"Aerostar","Aerostar (US, September 1991)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/5/5/1/196551_27816_back.jpg"
