"Title","CoverRegionName","CoverType","CoverURL"
"Ace Combat Advance","Ace Combat Advance (US, 02/23/05)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/1/9/2/925192_61171_front.jpg"
"Ace Combat Advance","Ace Combat Advance (US, 02/23/05)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/1/9/2/925192_61171_back.jpg"
"Ace Combat Advance","Ace Combat Advance (EU, 08/25/06)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/1/9/2/925192_75424_front.jpg"
"Ace Combat Advance","Ace Combat Advance (EU, 08/25/06)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/1/9/2/925192_75424_back.jpg"
"Ace Lightning","Ace Lightning (EU, 10/25/02)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/1/3/3/563133_23787_front.jpg"
"Aero the Acro-bat","Aero the Acro-bat (US, 05/14/02)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/2/2/1/561221_44980_front.jpg"
"Aero the Acro-bat","Aero the Acro-bat (US, 05/14/02)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/2/2/1/561221_44980_back.jpg"
"Aero the Acro-bat","Acrobat Kid (JP, 12/20/02)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/2/2/1/561221_23104_front.jpg"
"Aero the Acro-bat","Aero the Acro-bat (EU, 10/03/03)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/2/2/1/561221_8473_front.jpg"
"Action Man: Robot Atak","Action Man: Robot Atak (EU, 09/24/04)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/0/4/3/922043_57259_front.jpg"
"Activision Anthology","Activision Anthology (US, 12/09/03)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/8/1/9/918819_52106_front.jpg"
"Activision Anthology","Activision Anthology (US, 12/09/03)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/8/1/9/918819_52106_back.jpg"
"GT Advance Championship Racing","Advance GTA (JP, 03/21/01)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/2/4/6/471246_20557_front.jpg"
"GT Advance Championship Racing","Advance GTA (JP, 03/21/01)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/2/4/6/471246_20557_back.jpg"
"GT Advance Championship Racing","GT Advance Championship Racing (US, 06/08/01)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/2/4/6/471246_19896_front.jpg"
"GT Advance Championship Racing","GT Advance Championship Racing (US, 06/08/01)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/2/4/6/471246_19896_back.jpg"
"GT Advance Championship Racing","GT Advance Championship Racing (EU, 06/15/01)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/2/4/6/471246_19895_front.jpg"
"GT Advance 3: Pro Concept Racing","Advance GTA 2 (JP, 04/26/02)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/5/5/3/563553_45543_front.jpg"
"GT Advance 3: Pro Concept Racing","GT Advance 3: Pro Concept Racing (US, 02/06/03)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/5/5/3/563553_51506_front.jpg"
"GT Advance 3: Pro Concept Racing","GT Advance 3: Pro Concept Racing (US, 02/06/03)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/5/5/3/563553_51506_back.jpg"
"GT Advance 3: Pro Concept Racing","GT Advance 3: Pro Concept Racing (EU, 05/23/03)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/5/5/3/563553_27100_front.jpg"
"Advance Guardian Heroes","Advance Guardian Heroes (US, 09/14/04)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/1/7/0/921170_57013_front.jpg"
"Advance Guardian Heroes","Advance Guardian Heroes (US, 09/14/04)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/1/7/0/921170_57013_back.jpg"
"Advance Guardian Heroes","Advance Guardian Heroes (JP, 09/22/04)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/1/7/0/921170_55433_front.jpg"
"Advance Guardian Heroes","Advance Guardian Heroes (JP, 09/22/04)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/1/7/0/921170_55433_back.jpg"
"Advance Guardian Heroes","Advance Guardian Heroes (EU, 02/18/05)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/1/7/0/921170_61268_front.jpg"
"GT Advance 2: Rally Racing","Advance Rally (JP, 12/07/01)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/4/9/0/561490_7892_front.jpg"
"GT Advance 2: Rally Racing","Advance Rally (JP, 12/07/01)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/4/9/0/561490_7892_back.jpg"
"GT Advance 2: Rally Racing","GT Advance 2: Rally Racing (EU, 06/28/02)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/4/9/0/561490_7239_front.jpg"
"GT Advance 2: Rally Racing","GT Advance 2: Rally Racing (US, 06/30/02)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/4/9/0/561490_45069_front.jpg"
"GT Advance 2: Rally Racing","GT Advance 2: Rally Racing (US, 06/30/02)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/4/9/0/561490_45069_back.jpg"
"Advance Wars","Advance Wars (US, 09/09/01)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/0/4/3/471043_44166_front.jpg"
"Advance Wars","Advance Wars (US, 09/09/01)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/0/4/3/471043_44166_back.jpg"
"Advance Wars","Advance Wars (AU, 2001)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/0/4/3/471043_209639_front.jpg"
"Advance Wars","Advance Wars (AU, 2001)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/0/4/3/471043_209639_back.jpg"
"Advance Wars","Advance Wars (EU, 01/11/02)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/0/4/3/471043_20190_front.jpg"
"Advance Wars","Advance Wars (EU, 01/11/02)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/0/4/3/471043_20190_back.jpg"
"Advance Wars 2: Black Hole Rising","Advance Wars 2: Black Hole Rising (US, 06/24/03)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/3/9/1/589391_51653_front.jpg"
"Advance Wars 2: Black Hole Rising","Advance Wars 2: Black Hole Rising (US, 06/24/03)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/3/9/1/589391_51653_back.jpg"
"Advance Wars 2: Black Hole Rising","Advance Wars 2: Black Hole Rising (EU, 10/03/03)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/3/9/1/589391_24374_front.jpg"
"Advance Wars 2: Black Hole Rising","Advance Wars 2: Black Hole Rising (EU, 10/03/03)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/3/9/1/589391_24374_back.jpg"
"Advance Wars 2: Black Hole Rising","Advance Wars 2: Black Hole Rising (AU, 2003)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/3/9/1/589391_209640_front.jpg"
"Adventure of Tokyo Disney","Adventure of Tokyo Disney Sea (JP, 11/22/01)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/8/0/4/565804_5526_front.jpg"
"Adventure of Tokyo Disney","Adventure of Tokyo Disney Sea (JP, 11/22/01)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/8/0/4/565804_5526_back.jpg"
"Adventure of Tokyo Disney","Adventure of Tokyo Disney Sea (JP, 11/22/01)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/8/0/4/565804_5526_front.jpg"
"Adventure of Tokyo Disney","Adventure of Tokyo Disney Sea (JP, 11/22/01)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/8/0/4/565804_5526_back.jpg"
"The Adventures of Jimmy Neutron Boy Genius vs. Jimmy Negatron","The Adventures of Jimmy Neutron Boy Genius vs. Jimmy Negatron (US, 09/25/02)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/0/8/1/563081_23031_front.jpg"
"The Adventures of Jimmy Neutron Boy Genius vs. Jimmy Negatron","The Adventures of Jimmy Neutron Boy Genius vs. Jimmy Negatron (EU, 02/07/03)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/0/8/1/563081_59963_front.jpg"
"The Adventures of Jimmy Neutron Boy Genius: Attack of the Twonkies","The Adventures of Jimmy Neutron Boy Genius: Attack of the Twonkies (US, 09/13/04)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/6/2/5/920625_56603_front.jpg"
"The Adventures of Jimmy Neutron Boy Genius: Attack of the Twonkies","The Adventures of Jimmy Neutron Boy Genius: Attack of the Twonkies (US, 09/13/04)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/6/2/5/920625_56603_back.jpg"
"The Adventures of Jimmy Neutron Boy Genius: Attack of the Twonkies","The Adventures of Jimmy Neutron Boy Genius: Attack of the Twonkies (EU, 02/04/05)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/6/2/5/920625_61270_front.jpg"
"The Adventures of Jimmy Neutron Boy Genius: Attack of the Twonkies","The Adventures of Jimmy Neutron Boy Genius: Attack of the Twonkies (EU, 02/04/05)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/6/2/5/920625_61270_back.jpg"
"The Adventures of Jimmy Neutron Boy Genius: Jet Fusion","The Adventures of Jimmy Neutron Boy Genius: Jet Fusion (US, 09/24/03)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/3/6/3/915363_44281_front.jpg"
"The Adventures of Jimmy Neutron Boy Genius: Jet Fusion","The Adventures of Jimmy Neutron Boy Genius: Jet Fusion (US, 09/24/03)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/3/6/3/915363_44281_back.jpg"
"The Adventures of Jimmy Neutron Boy Genius: Jet Fusion","The Adventures of Jimmy Neutron Boy Genius: Jet Fusion (US, 09/24/03)","Box Spine","http://image.gamespotcdn.net/gamespot/images/box/3/6/3/915363_44281_spine.jpg"
"The Adventures of Jimmy Neutron Boy Genius: Jet Fusion","The Adventures of Jimmy Neutron Boy Genius: Jet Fusion (EU, 11/21/03)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/3/6/3/915363_26838_front.jpg"
"The Adventures of Jimmy Neutron Boy Genius: Jet Fusion","The Adventures of Jimmy Neutron Boy Genius: Jet Fusion (EU, 11/21/03)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/3/6/3/915363_26838_back.jpg"
