"Title","CoverRegionName","CoverType","CoverURL"
"Absolute X","Absolute X (EU, 08/03/01)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/6/7/7/918677_25937_front.jpg"
"Action Man: Search for Base X","Action Man: Search for Base X (US, 02/06/01)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/1/9/9/468199_44125_front.jpg"
"Action Man: Search for Base X","Action Man: Search for Base X (EU, 03/09/01)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/1/9/9/468199_18486_front.jpg"
"AirForce Delta","AirForce Delta (US, 11/21/00)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/6/9/3/369693_50658_front.jpg"
"AirForce Delta","AirForce Delta (JP, 11/22/00)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/6/9/3/369693_18159_front.jpg"
"AirForce Delta","Deadly Skies (EU, 2000)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/6/9/3/369693_73203_front.jpg"
"Alfred's Adventure","Alfred's Adventure (EU, 09/01/00)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/0/6/9/579069_19110_front.jpg"
"Alice in Wonderland","Alice in Wonderland (US, 10/04/00)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/7/0/7/430707_43847_front.jpg"
"Alice in Wonderland","Alice in Wonderland (EU, 04/20/01)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/7/0/7/430707_15874_front.jpg"
"Alice in Wonderland","Alice in Wonderland (EU, 04/20/01)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/7/0/7/430707_15874_back.jpg"
"Aliens: Thanatos Encounter","Aliens: Thanatos Encounter (US, 03/30/01)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/8/3/1/577831_17071_front.jpg"
"Aliens: Thanatos Encounter","Aliens: Thanatos Encounter (EU, 04/13/01)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/8/3/1/577831_60850_front.jpg"
"All Star Tennis 2000","All Star Tennis 2000 (EU, 06/25/99)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/8/7/3/575873_83430_front.jpg"
"All Star Tennis 2000","DSF All Star Tennis (EU, 1999)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/8/7/3/575873_302731_front.jpg"
"All Star Tennis 2000","DSF All Star Tennis (EU, 1999)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/8/7/3/575873_302731_back.jpg"
"All-Star Baseball 2001","All-Star Baseball 2001 (US, June 2000)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/8/2/1/258821_43503_front.jpg"
"Alone in the Dark: The New Nightmare","Alone in the Dark: The New Nightmare (EU, 05/18/01)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/0/7/0/375070_19815_front.jpg"
"Alone in the Dark: The New Nightmare","Alone in the Dark: The New Nightmare (EU, 05/18/01)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/0/7/0/375070_19815_back.jpg"
"Alone in the Dark: The New Nightmare","Alone in the Dark: The New Nightmare (US, 06/27/01)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/0/7/0/375070_19814_front.jpg"
"Animal Breeder 3","Animal Breeder 3 (JP, 06/24/99)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/6/5/3/571653_9543_front.jpg"
"Animal Breeder 3","Animal Breeder 3 (JP, 06/24/99)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/6/5/3/571653_9543_back.jpg"
"Animal Breeder 3","Animal Breeder 3 (JP, 06/24/99)","Box Spine","http://image.gamespotcdn.net/gamespot/images/box/6/5/3/571653_9543_spine.jpg"
"Animal Breeder 3","Animal Breeder 3 (JP, 06/24/99)","Box Flap","http://image.gamespotcdn.net/gamespot/images/box/6/5/3/571653_9543_flap.jpg"
"Animal Breeder 4","Animal Breeder 4 (JP, 01/01/01)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/3/2/6/580326_20397_front.jpg"
"Animal Breeder 4","Animal Breeder 4 (JP, 01/01/01)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/3/2/6/580326_20397_back.jpg"
"Animal Breeder 4","Animal Breeder 4 (JP, 01/01/01)","Box Spine","http://image.gamespotcdn.net/gamespot/images/box/3/2/6/580326_20397_spine.jpg"
"Animal Breeder 4","Animal Breeder 4 (JP, 01/01/01)","Box Flap","http://image.gamespotcdn.net/gamespot/images/box/3/2/6/580326_20397_flap.jpg"
"Animastar GB","Animastar GB (JP, 03/30/01)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/3/7/1/580371_20613_front.jpg"
"Animastar GB","Animastar GB (JP, 03/30/01)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/3/7/1/580371_20613_back.jpg"
"Animastar GB","Animastar GB (JP, 03/30/01)","Box Spine","http://image.gamespotcdn.net/gamespot/images/box/3/7/1/580371_20613_spine.jpg"
"Animastar GB","Animastar GB (JP, 03/30/01)","Box Flap","http://image.gamespotcdn.net/gamespot/images/box/3/7/1/580371_20613_flap.jpg"
"Animorphs","Animorphs (US, 11/07/00)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/3/6/3/914363_47413_front.jpg"
"Animorphs","Animorphs (EU, 12/15/00)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/3/6/3/914363_17008_front.jpg"
"Anpfiff: Der RTL Fussball-Manager","Anpfiff: Der RTL Fussball-Manager (EU, 10/21/00)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/3/9/1/638391_222438_front.jpg"
"Antz","Antz (EU, September 1999)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/6/1/0/196610_83239_front.jpg"
"Antz","Antz (EU, September 1999)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/6/1/0/196610_83239_back.jpg"
"Antz","Antz (US, October 1999)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/6/1/0/196610_50165_front.jpg"
"Antz Racing","Antz Racing (EU, 03/30/01)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/0/3/3/580033_61065_front.jpg"
"Antz World Sportz","Antz World Sportz (EU, 11/30/01)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/3/6/2/945362_100491_front.jpg"
"AquaLife","AquaLife (JP, 10/22/99)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/6/8/2/571682_9935_front.jpg"
"AquaLife","AquaLife (JP, 10/22/99)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/6/8/2/571682_9935_back.jpg"
"Arle no Bouken: Mahou no Jewel","Arle no Bouken: Mahou no Jewel (JP, 03/31/00)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/0/4/4/577044_17434_front.jpg"
"Arle no Bouken: Mahou no Jewel","Arle no Bouken: Mahou no Jewel (JP, 03/31/00)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/0/4/4/577044_17434_back.jpg"
"Arle no Bouken: Mahou no Jewel","Arle no Bouken: Mahou no Jewel (JP, 03/31/00)","Box Spine","http://image.gamespotcdn.net/gamespot/images/box/0/4/4/577044_17434_spine.jpg"
"Arle no Bouken: Mahou no Jewel","Arle no Bouken: Mahou no Jewel (JP, 03/31/00)","Box Flap","http://image.gamespotcdn.net/gamespot/images/box/0/4/4/577044_17434_flap.jpg"
"Armada F/X Racers","Armada F/X Racers (US, 08/25/00)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/6/2/9/196629_27821_front.jpg"
"Armorines: Project S.W.A.R.M.","Armorines: Project S.W.A.R.M. (US, December 1999)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/1/9/3/576193_34699_front.jpg"
"Armorines: Project S.W.A.R.M.","Armorines: Project S.W.A.R.M. (US, December 1999)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/1/9/3/576193_34699_back.jpg"
"Armorines: Project S.W.A.R.M.","Armorines: Project S.W.A.R.M. (EU, 1999)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/1/9/3/576193_110831_front.jpg"
"Army Men 2","Army Men 2 (US, February 2000)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/9/5/4/577954_92796_front.jpg"
"Army Men 2","Army Men 2 (EU, 11/24/00)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/9/5/4/577954_16987_front.jpg"
"Army Men: Air Combat","Army Men: Air Combat (EU, 11/24/00)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/1/1/5/340115_16990_front.jpg"
"Army Men: Air Combat","Army Men: Air Combat (US, November 2000)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/1/1/5/340115_28146_front.jpg"
"Army Men: Sarge's Heroes 2","Army Men: Sarge's Heroes 2 (EU, 11/24/00)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/0/8/3/365083_16991_front.jpg"
"Army Men: Sarge's Heroes 2","Army Men: Sarge's Heroes 2 (US, November 2000)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/0/8/3/365083_28157_front.jpg"
