"Title","CoverRegionName","CoverType","CoverURL"
"Alien vs. Predator","Alien vs. Predator (US, 10/20/94)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/8/7/1/586871_46837_front.jpg"
"Alien vs. Predator","Alien vs. Predator (US, 10/20/94)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/8/7/1/586871_46837_back.jpg"
"Alien vs. Predator","Alien vs. Predator (EU, 1994)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/8/7/1/586871_87836_front.jpg"
"Atari Karts","Atari Karts (US, 1995)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/8/7/2/586872_39286_front.jpg"
"Atari Karts","Atari Karts (US, 1995)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/8/7/2/586872_39286_back.jpg"
"Atari Karts","Atari Karts (US, 1995)","Box Spine","http://image.gamespotcdn.net/gamespot/images/box/8/7/2/586872_39286_spine.jpg"
"Atari Karts","Atari Karts (US, 1995)","Box Flap","http://image.gamespotcdn.net/gamespot/images/box/8/7/2/586872_39286_flap.jpg"
"Attack of the Mutant Penguins","Attack of the Mutant Penguins (US, 03/01/96)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/8/7/3/586873_46838_front.jpg"
"Attack of the Mutant Penguins","Attack of the Mutant Penguins (US, 03/01/96)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/8/7/3/586873_46838_back.jpg"
"Battlesphere","Battlesphere (US, 2000)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/8/7/4/586874_39287_front.jpg"
"Battlesphere","Battlesphere (US, 2000)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/8/7/4/586874_39287_back.jpg"
"Breakout 2000","Breakout 2000 (US, 12/01/96)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/8/7/5/586875_46839_front.jpg"
"Breakout 2000","Breakout 2000 (US, 12/01/96)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/8/7/5/586875_46839_back.jpg"
"Brutal Sports Football","Brutal Sports Football (US, 1994)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/8/7/6/586876_39288_front.jpg"
"Brutal Sports Football","Brutal Sports Football (US, 1994)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/8/7/6/586876_39288_back.jpg"
"Brutal Sports Football","Brutal Sports Football (US, 1994)","Box Spine","http://image.gamespotcdn.net/gamespot/images/box/8/7/6/586876_39288_spine.jpg"
"Brutal Sports Football","Brutal Sports Football (US, 1994)","Box Flap","http://image.gamespotcdn.net/gamespot/images/box/8/7/6/586876_39288_flap.jpg"
"Bubsy in Fractured Furry Tails","Bubsy in Fractured Furry Tails (US, 1994)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/8/7/7/586877_39289_front.jpg"
"Bubsy in Fractured Furry Tails","Bubsy in Fractured Furry Tails (US, 1994)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/8/7/7/586877_39289_back.jpg"
"Bubsy in Fractured Furry Tails","Bubsy in Fractured Furry Tails (US, 1994)","Box Spine","http://image.gamespotcdn.net/gamespot/images/box/8/7/7/586877_39289_spine.jpg"
"Bubsy in Fractured Furry Tails","Bubsy in Fractured Furry Tails (US, 1994)","Box Flap","http://image.gamespotcdn.net/gamespot/images/box/8/7/7/586877_39289_flap.jpg"
"Cannon Fodder","Cannon Fodder (US, 1995)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/8/7/8/586878_39290_front.jpg"
"Cannon Fodder","Cannon Fodder (US, 1995)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/8/7/8/586878_39290_back.jpg"
"Checkered Flag","Checkered Flag (US, 1994)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/8/7/9/586879_39291_front.jpg"
"Checkered Flag","Checkered Flag (US, 1994)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/8/7/9/586879_39291_back.jpg"
"Club Drive","Club Drive (US, 1994)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/8/8/0/586880_39292_front.jpg"
"Club Drive","Club Drive (US, 1994)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/8/8/0/586880_39292_back.jpg"
"Club Drive","Club Drive (US, 1994)","Box Spine","http://image.gamespotcdn.net/gamespot/images/box/8/8/0/586880_39292_spine.jpg"
"Club Drive","Club Drive (US, 1994)","Box Flap","http://image.gamespotcdn.net/gamespot/images/box/8/8/0/586880_39292_flap.jpg"
"Cybermorph","Cybermorph (US, 1993)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/8/8/1/586881_39293_front.jpg"
"Cybermorph","Cybermorph (US, 1993)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/8/8/1/586881_39293_back.jpg"
"Defender 2000","Defender 2000 (US, 1996)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/8/8/2/586882_39294_front.jpg"
"Defender 2000","Defender 2000 (US, 1996)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/8/8/2/586882_39294_back.jpg"
"Doom","Doom (US, 1994)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/3/6/5/563365_28990_front.jpg"
"Doom","Doom (US, 1994)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/3/6/5/563365_28990_back.jpg"
"Doom","Doom (US, 1994)","Box Spine","http://image.gamespotcdn.net/gamespot/images/box/3/6/5/563365_28990_spine.jpg"
"Doom","Doom (US, 1994)","Box Flap","http://image.gamespotcdn.net/gamespot/images/box/3/6/5/563365_28990_flap.jpg"
"Double Dragon V","Double Dragon V (US, 04/01/95)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/8/8/3/586883_46840_front.jpg"
"Double Dragon V","Double Dragon V (US, 04/01/95)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/8/8/3/586883_46840_back.jpg"
"Dragon: The Bruce Lee Story","Dragon: The Bruce Lee Story (US, 11/01/94)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/8/8/4/586884_46841_front.jpg"
"Dragon: The Bruce Lee Story","Dragon: The Bruce Lee Story (US, 11/01/94)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/8/8/4/586884_46841_back.jpg"
"Elansar","Elansar (EU, July 2013)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/7/3/3/727733_334264_front.jpg"
"Evolution: Dino Dudes","Evolution: Dino Dudes (US, 1994)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/8/8/6/586886_39296_front.jpg"
"Fever Pitch Soccer","Fever Pitch Soccer (US, December 1995)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/8/8/7/586887_46842_front.jpg"
"Fever Pitch Soccer","Fever Pitch Soccer (US, December 1995)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/8/8/7/586887_46842_back.jpg"
"Fever Pitch Soccer","Fever Pitch Soccer (US, December 1995)","Box Spine","http://image.gamespotcdn.net/gamespot/images/box/8/8/7/586887_46842_spine.jpg"
"Fever Pitch Soccer","Fever Pitch Soccer (US, December 1995)","Box Flap","http://image.gamespotcdn.net/gamespot/images/box/8/8/7/586887_46842_flap.jpg"
"Fight For Life","Fight For Life (US, 1996)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/8/8/8/586888_39297_front.jpg"
"Fight For Life","Fight For Life (US, 1996)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/8/8/8/586888_39297_back.jpg"
"Flashback: The Quest for Identity","Flashback (US, July 1995)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/8/8/9/586889_46843_front.jpg"
"Flashback: The Quest for Identity","Flashback (US, July 1995)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/8/8/9/586889_46843_back.jpg"
"Flashback: The Quest for Identity","Flashback (US, July 1995)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/8/8/9/586889_46843_front.jpg"
