"Title","CoverRegionName","CoverType","CoverURL"
"ADK World","ADK World (JP, 11/10/95)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/6/8/8/565688_5657_front.jpg"
"ADK World","ADK World (JP, 11/10/95)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/6/8/8/565688_5657_back.jpg"
"ADK World","ADK World (JP, 11/10/95)","Box Spine","http://image.gamespotcdn.net/gamespot/images/box/6/8/8/565688_5657_spine.jpg"
"ADK World","ADK World (JP, 11/10/95)","Box Flap","http://image.gamespotcdn.net/gamespot/images/box/6/8/8/565688_5657_flap.jpg"
"Aero Fighters 2","Aero Fighters 2 (US, 09/29/94)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/2/9/5/922295_86331_front.jpg"
"Aero Fighters 2","Aero Fighters 2 (US, 09/29/94)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/2/9/5/922295_86331_back.jpg"
"Aero Fighters 2","Sonic Wings 2 (JP, 09/29/94)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/2/9/5/922295_86332_front.jpg"
"Aero Fighters 2","Sonic Wings 2 (JP, 09/29/94)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/2/9/5/922295_86332_back.jpg"
"Aero Fighters 3","Sonic Wings 3 (JP, 12/08/95)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/9/6/0/938960_86378_front.jpg"
"Aero Fighters 3","Sonic Wings 3 (JP, 12/08/95)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/9/6/0/938960_86378_back.jpg"
"Aero Fighters 3","Aero Fighters 3 (US, 1995)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/9/6/0/938960_86377_front.jpg"
"Aggressors of Dark Kombat","Aggressors of Dark Kombat (US, 1994)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/2/9/7/922297_65680_front.jpg"
"Aggressors of Dark Kombat","Aggressors of Dark Kombat (US, 1994)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/2/9/7/922297_65680_back.jpg"
"Aggressors of Dark Kombat","Tsukai Gan Gan Koshinkyoku (JP, 01/13/95)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/2/9/7/922297_86341_front.jpg"
"Aggressors of Dark Kombat","Tsukai Gan Gan Koshinkyoku (JP, 01/13/95)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/2/9/7/922297_86341_back.jpg"
"Aggressors of Dark Kombat","Tsukai Gan Gan Koshinkyoku (JP, 01/13/95)","Box Spine","http://image.gamespotcdn.net/gamespot/images/box/2/9/7/922297_86341_spine.jpg"
"Alpha Mission II","Alpha Mission II (US, 09/09/94)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/2/1/8/922218_57682_front.jpg"
"Alpha Mission II","Alpha Mission II (US, 09/09/94)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/2/1/8/922218_57682_back.jpg"
"Alpha Mission II","ASO II: Last Guardian (JP, 09/09/94)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/2/1/8/922218_57683_front.jpg"
"Alpha Mission II","ASO II: Last Guardian (JP, 09/09/94)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/2/1/8/922218_57683_back.jpg"
"Art of Fighting","Ryuuko no Ken (JP, 09/09/94)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/8/1/7/919817_50732_front.jpg"
"Art of Fighting","Ryuuko no Ken (JP, 09/09/94)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/8/1/7/919817_50732_back.jpg"
"Art of Fighting","Art of Fighting (US, 1994)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/8/1/7/919817_88782_front.jpg"
"Art of Fighting","Art of Fighting (US, 1994)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/8/1/7/919817_88782_back.jpg"
"Art of Fighting 2","Ryuuko no Ken 2 (JP, 09/09/94)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/2/8/9/922289_86328_front.jpg"
"Art of Fighting 2","Ryuuko no Ken 2 (JP, 09/09/94)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/2/8/9/922289_86328_back.jpg"
"Art of Fighting 2","Art of Fighting 2 (US, 1994)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/2/8/9/922289_86327_front.jpg"
"Art of Fighting 2","Art of Fighting 2 (US, 1994)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/2/8/9/922289_86327_back.jpg"
"Art of Fighting 3","Art of Fighting: Ryuuko no Ken Gaiden (JP, 06/14/96)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/3/0/9/922309_86371_front.jpg"
"Art of Fighting 3","Art of Fighting: Ryuuko no Ken Gaiden (JP, 06/14/96)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/3/0/9/922309_86371_back.jpg"
"Art of Fighting 3","Art of Fighting: Ryuuko no Ken Gaiden (Limited Edition) (JP, 06/14/96)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/3/0/9/922309_306976_front.jpg"
"Art of Fighting 3","Art of Fighting: Ryuuko no Ken Gaiden (Limited Edition) (JP, 06/14/96)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/3/0/9/922309_306976_back.jpg"
"Art of Fighting 3","Art of Fighting: Ryuuko no Ken Gaiden (JP, 06/14/96)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/3/0/9/922309_86371_front.jpg"
"Art of Fighting 3","Art of Fighting: Ryuuko no Ken Gaiden (JP, 06/14/96)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/3/0/9/922309_86371_back.jpg"
"Art of Fighting 3","Art of Fighting: Ryuuko no Ken Gaiden (Limited Edition) (JP, 06/14/96)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/3/0/9/922309_306976_front.jpg"
"Art of Fighting 3","Art of Fighting: Ryuuko no Ken Gaiden (Limited Edition) (JP, 06/14/96)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/3/0/9/922309_306976_back.jpg"
"Alpha Mission II","Alpha Mission II (US, 09/09/94)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/2/1/8/922218_57682_front.jpg"
"Alpha Mission II","Alpha Mission II (US, 09/09/94)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/2/1/8/922218_57682_back.jpg"
"Alpha Mission II","ASO II: Last Guardian (JP, 09/09/94)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/2/1/8/922218_57683_front.jpg"
"Alpha Mission II","ASO II: Last Guardian (JP, 09/09/94)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/2/1/8/922218_57683_back.jpg"
"The Last Blade 2","Bakumatsu Rouman Dai Ni Maku: Gekka no Kenshi (JP, 02/27/99)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/8/5/1/562851_13630_front.jpg"
"The Last Blade 2","Bakumatsu Rouman Dai Ni Maku: Gekka no Kenshi (JP, 02/27/99)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/8/5/1/562851_13630_back.jpg"
"The Last Blade 2","Bakumatsu Rouman Dai Ni Maku: Gekka no Kenshi (JP, 02/27/99)","Box Spine","http://image.gamespotcdn.net/gamespot/images/box/8/5/1/562851_13630_spine.jpg"
"The Last Blade","The Last Blade (US, 03/26/98)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/3/1/7/922317_60771_front.jpg"
"The Last Blade","The Last Blade (US, 03/26/98)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/3/1/7/922317_60771_back.jpg"
