"Title","CoverRegionName","CoverType","CoverURL"
"Ah! My Goddess","Aa! Megami-sama! (JP, 12/12/97)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/8/5/9/587859_66021_front.jpg"
"Ah! My Goddess","Aa! Megami-sama! (JP, 12/12/97)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/8/5/9/587859_66021_back.jpg"
"Ah! My Goddess","Aa! Megami-sama! (JP, 12/12/97)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/8/5/9/587859_66021_front.jpg"
"Ah! My Goddess","Aa! Megami-sama! (JP, 12/12/97)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/8/5/9/587859_66021_back.jpg"
"Akazukin ChaCha: Osawagase Panic Race","Akazukin ChaCha: Osawagase Panic Race (JP, 10/25/96)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/8/8/8/587888_63440_front.jpg"
"Akazukin ChaCha: Osawagase Panic Race","Akazukin ChaCha: Osawagase Panic Race (JP, 10/25/96)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/8/8/8/587888_63440_back.jpg"
"Angelique Special","Angelique Special (JP, 12/22/95)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/8/6/2/587862_4977_front.jpg"
"Angelique Special","Angelique Special (JP, 12/22/95)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/8/6/2/587862_4977_back.jpg"
"Angelique Special 2","Angelique Special 2 (JP, 12/06/96)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/8/6/3/587863_85096_front.jpg"
"Angelique Special 2","Angelique Special 2 (JP, 12/06/96)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/8/6/3/587863_85096_back.jpg"
"Angelique: Tenkuu no Requiem","Angelique: Tenkuu no Requiem (JP, 04/02/98)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/8/8/3/926883_63531_front.jpg"
"Angelique: Tenkuu no Requiem","Angelique: Tenkuu no Requiem (JP, 04/02/98)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/8/8/3/926883_63531_back.jpg"
"Anime Freak FX Vol. 1","Anime Freak FX Vol. 1 (JP, 08/12/95)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/8/6/4/587864_4129_front.jpg"
"Anime Freak FX Vol. 1","Anime Freak FX Vol. 1 (JP, 08/12/95)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/8/6/4/587864_4129_back.jpg"
"Anime Freak FX Vol. 2","Anime Freak FX Vol. 2 (JP, 12/22/95)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/8/6/5/587865_4130_front.jpg"
"Anime Freak FX Vol. 2","Anime Freak FX Vol. 2 (JP, 12/22/95)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/8/6/5/587865_4130_back.jpg"
"Anime Freak FX Vol. 3","Anime Freak FX Vol. 3 (JP, 04/05/96)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/8/6/6/587866_4131_front.jpg"
"Anime Freak FX Vol. 3","Anime Freak FX Vol. 3 (JP, 04/05/96)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/8/6/6/587866_4131_back.jpg"
"Anime Freak FX Vol. 4","Anime Freak FX Vol. 4 (JP, 02/28/97)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/8/6/7/587867_39944_front.jpg"
"Anime Freak FX Vol. 4","Anime Freak FX Vol. 4 (JP, 02/28/97)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/8/6/7/587867_39944_back.jpg"
"Anime Freak FX Vol. 5","Anime Freak FX Vol. 5 (JP, 08/29/97)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/3/5/2/918352_25542_front.jpg"
"Anime Freak FX Vol. 5","Anime Freak FX Vol. 5 (JP, 08/29/97)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/3/5/2/918352_25542_back.jpg"
"Anime Freak FX Vol. 6","Anime Freak FX Vol. 6 (JP, 02/27/98)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/3/5/3/918353_25543_front.jpg"
"Anime Freak FX Vol. 6","Anime Freak FX Vol. 6 (JP, 02/27/98)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/3/5/3/918353_25543_back.jpg"
"Arubarea no Otome","Arubarea no Otome (JP, 06/27/97)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/8/6/8/587868_66022_front.jpg"
"Arubarea no Otome","Arubarea no Otome (JP, 06/27/97)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/8/6/8/587868_66022_back.jpg"
"Battle Heat","Battle Heat (JP, 12/23/94)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/8/6/9/587869_4286_front.jpg"
"Battle Heat","Battle Heat (JP, 12/23/94)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/8/6/9/587869_4286_back.jpg"
"Blue Breaker","Blue Breaker: Ken Yorimo Hohoemi o (JP, 09/27/96)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/8/7/0/587870_84738_front.jpg"
"Blue Breaker","Blue Breaker: Ken Yorimo Hohoemi o (JP, 09/27/96)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/8/7/0/587870_84738_back.jpg"
"Blue Breaker","Blue Breaker: Ken Yorimo Hohoemi o (JP, 09/27/96)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/8/7/0/587870_84738_front.jpg"
"Blue Breaker","Blue Breaker: Ken Yorimo Hohoemi o (JP, 09/27/96)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/8/7/0/587870_84738_back.jpg"
"J.B. Harold: Blue Chicago Blues","Blue Chicago Blues (JP, 03/22/96)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/8/7/1/587871_4132_front.jpg"
"J.B. Harold: Blue Chicago Blues","Blue Chicago Blues (JP, 03/22/96)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/8/7/1/587871_4132_back.jpg"
"Boundary Gate: Daughter of Kingdom","Boundary Gate: Daughter of Kingdom (JP, 01/24/97)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/8/7/2/587872_63439_front.jpg"
"Boundary Gate: Daughter of Kingdom","Boundary Gate: Daughter of Kingdom (JP, 01/24/97)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/8/7/2/587872_63439_back.jpg"
"Can Can Bunny Extra DX","Can Can Bunny Extra DX (JP, 09/27/96)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/8/7/3/587873_85099_front.jpg"
"Can Can Bunny Extra DX","Can Can Bunny Extra DX (JP, 09/27/96)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/8/7/3/587873_85099_back.jpg"
"Chip-chan Kick!","Chip-chan Kick! (JP, 09/13/96)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/8/7/4/587874_85098_front.jpg"
"Chip-chan Kick!","Chip-chan Kick! (JP, 09/13/96)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/8/7/4/587874_85098_back.jpg"
"Chip-chan Kick!","Chip-chan Kick! (JP, 09/13/96)","Box Spine","http://image.gamespotcdn.net/gamespot/images/box/8/7/4/587874_85098_spine.jpg"
"Choujin Heiki Zeroigar","Choujin Heiki Zeroigar (JP, 08/08/97)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/9/0/6/587906_85104_front.jpg"
"Choujin Heiki Zeroigar","Choujin Heiki Zeroigar (JP, 08/08/97)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/9/0/6/587906_85104_back.jpg"
"Cocktail Pack","Cocktail Pack (JP, 11/28/97)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/3/5/4/918354_25991_front.jpg"
"Cocktail Pack","Cocktail Pack (JP, 11/28/97)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/3/5/4/918354_25991_back.jpg"
"Comic Road","Comic Road (JP, 09/26/97)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/8/7/6/587876_5241_front.jpg"
"Comic Road","Comic Road (JP, 09/26/97)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/8/7/6/587876_5241_back.jpg"
"Cutey Honey FX","Cutey Honey FX (JP, 11/10/95)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/8/7/7/587877_4133_front.jpg"
"Cutey Honey FX","Cutey Honey FX (JP, 11/10/95)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/8/7/7/587877_4133_back.jpg"
"Der Langrisser FX","Der Langrisser FX (JP, 04/26/96)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/8/7/9/587879_4135_front.jpg"
"Der Langrisser FX","Der Langrisser FX (JP, 04/26/96)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/8/7/9/587879_4135_back.jpg"
"Doukyuusei 2","Doukyuusei 2 (JP, 08/09/96)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/8/7/5/587875_63438_front.jpg"
"Doukyuusei 2","Doukyuusei 2 (JP, 08/09/96)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/8/7/5/587875_63438_back.jpg"
"Doukyuusei 2","Doukyuusei 2 (JP, 08/09/96)","Box Spine","http://image.gamespotcdn.net/gamespot/images/box/8/7/5/587875_63438_spine.jpg"
"Dragon Knight 4","Dragon Knight 4 (JP, 03/28/97)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/8/8/0/587880_85095_front.jpg"
"Dragon Knight 4","Dragon Knight 4 (JP, 03/28/97)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/8/8/0/587880_85095_back.jpg"
"Farland Story FX","Farland Story FX (JP, 10/25/96)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/8/8/2/587882_85093_front.jpg"
"Farland Story FX","Farland Story FX (JP, 10/25/96)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/8/8/2/587882_85093_back.jpg"
"Fire Woman Matoigumi","Fire Woman Matoigumi (JP, 12/20/96)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/8/8/3/587883_85100_front.jpg"
"Fire Woman Matoigumi","Fire Woman Matoigumi (JP, 12/20/96)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/8/8/3/587883_85100_back.jpg"
"First Kiss * Monogatari","First Kiss * Monogatari (JP, 04/27/98)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/3/5/5/918355_26030_front.jpg"
"First Kiss * Monogatari","First Kiss * Monogatari (JP, 04/27/98)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/3/5/5/918355_26030_back.jpg"
"Fushigi no Kuni no Angelique","Fushigi no Kuni no Angelique (JP, 10/11/96)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/8/6/1/587861_39942_front.jpg"
"Fushigi no Kuni no Angelique","Fushigi no Kuni no Angelique (JP, 10/11/96)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/8/6/1/587861_39942_back.jpg"
