"Title","CoverRegionName","CoverType","CoverURL"
"Dragon's Curse","Adventure Island (JP, 04/19/91)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/6/5/7/578657_58275_front.jpg"
"Dragon's Curse","Dragon's Curse (US, 1991)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/6/5/7/578657_88028_front.jpg"
"Aero Blasters","Aero Blasters (JP, 11/02/90)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/8/8/5/588885_4299_front.jpg"
"Aero Blasters","Aero Blasters (US, 1990)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/8/8/5/588885_57375_front.jpg"
"After Burner II","After Burner II (JP, 09/28/90)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/8/8/6/588886_4144_front.jpg"
"Air Zonk","PC Denjin: Punkic Cyborgs (JP, 11/20/92)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/8/8/8/588888_4300_front.jpg"
"Air Zonk","PC Denjin: Punkic Cyborgs (JP, 11/20/92)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/8/8/8/588888_4300_back.jpg"
"Air Zonk","Air Zonk (US, 1992)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/8/8/8/588888_57376_front.jpg"
"Air Zonk","Air Zonk (US, 1992)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/8/8/8/588888_57376_back.jpg"
"Air Zonk","Air Zonk (US, 1992)","Box Spine","http://image.gamespotcdn.net/gamespot/images/box/8/8/8/588888_57376_spine.jpg"
"Air Zonk","Air Zonk (US, 1992)","Box Flap","http://image.gamespotcdn.net/gamespot/images/box/8/8/8/588888_57376_flap.jpg"
"Aldynes","Aldynes: The Mission Code for Rage Crisis (JP, 1991)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/8/6/7/924867_59637_front.jpg"
"Aldynes","Aldynes: The Mission Code for Rage Crisis (JP, 1991)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/8/6/7/924867_59637_back.jpg"
"Aldynes","Aldynes: The Mission Code for Rage Crisis (JP, 1991)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/8/6/7/924867_59637_front.jpg"
"Aldynes","Aldynes: The Mission Code for Rage Crisis (JP, 1991)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/8/6/7/924867_59637_back.jpg"
"Alien Crush","Alien Crush (JP, 09/14/88)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/8/9/0/588890_4860_front.jpg"
"Alien Crush","Alien Crush (JP, 09/14/88)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/8/9/0/588890_4860_back.jpg"
"Alien Crush","Alien Crush (US, 1989)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/8/9/0/588890_57378_front.jpg"
"Alien Crush","Alien Crush (US, 1989)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/8/9/0/588890_57378_back.jpg"
"Andre Panza Kick Boxing","Andre Panza Kick Boxing (US, 1991)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/8/9/2/588892_57380_front.jpg"
"Andre Panza Kick Boxing","Andre Panza Kick Boxing (US, 1991)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/8/9/2/588892_57380_back.jpg"
"Legendary Axe II","Ankoku Densetsu (JP, 09/07/90)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/0/1/8/589018_4761_front.jpg"
"Legendary Axe II","Legendary Axe II (US, 1990)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/0/1/8/589018_40551_front.jpg"
"Legendary Axe II","Legendary Axe II (US, 1990)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/0/1/8/589018_40551_back.jpg"
