"Title","CoverRegionName","CoverType","CoverURL"
"Bank Panic","Bank Panic (JP, 1985)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/3/2/1/916321_8570_front.jpg"
"Bank Panic","Bank Panic (JP, 1985)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/3/2/1/916321_8570_back.jpg"
"Bank Panic","Bank Panic (JP, 1985)","Box Spine","http://image.gamespotcdn.net/gamespot/images/box/3/2/1/916321_8570_spine.jpg"
"The Black Onyx","The Black Onyx (JP, 1987)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/3/3/7/916337_8586_front.jpg"
"The Black Onyx","The Black Onyx (JP, 1987)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/3/3/7/916337_8586_back.jpg"
"The Black Onyx","The Black Onyx (JP, 1987)","Box Spine","http://image.gamespotcdn.net/gamespot/images/box/3/3/7/916337_8586_spine.jpg"
"Bomb Jack","Bomb Jack (JP, 1985)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/3/2/9/916329_8578_front.jpg"
"Borderline","Borderline (EU, 1983)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/2/7/4/916274_89785_front.jpg"
"Borderline","Borderline (EU, 1983)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/2/7/4/916274_89785_back.jpg"
"Borderline","Borderline (AU, 1983)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/2/7/4/916274_89786_front.jpg"
"Borderline","Borderline (AU, 1983)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/2/7/4/916274_89786_back.jpg"
"Borderline","Borderline (JP, 1983)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/2/7/4/916274_8523_front.jpg"
"C-SO!","C-SO! (JP, 1985)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/3/3/1/916331_8580_front.jpg"
"The Castle","The Castle (JP, 1986)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/3/3/8/916338_8587_front.jpg"
"The Castle","The Castle (JP, 1986)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/3/3/8/916338_8587_back.jpg"
"Chack'n Pop","Chack'n Pop (JP, 1985)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/3/2/0/916320_8569_front.jpg"
"Challenge Derby","Challenge Derby (JP, 1984)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/3/4/4/916344_9845_front.jpg"
"Champion Baseball","Champion Baseball (AU, 1983)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/2/8/4/916284_90019_front.jpg"
"Champion Baseball","Champion Baseball (AU, 1983)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/2/8/4/916284_90019_back.jpg"
