"Title","CoverRegionName","CoverType","CoverURL"
"Ace of Aces","Ace of Aces (EU, 1991)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/0/2/1/588021_3798_front.jpg"
"Ace of Aces","Ace of Aces (EU, 1991)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/0/2/1/588021_3798_back.jpg"
"Ace of Aces","Ace of Aces (EU, 1991)","Box Spine","http://image.gamespotcdn.net/gamespot/images/box/0/2/1/588021_3798_spine.jpg"
"Ace of Aces","Ace of Aces (SA, 1991)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/0/2/1/588021_126196_front.jpg"
"Ace of Aces","Ace of Aces (SA, 1991)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/0/2/1/588021_126196_back.jpg"
"Ace of Aces","Ace of Aces (SA, 1991)","Box Spine","http://image.gamespotcdn.net/gamespot/images/box/0/2/1/588021_126196_spine.jpg"
"Action Fighter","Action Fighter (JP, 08/17/86)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/0/2/2/588022_3800_front.jpg"
"Action Fighter","Action Fighter (US, 1986)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/0/2/2/588022_40030_front.jpg"
"Action Fighter","Action Fighter (US, 1986)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/0/2/2/588022_40030_back.jpg"
"Action Fighter","Action Fighter (US, 1986)","Box Spine","http://image.gamespotcdn.net/gamespot/images/box/0/2/2/588022_40030_spine.jpg"
"Action Fighter","Action Fighter (EU, 1986)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/0/2/2/588022_3799_front.jpg"
"Action Fighter","Action Fighter (EU, 1986)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/0/2/2/588022_3799_back.jpg"
"Action Fighter","Action Fighter (EU, 1986)","Box Spine","http://image.gamespotcdn.net/gamespot/images/box/0/2/2/588022_3799_spine.jpg"
"Action Fighter","Action Fighter (SA, 1986)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/0/2/2/588022_126197_front.jpg"
"Action Fighter","Action Fighter (SA, 1986)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/0/2/2/588022_126197_back.jpg"
"Action Fighter","Action Fighter (SA, 1986)","Box Spine","http://image.gamespotcdn.net/gamespot/images/box/0/2/2/588022_126197_spine.jpg"
"The Addams Family","The Addams Family (EU, 1992)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/2/8/3/582283_89791_front.jpg"
"The Addams Family","The Addams Family (EU, 1992)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/2/8/3/582283_89791_back.jpg"
"The Addams Family","The Addams Family (EU, 1992)","Box Spine","http://image.gamespotcdn.net/gamespot/images/box/2/8/3/582283_89791_spine.jpg"
"Wonder Kid","Adventure Kid (AU, 1995)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/4/8/6/611486_190945_front.jpg"
"Aerial Assault","Aerial Assault (US, 1990)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/0/2/3/588023_40031_front.jpg"
"Aerial Assault","Aerial Assault (US, 1990)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/0/2/3/588023_40031_back.jpg"
"Aerial Assault","Aerial Assault (US, 1990)","Box Spine","http://image.gamespotcdn.net/gamespot/images/box/0/2/3/588023_40031_spine.jpg"
"Aerial Assault","Aerial Assault (EU, 1990)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/0/2/3/588023_88035_front.jpg"
"Aerial Assault","Aerial Assault (EU, 1990)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/0/2/3/588023_88035_back.jpg"
"Aerial Assault","Aerial Assault (EU, 1990)","Box Spine","http://image.gamespotcdn.net/gamespot/images/box/0/2/3/588023_88035_spine.jpg"
"After Burner","After Burner (JP, 12/12/87)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/0/2/4/588024_85879_front.jpg"
"After Burner","After Burner (JP, 12/12/87)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/0/2/4/588024_85879_back.jpg"
"After Burner","After Burner (US, 1988)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/0/2/4/588024_3801_front.jpg"
"After Burner","After Burner (US, 1988)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/0/2/4/588024_3801_back.jpg"
"After Burner","After Burner (US, 1988)","Box Spine","http://image.gamespotcdn.net/gamespot/images/box/0/2/4/588024_3801_spine.jpg"
"After Burner","After Burner (EU, 1988)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/0/2/4/588024_88036_front.jpg"
"After Burner","After Burner (EU, 1988)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/0/2/4/588024_88036_back.jpg"
"After Burner","After Burner (EU, 1988)","Box Spine","http://image.gamespotcdn.net/gamespot/images/box/0/2/4/588024_88036_spine.jpg"
"After Burner","After Burner (SA, 1988)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/0/2/4/588024_90110_front.jpg"
"After Burner","After Burner (SA, 1988)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/0/2/4/588024_90110_back.jpg"
"After Burner","After Burner (SA, 1988)","Box Spine","http://image.gamespotcdn.net/gamespot/images/box/0/2/4/588024_90110_spine.jpg"
"The Dinosaur Dooley","Agigongnyong Dooly (KO, 1991)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/1/9/3/939193_184811_front.jpg"
"The Dinosaur Dooley","Agigongnyong Dooly (KO, 1991)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/1/9/3/939193_184811_back.jpg"
"The Dinosaur Dooley","Agigongnyong Dooly (KO, 1991)","Box Spine","http://image.gamespotcdn.net/gamespot/images/box/1/9/3/939193_184811_spine.jpg"
"The Dinosaur Dooley","The Dinosaur Dooley (US, Canceled)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/1/9/3/939193_86868_front.jpg"
"Air Rescue","Air Rescue (EU, 1992)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/1/8/3/570183_90111_front.jpg"
"Air Rescue","Air Rescue (EU, 1992)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/1/8/3/570183_90111_back.jpg"
"Air Rescue","Air Rescue (EU, 1992)","Box Spine","http://image.gamespotcdn.net/gamespot/images/box/1/8/3/570183_90111_spine.jpg"
"Air Rescue","Air Rescue (KO, 1992)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/1/8/3/570183_197209_front.jpg"
"Air Rescue","Air Rescue (SA, 1992)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/1/8/3/570183_126198_front.jpg"
"Air Rescue","Air Rescue (SA, 1992)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/1/8/3/570183_126198_back.jpg"
"Air Rescue","Air Rescue (SA, 1992)","Box Spine","http://image.gamespotcdn.net/gamespot/images/box/1/8/3/570183_126198_spine.jpg"
"Zillion","Akai Koudan Zillion (JP, 05/24/87)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/1/7/6/588176_3877_front.jpg"
"Zillion","Akai Koudan Zillion (JP, 05/24/87)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/1/7/6/588176_3877_back.jpg"
"Zillion","Akai Koudan Zillion (JP, 05/24/87)","Box Spine","http://image.gamespotcdn.net/gamespot/images/box/1/7/6/588176_3877_spine.jpg"
"Zillion","Akai Koudan Zillion (JP, 05/24/87)","Box Flap","http://image.gamespotcdn.net/gamespot/images/box/1/7/6/588176_3877_flap.jpg"
"Zillion","Zillion (US, 1987)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/1/7/6/588176_85860_front.jpg"
"Zillion","Zillion (US, 1987)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/1/7/6/588176_85860_back.jpg"
"Zillion","Zillion (US, 1987)","Box Spine","http://image.gamespotcdn.net/gamespot/images/box/1/7/6/588176_85860_spine.jpg"
"Zillion","Zillion (EU, 1987)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/1/7/6/588176_124307_front.jpg"
"Zillion","Zillion (EU, 1987)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/1/7/6/588176_124307_back.jpg"
"Zillion","Zillion (EU, 1987)","Box Spine","http://image.gamespotcdn.net/gamespot/images/box/1/7/6/588176_124307_spine.jpg"
"Game Box Serie Corridas","Game Box Serie Corridas (SA, 1994)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/9/4/2/960942_126377_front.jpg"
"Game Box Serie Corridas","Game Box Serie Corridas (SA, 1994)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/9/4/2/960942_126377_back.jpg"
"Game Box Serie Corridas","Game Box Serie Corridas (SA, 1994)","Box Spine","http://image.gamespotcdn.net/gamespot/images/box/9/4/2/960942_126377_spine.jpg"
