"Title","CoverRegionName","CoverType","CoverURL"
"VR Golf '97","VR Golf '97 (US, 1996)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/0/2/1/574021_33862_front.jpg"
"VR Golf '97","Actua Golf (JP, 04/04/97)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/0/2/1/574021_17606_front.jpg"
"VR Golf '97","Actua Golf (EU, 1997)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/0/2/1/574021_89501_front.jpg"
"VR Soccer","Actua Soccer (JP, 10/04/96)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/2/3/2/199232_14437_front.jpg"
"VR Soccer","Actua Soccer (JP, 10/04/96)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/2/3/2/199232_14437_back.jpg"
"VR Soccer","VR Soccer (US, 11/30/96)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/2/3/2/199232_43243_front.jpg"
"VR Soccer","VR Soccer (US, 11/30/96)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/2/3/2/199232_43243_back.jpg"
"VR Soccer","VR Soccer (US, 11/30/96)","Box Spine","http://image.gamespotcdn.net/gamespot/images/box/2/3/2/199232_43243_spine.jpg"
"VR Soccer","Actua Soccer: Club Edition (EU, 1996)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/2/3/2/199232_103295_front.jpg"
"VR Soccer","Actua Soccer (JP, 10/04/96)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/2/3/2/199232_14437_front.jpg"
"VR Soccer","Actua Soccer (JP, 10/04/96)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/2/3/2/199232_14437_back.jpg"
"VR Soccer","VR Soccer (US, 11/30/96)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/2/3/2/199232_43243_front.jpg"
"VR Soccer","VR Soccer (US, 11/30/96)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/2/3/2/199232_43243_back.jpg"
"VR Soccer","VR Soccer (US, 11/30/96)","Box Spine","http://image.gamespotcdn.net/gamespot/images/box/2/3/2/199232_43243_spine.jpg"
"VR Soccer","Actua Soccer: Club Edition (EU, 1996)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/2/3/2/199232_103295_front.jpg"
"Advanced V.G.","Advanced V.G. (JP, 03/14/97)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/6/8/2/577682_17647_front.jpg"
"Advanced V.G.","Advanced V.G. (JP, 03/14/97)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/6/8/2/577682_17647_back.jpg"
"Advanced V.G.","Advanced V.G. (Giant Package) (JP, 03/14/97)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/6/8/2/577682_17648_front.jpg"
"Advanced V.G.","Advanced V.G. (Giant Package) (JP, 03/14/97)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/6/8/2/577682_17648_back.jpg"
