"Title","CoverRegionName","CoverType","CoverURL"
"A-Rank Thunder Tanjouhen","A-Rank Thunder Tanjouhen (JP, 06/25/93)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/8/7/6/921876_56663_front.jpg"
"A-Rank Thunder Tanjouhen","A-Rank Thunder Tanjouhen (JP, 06/25/93)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/8/7/6/921876_56663_back.jpg"
"A/X-101","A/X-101 (US, January 1994)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/9/2/4/587924_60434_front.jpg"
"A/X-101","A/X-101 (US, January 1994)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/9/2/4/587924_60434_back.jpg"
"A/X-101","A/X-101 (US, January 1994)","Box Spine","http://image.gamespotcdn.net/gamespot/images/box/9/2/4/587924_60434_spine.jpg"
"A/X-101","AX-101 (JP, 03/25/94)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/9/2/4/587924_3779_front.jpg"
"A/X-101","AX-101 (JP, 03/25/94)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/9/2/4/587924_3779_back.jpg"
"Advanced Dungeons & Dragons: Eye of the Beholder","Advanced Dungeons & Dragons: Eye of the Beholder (JP, 04/22/94)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/9/4/6/587946_4922_front.jpg"
"Advanced Dungeons & Dragons: Eye of the Beholder","Advanced Dungeons & Dragons: Eye of the Beholder (JP, 04/22/94)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/9/4/6/587946_4922_back.jpg"
"Advanced Dungeons & Dragons: Eye of the Beholder","Advanced Dungeons & Dragons: Eye of the Beholder (US, 06/29/94)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/9/4/6/587946_84144_front.jpg"
"Advanced Dungeons & Dragons: Eye of the Beholder","Advanced Dungeons & Dragons: Eye of the Beholder (US, 06/29/94)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/9/4/6/587946_84144_back.jpg"
"Advanced Dungeons & Dragons: Eye of the Beholder","Advanced Dungeons & Dragons: Eye of the Beholder (US, 06/29/94)","Box Spine","http://image.gamespotcdn.net/gamespot/images/box/9/4/6/587946_84144_spine.jpg"
"Advanced Dungeons & Dragons: Eye of the Beholder","Advanced Dungeons & Dragons: Eye of the Beholder (EU, 1994)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/9/4/6/587946_84145_front.jpg"
"The Adventures of Batman & Robin","The Adventures of Batman & Robin (US, July 1995)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/0/1/6/920016_53349_front.jpg"
"The Adventures of Batman & Robin","The Adventures of Batman & Robin (US, July 1995)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/0/1/6/920016_53349_back.jpg"
"The Adventures of Batman & Robin","The Adventures of Batman & Robin (US, July 1995)","Box Spine","http://image.gamespotcdn.net/gamespot/images/box/0/1/6/920016_53349_spine.jpg"
"The Adventures of Willy Beamish","The Adventures of Willy Beamish (US, 02/02/93)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/9/1/9/587919_39977_front.jpg"
"The Adventures of Willy Beamish","The Adventures of Willy Beamish (US, 02/02/93)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/9/1/9/587919_39977_back.jpg"
"The Adventures of Willy Beamish","The Adventures of Willy Beamish (US, 02/02/93)","Box Spine","http://image.gamespotcdn.net/gamespot/images/box/9/1/9/587919_39977_spine.jpg"
