"Title","CoverRegionName","CoverType","CoverURL"
"A.III: A-Ressha de Ikou III","A.III: A-Ressha de Ikou III (JP, 06/11/93)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/1/8/4/589184_4804_front.jpg"
"A.III: A-Ressha de Ikou III","A.III: A-Ressha de Ikou III (JP, 06/11/93)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/1/8/4/589184_4804_back.jpg"
"A.III: A-Ressha de Ikou III","A.III: A-Ressha de Ikou III (JP, 06/11/93)","Box Spine","http://image.gamespotcdn.net/gamespot/images/box/1/8/4/589184_4804_spine.jpg"
"A.III: A-Ressha de Ikou III","A.III: A-Ressha de Ikou III (JP, 06/11/93)","Box Flap","http://image.gamespotcdn.net/gamespot/images/box/1/8/4/589184_4804_flap.jpg"
"The Addams Family","The Addams Family (US, 1991)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/1/8/5/589185_40582_front.jpg"
"The Addams Family","The Addams Family (US, 1991)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/1/8/5/589185_40582_back.jpg"
"Advanced V.G.","Advanced V.G. (JP, 07/22/94)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/1/8/6/589186_4919_front.jpg"
"Advanced V.G.","Advanced V.G. (JP, 07/22/94)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/1/8/6/589186_4919_back.jpg"
"Advanced V.G.","Advanced V.G. (JP, 07/22/94)","Box Spine","http://image.gamespotcdn.net/gamespot/images/box/1/8/6/589186_4919_spine.jpg"
"Advanced V.G.","Advanced V.G. (JP, 07/22/94)","Box Flap","http://image.gamespotcdn.net/gamespot/images/box/1/8/6/589186_4919_flap.jpg"
"Adventure Quiz Capcom World: Hatena no Daibouken","Adventure Quiz Capcom World: Hatena no Daibouken (JP, 06/19/92)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/1/8/8/589188_4351_front.jpg"
"Adventure Quiz Capcom World: Hatena no Daibouken","Adventure Quiz Capcom World: Hatena no Daibouken (JP, 06/19/92)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/1/8/8/589188_4351_back.jpg"
"Ai Cho Aniki","Ai Cho Aniki (JP, 02/24/95)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/2/4/0/589240_4997_front.jpg"
"Akiyama Jin No Suugaku Mystery","Akiyama Jin No Suugaku Mystery (JP, 12/10/94)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/4/3/0/991430_161429_front.jpg"
"Akumajou Dracula X: Chi no Rondo","Akumajou Dracula X: Chi no Rondo (JP, 10/29/93)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/2/6/4/589264_3940_front.jpg"
"Akumajou Dracula X: Chi no Rondo","Akumajou Dracula X: Chi no Rondo (JP, 10/29/93)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/2/6/4/589264_3940_back.jpg"
"Akumajou Dracula X: Chi no Rondo","Akumajou Dracula X: Chi no Rondo (JP, 10/29/93)","Box Spine","http://image.gamespotcdn.net/gamespot/images/box/2/6/4/589264_3940_spine.jpg"
"Akumajou Dracula X: Chi no Rondo","Akumajou Dracula X: Chi no Rondo (JP, 10/29/93)","Box Flap","http://image.gamespotcdn.net/gamespot/images/box/2/6/4/589264_3940_flap.jpg"
"Alnam no Kiba: Shouzoku Juunishin-to Densetsu","Alnam no Kiba: Shouzoku Juunishin-to Densetsu (JP, 12/22/94)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/1/9/6/589196_4928_front.jpg"
"Alnam no Kiba: Shouzoku Juunishin-to Densetsu","Alnam no Kiba: Shouzoku Juunishin-to Densetsu (JP, 12/22/94)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/1/9/6/589196_4928_back.jpg"
"Alnam no Kiba: Shouzoku Juunishin-to Densetsu","Alnam no Kiba: Shouzoku Juunishin-to Densetsu (JP, 12/22/94)","Box Flap","http://image.gamespotcdn.net/gamespot/images/box/1/9/6/589196_4928_flap.jpg"
"Alshark","Alshark (JP, 08/26/94)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/1/9/0/589190_4771_front.jpg"
"Alshark","Alshark (JP, 08/26/94)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/1/9/0/589190_4771_back.jpg"
"Alshark","Alshark (JP, 08/26/94)","Box Spine","http://image.gamespotcdn.net/gamespot/images/box/1/9/0/589190_4771_spine.jpg"
"Alzadick: Summer Carnival `92","Alzadick: Summer Carnival `92 (JP, 07/17/92)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/1/1/1/916111_4892_front.jpg"
"Alzadick: Summer Carnival `92","Alzadick: Summer Carnival `92 (JP, 07/17/92)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/1/1/1/916111_4892_back.jpg"
"Alzadick: Summer Carnival `92","Alzadick: Summer Carnival `92 (JP, 07/17/92)","Box Spine","http://image.gamespotcdn.net/gamespot/images/box/1/1/1/916111_4892_spine.jpg"
"Anesan","Anesan (JP, 02/24/95)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/1/9/2/589192_4159_front.jpg"
"Anesan","Anesan (JP, 02/24/95)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/1/9/2/589192_4159_back.jpg"
"Aoki Ookami to Shiroki Meshika: Genchou Hishi","Aoki Ookami to Shiroki Meshika: Genchou Hishi (JP, 09/30/93)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/1/9/4/589194_4471_front.jpg"
"Aoki Ookami to Shiroki Meshika: Genchou Hishi","Aoki Ookami to Shiroki Meshika: Genchou Hishi (JP, 09/30/93)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/1/9/4/589194_4471_back.jpg"
"Aoki Ookami to Shiroki Meshika: Genchou Hishi","Aoki Ookami to Shiroki Meshika: Genchou Hishi (JP, 09/30/93)","Box Spine","http://image.gamespotcdn.net/gamespot/images/box/1/9/4/589194_4471_spine.jpg"
"Aoki Ookami to Shiroki Meshika: Genchou Hishi","Aoki Ookami to Shiroki Meshika: Genchou Hishi (JP, 09/30/93)","Box Flap","http://image.gamespotcdn.net/gamespot/images/box/1/9/4/589194_4471_flap.jpg"
