"Title","CoverRegionName","CoverType","CoverURL"
"Galactic Pinball","Galactic Pinball (JP, 07/21/95)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/9/1/4/563914_4601_front.jpg"
"Galactic Pinball","Galactic Pinball (JP, 07/21/95)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/9/1/4/563914_4601_back.jpg"
"Galactic Pinball","Galactic Pinball (JP, 07/21/95)","Box Flap","http://image.gamespotcdn.net/gamespot/images/box/9/1/4/563914_4601_flap.jpg"
"Galactic Pinball","Galactic Pinball (US, August 1995)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/9/1/4/563914_54844_front.jpg"
"Galactic Pinball","Galactic Pinball (US, August 1995)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/9/1/4/563914_54844_back.jpg"
"Galactic Pinball","Galactic Pinball (US, August 1995)","Box Spine","http://image.gamespotcdn.net/gamespot/images/box/9/1/4/563914_54844_spine.jpg"
"Galactic Pinball","Galactic Pinball (US, August 1995)","Box Flap","http://image.gamespotcdn.net/gamespot/images/box/9/1/4/563914_54844_flap.jpg"
"Golf","T&E Virtual Golf (JP, 08/11/95)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/9/1/6/563916_4715_front.jpg"
"Golf","T&E Virtual Golf (JP, 08/11/95)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/9/1/6/563916_4715_back.jpg"
"Golf","Golf (US, November 1995)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/9/1/6/563916_29137_front.jpg"
"Golf","Golf (US, November 1995)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/9/1/6/563916_29137_back.jpg"
"Golf","Golf (US, November 1995)","Box Flap","http://image.gamespotcdn.net/gamespot/images/box/9/1/6/563916_29137_flap.jpg"
"Innsmouth no Yakata","Innsmouth no Yakata (JP, 10/13/95)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/7/2/9/579729_20417_front.jpg"
"Innsmouth no Yakata","Innsmouth no Yakata (JP, 10/13/95)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/7/2/9/579729_20417_back.jpg"
"Innsmouth no Yakata","Innsmouth no Yakata (JP, 10/13/95)","Box Flap","http://image.gamespotcdn.net/gamespot/images/box/7/2/9/579729_20417_flap.jpg"
"Jack Bros.","Jack Bros. no Airo de Hiihoo (JP, 09/29/95)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/9/1/7/563917_4523_front.jpg"
"Jack Bros.","Jack Bros. no Airo de Hiihoo (JP, 09/29/95)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/9/1/7/563917_4523_back.jpg"
"Jack Bros.","Jack Bros. no Airo de Hiihoo (JP, 09/29/95)","Box Spine","http://image.gamespotcdn.net/gamespot/images/box/9/1/7/563917_4523_spine.jpg"
"Jack Bros.","Jack Bros. no Airo de Hiihoo (JP, 09/29/95)","Box Flap","http://image.gamespotcdn.net/gamespot/images/box/9/1/7/563917_4523_flap.jpg"
"Jack Bros.","Jack Bros. (US, October 1995)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/9/1/7/563917_54846_front.jpg"
"Jack Bros.","Jack Bros. (US, October 1995)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/9/1/7/563917_54846_back.jpg"
"Jack Bros.","Jack Bros. (US, October 1995)","Box Flap","http://image.gamespotcdn.net/gamespot/images/box/9/1/7/563917_54846_flap.jpg"
"Jack Bros.","Jack Bros. no Airo de Hiihoo (JP, 09/29/95)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/9/1/7/563917_4523_front.jpg"
"Jack Bros.","Jack Bros. no Airo de Hiihoo (JP, 09/29/95)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/9/1/7/563917_4523_back.jpg"
"Jack Bros.","Jack Bros. no Airo de Hiihoo (JP, 09/29/95)","Box Spine","http://image.gamespotcdn.net/gamespot/images/box/9/1/7/563917_4523_spine.jpg"
"Jack Bros.","Jack Bros. no Airo de Hiihoo (JP, 09/29/95)","Box Flap","http://image.gamespotcdn.net/gamespot/images/box/9/1/7/563917_4523_flap.jpg"
"Jack Bros.","Jack Bros. (US, October 1995)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/9/1/7/563917_54846_front.jpg"
"Jack Bros.","Jack Bros. (US, October 1995)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/9/1/7/563917_54846_back.jpg"
"Jack Bros.","Jack Bros. (US, October 1995)","Box Flap","http://image.gamespotcdn.net/gamespot/images/box/9/1/7/563917_54846_flap.jpg"
"Mario Clash","Mario Clash (JP, 09/28/95)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/9/1/8/563918_4602_front.jpg"
"Mario Clash","Mario Clash (JP, 09/28/95)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/9/1/8/563918_4602_back.jpg"
"Mario Clash","Mario Clash (JP, 09/28/95)","Box Flap","http://image.gamespotcdn.net/gamespot/images/box/9/1/8/563918_4602_flap.jpg"
"Mario Clash","Mario Clash (US, October 1995)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/9/1/8/563918_54847_front.jpg"
"Mario Clash","Mario Clash (US, October 1995)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/9/1/8/563918_54847_back.jpg"
"Mario Clash","Mario Clash (US, October 1995)","Box Flap","http://image.gamespotcdn.net/gamespot/images/box/9/1/8/563918_54847_flap.jpg"
"Mario's Tennis","Mario's Tennis (JP, 07/21/95)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/9/1/9/563919_4603_front.jpg"
"Mario's Tennis","Mario's Tennis (JP, 07/21/95)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/9/1/9/563919_4603_back.jpg"
"Mario's Tennis","Mario's Tennis (JP, 07/21/95)","Box Flap","http://image.gamespotcdn.net/gamespot/images/box/9/1/9/563919_4603_flap.jpg"
"Mario's Tennis","Mario's Tennis (US, August 1995)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/9/1/9/563919_54848_front.jpg"
"Mario's Tennis","Mario's Tennis (US, August 1995)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/9/1/9/563919_54848_back.jpg"
"Mario's Tennis","Mario's Tennis (US, August 1995)","Box Flap","http://image.gamespotcdn.net/gamespot/images/box/9/1/9/563919_54848_flap.jpg"
"Nester's Funky Bowling","Nester's Funky Bowling (US, February 1996)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/9/2/0/563920_29138_front.jpg"
"Nester's Funky Bowling","Nester's Funky Bowling (US, February 1996)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/9/2/0/563920_29138_back.jpg"
"Nester's Funky Bowling","Nester's Funky Bowling (US, February 1996)","Box Flap","http://image.gamespotcdn.net/gamespot/images/box/9/2/0/563920_29138_flap.jpg"
"Panic Bomber","Tobidase! Panibomb (JP, 07/21/95)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/9/2/1/563921_29139_front.jpg"
"Panic Bomber","Tobidase! Panibomb (JP, 07/21/95)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/9/2/1/563921_29139_back.jpg"
"Panic Bomber","Panic Bomber (US, December 1995)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/9/2/1/563921_49630_front.jpg"
"Panic Bomber","Panic Bomber (US, December 1995)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/9/2/1/563921_49630_back.jpg"
"Red Alarm","Red Alarm (JP, 07/21/95)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/9/2/2/563922_4716_front.jpg"
"Red Alarm","Red Alarm (JP, 07/21/95)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/9/2/2/563922_4716_back.jpg"
"Red Alarm","Red Alarm (US, August 1995)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/9/2/2/563922_54849_front.jpg"
"Red Alarm","Red Alarm (US, August 1995)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/9/2/2/563922_54849_back.jpg"
"SD Gundam Dimension War","SD Gundam Dimension War (JP, 12/22/95)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/6/1/6/571616_9065_front.jpg"
"SD Gundam Dimension War","SD Gundam Dimension War (JP, 12/22/95)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/6/1/6/571616_9065_back.jpg"
"Space Invaders: Virtual Collection","Space Invaders: Virtual Collection (JP, 12/01/95)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/6/1/9/571619_8885_front.jpg"
"Space Invaders: Virtual Collection","Space Invaders: Virtual Collection (JP, 12/01/95)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/6/1/9/571619_8885_back.jpg"
"Space Squash","Space Squash (JP, 09/29/95)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/6/2/0/571620_9483_front.jpg"
"Space Squash","Space Squash (JP, 09/29/95)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/6/2/0/571620_9483_back.jpg"
"Golf","T&E Virtual Golf (JP, 08/11/95)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/9/1/6/563916_4715_front.jpg"
"Golf","T&E Virtual Golf (JP, 08/11/95)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/9/1/6/563916_4715_back.jpg"
"Golf","Golf (US, November 1995)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/9/1/6/563916_29137_front.jpg"
