"Title","CoverRegionName","CoverType","CoverURL"
"ABBA: You Can Dance","ABBA: You Can Dance (US, 11/15/11)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/8/3/7/640837_231061_front.jpg"
"ABBA: You Can Dance","ABBA: You Can Dance (AU, 11/24/11)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/8/3/7/640837_230824_front.jpg"
"ABBA: You Can Dance","ABBA: You Can Dance (EU, 11/25/11)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/8/3/7/640837_225330_front.jpg"
"Imagine Champion Rider","Alexandra Ledermann: The Mystery of the Wild Horses (EU, 10/30/08)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/4/1/9/954419_170869_front.jpg"
"Imagine Champion Rider","Alexandra Ledermann: The Mystery of the Wild Horses (EU, 10/30/08)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/4/1/9/954419_170869_back.jpg"
"Imagine Champion Rider","Abenteuer auf dem Reiterhof: Die wilden Mustangs (EU, 11/07/08)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/4/1/9/954419_115118_front.jpg"
"Imagine Champion Rider","Imagine Champion Rider (EU, 11/07/08)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/4/1/9/954419_114048_front.jpg"
"Imagine Champion Rider","Imagine Champion Rider (EU, 11/07/08)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/4/1/9/954419_114048_back.jpg"
"AC/DC Live: Rock Band Track Pack","AC/DC Live: Rock Band Track Pack (US, 11/16/08)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/3/3/2/954332_113813_front.jpg"
"AC/DC Live: Rock Band Track Pack","AC/DC Live: Rock Band Track Pack (AU, 03/05/09)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/3/3/2/954332_114007_front.jpg"
"AC/DC Live: Rock Band Track Pack","AC/DC Live: Rock Band Track Pack (EU, 03/06/09)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/3/3/2/954332_114006_front.jpg"
"Academy of Champions: Soccer","Academy of Champions: Soccer (AU, 09/03/09)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/2/2/1/960221_125477_front.jpg"
"Academy of Champions: Soccer","Academy of Champions: Football (EU, 09/04/09)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/2/2/1/960221_136999_front.jpg"
"Academy of Champions: Soccer","Academy of Champions: Soccer (US, 11/03/09)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/2/2/1/960221_124977_front.jpg"
"Academy of Champions: Soccer","Academy of Champions: Soccer (AU, 09/03/09)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/2/2/1/960221_125477_front.jpg"
