"Title","Genres","Description","GameFAQs_Reader_Rating","GameFAQs_Rating","MetaCritics_MetaScore","Developer","ReleaseDate","ReferenceURL",
"A-Ressha de Ikou 3D","Simulation,Train","A-Ressha de Ikou 3D is a Simulation game, developed and published by Artdink,scheduled to be released in Japan in 2013.","","","","","","http://www.gamefaqs.com/3ds/609528-a-ressha-de-ikou-3d"
"Aban Hawkins & the 1,001 Spikes","Action,Platformer,2D","Aban Hawkins & the 1,001 Spikes is an Action game, developed and published by Nicalis,with no announced release date.","","","","","","http://www.gamefaqs.com/3ds/673440-aban-hawkins-and-the-1001-spikes"
"Ace Combat: Assault Horizon Legacy","Action,General","Ace Combat Assault Horizon Legacy soars to the Nintendo 3DS platform with an intense 3D experience that delivers supersonic flying, exciting dogfights and high-altitude acrobatics.With touch screen targeting and added control mechanics, players take full command of every intense skirmish to enable split-second counter-maneuvers, dynamic dogfight action and satisfying enemy takedowns. Fans of the series can look forward to a wide variety of real-world aircrafts to pilot, and a diverse range of missions to take on.","8.0","7.9","71","Project Aces ","Nov 15, 2011 ","http://www.gamefaqs.com/3ds/609543-ace-combat-assault-horizon-legacy"
"Ace Combat: Assault Horizon Legacy","Action,General","Ace Combat Assault Horizon Legacy soars to the Nintendo 3DS platform with an intense 3D experience that delivers supersonic flying, exciting dogfights and high-altitude acrobatics.With touch screen targeting and added control mechanics, players take full command of every intense skirmish to enable split-second counter-maneuvers, dynamic dogfight action and satisfying enemy takedowns. Fans of the series can look forward to a wide variety of real-world aircrafts to pilot, and a diverse range of missions to take on.","8.0","7.9","71","Project Aces ","Nov 15, 2011 ","http://www.gamefaqs.com/3ds/609543-ace-combat-assault-horizon-legacy"
"Acrylic Palette: Irodori Cafe - Cheers","Adventure,General","Acrylic Palette: Irodori Cafe - Cheers is an Adventure game, developed and published by Klon Co., Ltd.,which was released in Japan in 2012.","n/a","5.9","n/a","Klon Co., Ltd.","Dec 20, 2012 ","http://www.gamefaqs.com/3ds/685572-acrylic-palette-irodori-cafe-cheers"
"Adventure Time: Hey Ice King! Why'd You Steal Our Garbage?!","Action Adventure,Fantasy","Adventure Time: Hey Ice King! Why'd you steal our garbage?! is the first video game based on the radical, Emmy nominated Cartoon Network show about two close friends - Jake, a wise old dog with a big kind heart, and Finn, a silly kid who wants more than anything else to become a great hero. Players will explore the Land of Ooo and set out on heroic quests, as their favorite characters Finn and Jake, in a unique action adventure experience. Adventure Time show creator Pendleton Ward is also heavily involved with the game creation, including the design of a brand new storyline, concept, and quests.Finn and Jake wake up one morning to find their trash stolen by the Ice King! Jake couldn't care less about half-eaten bananas, crumpled up math notes, and old chicken diapers - but when the Ice King uses these stolen goods to construct a Garbage Princess, our heroes embark on a fantastical adventure and teach him a lesson! Journey through the Land of Ooo in an offbeat adventure and discover perilous dungeons, unimaginable treasures, the true meaning of friendship, and never-ending fun!","7.8","7.2","68","WayForward","Nov 20, 2012 ","http://www.gamefaqs.com/3ds/670222-adventure-time-hey-ice-king-whyd-you-steal-our"
"Adventure Time: Explore the Dungeon Because I DON'T KNOW!","Action Adventure,Fantasy","Adventure Time: Explore the Dungeon Because I DON'T KNOW! is an Action Adventure game, developed by WayForward and published by D3Publisher,which was released in 2013.","6.0","5.6","","","","http://www.gamefaqs.com/3ds/715209-adventure-time-explore-the-dungeon-because-i-dont"
"Adventure Time: Hey Ice King! Why'd You Steal Our Garbage?!","Action Adventure,Fantasy","Adventure Time: Hey Ice King! Why'd you steal our garbage?! is the first video game based on the radical, Emmy nominated Cartoon Network show about two close friends - Jake, a wise old dog with a big kind heart, and Finn, a silly kid who wants more than anything else to become a great hero. Players will explore the Land of Ooo and set out on heroic quests, as their favorite characters Finn and Jake, in a unique action adventure experience. Adventure Time show creator Pendleton Ward is also heavily involved with the game creation, including the design of a brand new storyline, concept, and quests.Finn and Jake wake up one morning to find their trash stolen by the Ice King! Jake couldn't care less about half-eaten bananas, crumpled up math notes, and old chicken diapers - but when the Ice King uses these stolen goods to construct a Garbage Princess, our heroes embark on a fantastical adventure and teach him a lesson! Journey through the Land of Ooo in an offbeat adventure and discover perilous dungeons, unimaginable treasures, the true meaning of friendship, and never-ending fun!","7.8","7.2","68","WayForward","Nov 20, 2012 ","http://www.gamefaqs.com/3ds/670222-adventure-time-hey-ice-king-whyd-you-steal-our"
"The Adventures of Tintin: The Game","Adventure,General","Players will experience non-stop action and adventure as they investigate the mystery of a lifetime that may lead them to one of the greatest sunken treasures. But the quest won't be easy and players will need to join forces with the quick-witted dog Snowy and the grumpy Captain Haddock to beat greedy art collectors, kooky arms dealers, and other crooks to reveal the truth behind the Secret of the Unicorn ship.","n/a","6.0","56","Ubisoft Montpellier","Dec6, 2011 ","http://www.gamefaqs.com/3ds/633233-the-adventures-of-tintin-the-game"
"The Adventures of Tintin: The Game","Adventure,General","Players will experience non-stop action and adventure as they investigate the mystery of a lifetime that may lead them to one of the greatest sunken treasures. But the quest won't be easy and players will need to join forces with the quick-witted dog Snowy and the grumpy Captain Haddock to beat greedy art collectors, kooky arms dealers, and other crooks to reveal the truth behind the Secret of the Unicorn ship.","n/a","6.0","56","Ubisoft Montpellier","Dec6, 2011 ","http://www.gamefaqs.com/3ds/633233-the-adventures-of-tintin-the-game"
"Aero Porter","Simulation,General","In AERO PORTER, the player is charged with managing the busy day-to-day operations of a bustling airport through gameplay that includes both clever puzzle elements and simulation challenges.While running their flight hub, players sort color-coded luggage onto conveyor belts while avoiding mishaps and delays, all while ensuring the on-time departures of airplanes.As the game progresses, players earn money and increase their passengers in order to expand their airport, unlock new gameplay elements, and raise the level of challenge.Players are also able to design and share their own planes with a wide range of colors and patterns via StreetPass.","n/a","6.3","70","Vivarium","Nov 29, 2012 ","http://www.gamefaqs.com/3ds/685765-aero-porter"
"AeternoBlade","Action,Platformer,3D","AeternoBlade is an Action game, developed and published by Corecell Technology,scheduled to be released in 2014.","","","","","","http://www.gamefaqs.com/3ds/730340-aeternoblade"
"Aikatsu! 2-nin no My Princess","Action,General","Aikatsu! 2-nin no My Princess is an Action game, developed and published by Bandai Namco Games,which was released in Japan in 2013.","n/a","10.0","n/a","Bandai Namco Games","Nov 21, 2013 ","http://www.gamefaqs.com/3ds/725453-aikatsu-2-nin-no-my-princess"
"Aikatsu! Cinderella Lesson","Action,General","Aikatsu! Cinderella Lesson is an Action game, developed and published by Bandai Namco Games,which was released in Japan in 2012.","n/a","7.0","n/a","Bandai Namco Games","Nov 15, 2012 ","http://www.gamefaqs.com/3ds/680642-aikatsu-cinderella-lesson"
"Air Battle Hockey 3D","Sports,General","Take the basic concept of air hockey mix with competitive elements and finish with a whole new dimension. The basic rules are familiar: use a racket to hit a ball into the opponent's goal. The first one to score ten points wins. The game features special Skills and Targets. There are six different skills you can use an offensive skill such as Lightning Shot which changes the direction of the ball in mid-flight, tricking your opponent and scoring a goal. Play defensive and use the skill Hyper Racket to increase the size of your Racket improving the protection of your goal. Watch for Targets that appear during the game, hitting those triggers various events, such as an increase ball speed or reducing your opponent's skill gauge to zero. In addition to the Two-Player Battle Mode, there is also Endless Mode, a squash-like game where you compete for a high score.","n/a","5.7","","","","http://www.gamefaqs.com/3ds/667275-air-battle-hockey-3d"
"AiRace Speed","Driving,Racing,Futuristic","Take the challenge in AiRace Speed, the third sequel of the best-selling Nintendo DSi classic - AiRace, and pilot the most advanced and powerful jets as you compete to beat your best time. Experience the action as you race on stunning high-speed tracks featuring extremely difficult tunnels, spectacular halls and hidden shortcuts.","n/a","7.3","68","QubicGames","Sep 19, 2013 ","http://www.gamefaqs.com/3ds/730173-airace-speed"
