"Title","Genres","Description","GameFAQs_Reader_Rating","GameFAQs_Rating","MetaCritics_MetaScore","Developer","ReleaseDate","ReferenceURL",
"Acid Attack","Miscellaneous,Compilation","Acid Attack is a Miscellaneous game, developed by Acid and published by Guildhall Leisure Services Ltd.,which was released in Europe in 1995.","n/a","n/a","n/a","Acid","1995 ","http://www.gamefaqs.com/cd32/619354-acid-attack"
"Action Pack Vol. 1","Miscellaneous,Compilation","Action Pack Vol. 1 is a Miscellaneous game, developed and published by Guildhall Leisure Services Ltd.,which was released in Europe in 1996.","n/a","n/a","n/a","Guildhall Leisure Services Ltd.","1996 ","http://www.gamefaqs.com/cd32/640226-action-pack-vol-1"
"Akira","Action,General","Akira is an Action game, developed and published by ICE,which was released in Europe in 1994.","n/a","2.0","n/a","ICE","1994 ","http://www.gamefaqs.com/cd32/952163-akira"
"Alfred Chicken","Action,Platformer,2D","Oh no! The evil Meka-Chickens have eggnapped Billy Egg and his brothers for their terrible cloning experiment! And they've taken Floella too!This is no yolk. As the worlds only chicken with a bionic beak, Alfred is whisked off to a multitude of bizarre lands to pluch his friends from the clutches of their foul captors.Scramble through 11 transdimensional levels 'acing the likes of Byron Snail, Mag-Mine, Grim Blocker and the Terrasawus. Beat the Meka-Chickens, snatch back the eggs, and lay their plans for world domination to rest!","n/a","6.5","n/a","Twilight Games","1993 ","http://www.gamefaqs.com/cd32/952086-alfred-chicken"
"Alien Breed '92 SE & Qwak","Miscellaneous,Compilation","Alien Breed '92 SE & Qwak is a Miscellaneous game, developed and published by Team 17,which was released in Europe in 1994.","n/a","8.0","n/a","Team 17","1994 ","http://www.gamefaqs.com/cd32/939722-alien-breed-92-se-and-qwak"
"Alien Breed 3D","Action,Shooter,First-Person,Sci-Fi","Over the last four years, the Alien Breed saga has become legendary amongst Amiga owners... now the series culminates in quie spectacular fashion... Alien Breed is now in 3D!Transported to spectacular 3D environment, you must outwit the ferocious Breed once more, but this time the added dimension of &quot;being there&quot; brings you even closer to the disgusting creatures than ever before!","n/a","6.5","n/a","Team 17","1995 ","http://www.gamefaqs.com/cd32/952217-alien-breed-3d"
"Alien Breed: Tower Assault","Action Adventure,Sci-Fi","In the depths of space a holocaust has occured. Intelligent and hostile alien life-forms have taken over the Military Research Unit in the planet Azarin 2E. Chaos and destruction have been wrought on the innocent colonists.Now it's your job to reclaim the station for humankind. Travel through the tractless voids of space, then endure over 65 levels of Alien blasting mayhem. Watch your ammunition and energy levels in preparation for the showdown with the Alien Queen.","n/a","7.5","n/a","Team 17","1994 ","http://www.gamefaqs.com/cd32/952218-alien-breed-tower-assault"
"Amiga CD Football","Sports,Traditional,Football,Arcade","Amiga CD Football is a Sports game, developed and published by Commodore,which was released in Europe in 1993.","n/a","n/a","n/a","Commodore","1993 ","http://www.gamefaqs.com/cd32/619363-amiga-cd-football"
"Amiga CD32","Hardware,Console","Amiga CD32 is a Hardware game, developed and published by Commodore,which was released in Europe in 1993.","n/a","10.0","n/a","Commodore","September 1993 ","http://www.gamefaqs.com/cd32/951940-amiga-cd32"
"Arabian Nights","Action,Platformer,2D","Sinbad Junior works for the &quot;fair and just&quot; Caliph as an apprentice gardener tending to his incredibly excessive palace gardens. Today however he gazes upon another beautiful flower - the Princess Laila as she stands on a balcony high above the gardens.Away in an eerie floating castle dark deeds are at hand. The evil Vizier, in his dastardly plan to rule the kingdom, has despatched a demon from the nether regions of hell to kidnap the princess and cast a mighty spell over the kingdom.As Sinbad stares up at the balcony a dark shape descends from the sky, mauling and clawing at Laila.Laila screams and the demon lifts off clutching the beautiful princess. Sinbad makes a desperate leap to grab the claw of the monster, but is left on the balcony flat on his back. As the demon disappears into the clouds Sinbad is surrounded by the Caliph's guards and hurled into prison on a charge of sorcery. Now, taking on the role of Sinbad Junior, you not only have to escape the palace dungeons, but also rescure Laila from the evil Vizier.","n/a","8.0","n/a","Krisalis Software","1993 ","http://www.gamefaqs.com/cd32/952164-arabian-nights"
"Arcade Pool","Miscellaneous,Parlor,Billiards","Rack'em-up and shoot for glory in this stunning Pool Simulator featuring superb ball animation and authentic sounds that have been digitised to give you a greater feel.","n/a","n/a","n/a","Team 17","1994 ","http://www.gamefaqs.com/cd32/952219-arcade-pool"
"ATR: All Terrain Racing","Driving,General","ATR: All Terrain Racing is a Driving game, developed and published by Team 17,which was released in Europe in 1995.","n/a","n/a","n/a","Team 17","1995 ","http://www.gamefaqs.com/cd32/619356-atr-all-terrain-racing"
"Banshee","Action,Shooter,Scrolling","Take a classic arcade game. Add a whole heap of seasoning in the form of stylish, state-of-the-art graphics and four MASSIVE levels of up-to-date action. Stir in an Alternative Dimension, exquisitely evil aliens and a heavy-sprinkling of mucho-big guns 'n' power-propped planes. Leave to simmer on an incandescent heat and wait for the best BLAST in light years.","n/a","8.6","n/a","Core Design Ltd.","1994 ","http://www.gamefaqs.com/cd32/952165-banshee"
"Base Jumpers","Action,Platformer,2D","Base Jumpers is an Action game, developed by Shadow Software and published by Rasputin,which was released in Europe in 1995.","n/a","n/a","n/a","Shadow Software","1995 ","http://www.gamefaqs.com/cd32/619355-base-jumpers"
"Battle Chess","Miscellaneous,Board Games","There is a darkness over the battlefield. The wind sighs gently and there, in the distance, comes theflash of lightning and the rumble of thunder. With a sudden gust of wind; your warriors appear: the King, the Queen, two each of Bishops, Knights and Rooks, and before them all, a row of Pawns. Waiting, your King turns to you, ready to order his servants forward to their deaths in your battle to rule the field.","n/a","n/a","n/a","Almathera Systems","1994 ","http://www.gamefaqs.com/cd32/952246-battle-chess"
"Battletoads","Action,Beat-'Em-Up","Okay 'toad! Let's get even! When the evil Dark Queen kidnaps your best buddy, Pimple, and the best looking Princess this side of the Mazallion Star Cluster - what are you gonna do about it? Are you gonna cry? Hide? Call the Starcops? No way! Because you're a BATTLETOAD and BATTLETOADS don't cry, hide or call for help. BATTLETOADS get real MAD - and then they get EVEN!So strap on your Blaster, power-upthe Toadster and take a flying leap to the Dark Queen's planet - but, watch out 'toad - the lady's bad and she's got a whole mess of nasty suprises lined up for you - like the Psyko Pigs, the Mutant Ratpack, Robo-Manus and the Saturn Toadtrap to name a few.You're gonna need all your fighting skills to defeat her - the Battletoad Butt, the Big Bad Boot and the Nuclear Knuckles, if you're gonna rescue your friends and get the frog outta there with your green skin intact!","n/a","1.0","n/a","Rare Ltd.","1994 ","http://www.gamefaqs.com/cd32/952087-battletoads"
"Beavers","Action,Platformer,2D","Beavers features stunning cartoon-quality graphics with 18 huge, eight-way scrolling levels and intricate and involving puzzles which require quick thinking to solve. Also features a great soundtrack and sampled cartoon sound effects!","n/a","n/a","n/a","Unique Entertainment","1993 ","http://www.gamefaqs.com/cd32/952088-beavers"
"Beneath a Steel Sky","Adventure,General","Beneath a Steel Sky is a gripping science fiction thriller set in a bleak vision of the future. Robert Foster is an innocent outsider stranded in a vast city where oppressed civilians live and work in soaring tower blocks... while the corrupt, covetous and rich lie underground, shielded from all polution. Alone, save for a robot circuit board, Foster must fight for survival... and discover the sinister truth behind his abduction.","n/a","n/a","n/a","Revolution Software","1994 ","http://www.gamefaqs.com/cd32/619357-beneath-a-steel-sky"
"Benefactor","Action,Platformer,2D","Benefactor is an Action game, developed by Digital Illusions and published by Psygnosis,which was released in Europe in 1994.","n/a","n/a","n/a","Digital Illusions","1994 ","http://www.gamefaqs.com/cd32/619358-benefactor"
"The Big 6","Miscellaneous,Compilation","The Big 6 is a Miscellaneous game, published by Codemasters,which was released in Europe in 1994.","n/a","9.0","n/a","Codemasters","1994 ","http://www.gamefaqs.com/cd32/997287-the-big-6"
"Black Viper","Driving,Car Combat","Black Viper is a Driving game, developed by Light Shock and published by neo Software,which was released in Europe in 1996.","n/a","n/a","n/a","Light Shock","1996 ","http://www.gamefaqs.com/cd32/722561-black-viper"
"Brian The Lion","Action,Platformer,2D","Brian The Lion is an Action game, developed by Reflections Interactive and published by Psygnosis,which was released in Europe in 1994.","n/a","n/a","n/a","Reflections Interactive","1994 ","http://www.gamefaqs.com/cd32/619359-brian-the-lion"
"Brutal Football","Sports,Traditional,Football,Arcade","Brutal Football is a Sports game, developed by Teque Interactive and published by Millennium,which was released in Europe in 1994.","n/a","n/a","n/a","Teque Interactive","1994 ","http://www.gamefaqs.com/cd32/955787-brutal-football"
"Brutal: Paws Of Fury","Action,Fighting,2D","Across the world, invitations were delivered. Under the watchful eye of the great master Dali Llama, the worlds greatest martial artists would return to a place they knew well.. Brutal Island. Each will use their own unique mental and physical martial arts style and training in a tournament to prove the worlds one true champion.","n/a","n/a","n/a","GameTek","1995 ","http://www.gamefaqs.com/cd32/619360-brutal-paws-of-fury"
"Bubba 'n' Stix","Action,Platformer,2D","Our goofy hero and his friend - an intelligent alien stick - have crash-landed on a weird planet after being captured by an alien spacecraft. In order to get back to Earth, Bubba must use Stix in a variety of different ways to solve puzzles, overcome adversaries and foil the comedic attempts of his kidnapper to recapture him in this multi-directional scrolling puzzle.","n/a","7.0","n/a","Core Design Ltd.","1994 ","http://www.gamefaqs.com/cd32/952166-bubba-n-stix"
"Bubble And Squeak","Action,Platformer,2D","Bubble And Squeak is an Action game, developed and published by Audiogenic Ltd.,which was released in Europe in 1994.","n/a","n/a","n/a","Audiogenic Ltd.","1994 ","http://www.gamefaqs.com/cd32/619361-bubble-and-squeak"
"Bump 'n' Burn","Driving,Racing,Arcade","The speed! The thrills! The spills! Glory goes to those who survive the ultimate racing experience - The Bump N Burn Championships!","n/a","n/a","n/a","Softeyes","1994 ","http://www.gamefaqs.com/cd32/952167-bump-n-burn"
"Camel Racer","Miscellaneous,Parlor,Gambling","Camel Racer is a Miscellaneous game, developed and published by MMMGroup,which was released in Europe in 1995.","n/a","n/a","n/a","MMMGroup","1995 ","http://www.gamefaqs.com/cd32/619373-camel-racer"
"Cannon Fodder","Action,General","&quot;Don't wait 'til you see the whites of their eyes... Don't kid yourself it will be over by Christmas... Don't try to shut out the screams... And don't forget to wash your hand afterwards...&quot;","n/a","9.0","n/a","Arch Rivals","1994 ","http://www.gamefaqs.com/cd32/952247-cannon-fodder"
"Castles II: Siege And Conquest","Strategy,Turn-Based,Historic","Castles II: Siege And Conquest is a Strategy game, developed by Almathera Systems and published by Interplay,which was released in Europe in 1993.","n/a","n/a","n/a","Almathera Systems","1993 ","http://www.gamefaqs.com/cd32/619374-castles-ii-siege-and-conquest"
"Chambers of Shaolin","Action,Beat-'Em-Up","Chambers of Shaolin is an Action game, developed by Thalion and published by Unique Entertainment,which was released in Europe in 1993.","n/a","n/a","n/a","Thalion","1993 ","http://www.gamefaqs.com/cd32/955759-chambers-of-shaolin"
"The Chaos Engine 2","Action Adventure,Fantasy","The Chaos Engine 2 is an Action Adventure game, developed by Bitmap Brothers and published by Renegade,which was released in Europe in 1996.","n/a","n/a","n/a","Bitmap Brothers","1996 ","http://www.gamefaqs.com/cd32/986159-the-chaos-engine-2"
"The Chaos Engine (1992)","Action,General","Sometime during the last century, an experimenter with time, space and early computers created a bizarre machine. The inventor's name was Baron Fortesque. The machine was... The Chaos Engine. Although primitive, the machine became incredible powerful and went crazy, turning ordinary humans and household pets into razor toothed, armour-plated killing machines. Enter 6 hard-nailed mercenaries for hire. These ball-breakers are armed to the teeth with over 25 weapons and a host of special destructive devices specific to their class. Select 2 characters to form your party and enter the World of Chaos. The sprawling adventure covers 4 graphic worlds and 16 levels loaded with fiendish traps, puzzles and secret passages. Get your hands on sawn-off shotguns, molotov cocktails and a huge amount of armament, and buy, blag or blast your way through hordes of different monsters to do battle with the ultimate killing machine, THE CHAOS ENGINE!","n/a","9.5","n/a","Bitmap Brothers","1994 ","http://www.gamefaqs.com/cd32/952235-the-chaos-engine-1992"
"Chuck Rock","Action,Platformer,2D","Chuck Rock hasn't been the same since his long-time rival in love, the evil Gary Gritter, kidnapped his wife, the beautiful Ophelia.Help Chuck in his quest to rescure Ophelia from the clutches of the evil Gary. Kick, throw rocks and belly-butt your way through a multitude of comical zones featuring 500 screens of exciting and addictive gameplay.","n/a","6.0","n/a","Core Design Ltd.","1994 ","http://www.gamefaqs.com/cd32/952089-chuck-rock"
"Chuck Rock II: Son of Chuck","Action,Platformer,2D","Join Chuck Junior on 6 levels of prehistoric combat as he battles through volcanoes, mountains, jungles and caves. Tackle dinosaurs, snakes, elephants, grizzly bears, monkeys, tigers and turtles on your way to the final confrontation - the showdown at the Datstone Car Company to rescue the kidnapped Chuck Rock!","n/a","n/a","n/a","Core Design Ltd.","1994 ","http://www.gamefaqs.com/cd32/952168-chuck-rock-ii-son-of-chuck"
"Classic Lotus Trilogy","Miscellaneous,Compilation","Classic Lotus Trilogy is a Miscellaneous game, developed by Magnetic Fields and published by Gremlin Graphics,which was released in Europe in 1994.","n/a","n/a","n/a","Magnetic Fields","1994 ","http://www.gamefaqs.com/cd32/619362-classic-lotus-trilogy"
"Clockwiser","Miscellaneous,Puzzle,General","Clockwiser is a Miscellaneous game, developed by Team Hoi and published by Rasputin Software,which was released in Europe in 1994.","n/a","n/a","n/a","Team Hoi","1994 ","http://www.gamefaqs.com/cd32/971503-clockwiser"
"The Clue!","Strategy,General","The Clue! is a Strategy game, developed by neo Software and published by Kompart,which was released in Europe in 1994.","n/a","n/a","n/a","neo Software","1994 ","http://www.gamefaqs.com/cd32/961705-the-clue"
"Critical Zone","Miscellaneous,Compilation","Critical Zone is a Miscellaneous game, developed and published by Commodore,which was released in Europe in 1994.","n/a","n/a","n/a","Commodore","1994 ","http://www.gamefaqs.com/cd32/640227-critical-zone"
"D/Generation","Miscellaneous,Puzzle,General","A secret project is out of control at a biotech researh lab. The building in total chaos, the security system clasting everything that moves. All the employees have been killed or trapped.You must now battle the ominous force - an organism which uses virtual reality to actually become the chair you are sitting on, the floor you are walking on, even the room you are standing in! It's a race against time with ingenuity and determination your only weapon.","n/a","8.5","n/a","Abersoft","1994 ","http://www.gamefaqs.com/cd32/952220-d-generation"
"Dangerous Streets","Action,Beat-'Em-Up","The Greatest Fighters on Earth are here, ready to do battle with bruising agility, that will blow your mind. Take on the 8 Mighty Challengers, each having their own unique deathly winning Special Moves. Only the very meanest can survive on the Dangerous Streets of this urban jungle.","n/a","4.0","n/a","Micromania","1994 ","http://www.gamefaqs.com/cd32/952169-dangerous-streets"
"Dangerous Streets / Wing Commander","Miscellaneous,Compilation","Dangerous Streets / Wing Commander is a Miscellaneous game, developed by Mindscape Inc. and published by Commodore,which was released in Europe in 1993.","n/a","n/a","n/a","Mindscape Inc.","1993 ","http://www.gamefaqs.com/cd32/956137-dangerous-streets-wing-commander"
"Dark Seed","Adventure,General","Darkseed is based upon the fantastic artwork of swiss surrealist H.R. Giger, the inspiration for such blockbusters as Alien, Alien 3 and Poltergeist II. Giger has revolutionised the look of Science Fiction forever with his unique &quot;biomechanical&quot; style which depicts the synthesis of technology and biology as they might evolve without the influence of man.Challenge your mind... You are Mike Dawson, a Science Fiction writer who just purchased an old victorian house. As you explore your new home, you soon discover that you have bought more than you bargain for.Control the fate of two worlds... The world as we know it and the dark world of an ancient and dying civilisation. Unlock the secret of a sinister plot and discover the dark passage to their world... A place more terrifying than your darkest nightmare.Time is running out... You are on a collision course with destiny and only you have the ability to save yourself and the world from a cruel and inhuman fate. Every decision may be your last, so choose wisely... All of humanity is depending on you.","n/a","8.0","n/a","Cyberdreams","1994 ","http://www.gamefaqs.com/cd32/952090-dark-seed"
"Death Mask","Action,Shooter,First-Person,Sci-Fi","Battle and blast away might, nasty, awesome aliens, deadly demonic monsters and vicious mercenaries in level after level of adrenalin pumping action packed with excitement.Find and use a vast arsenal of powerful weapons and ammunition hidden in huge labyrinths of correidors and secret rooms.Play solo or against a &quot;friend&quot; using the unique two player mode.Can you get him before he gets you?Or will you help each other on this bloody quest?","n/a","4.0","n/a","Apache Software","1994 ","http://www.gamefaqs.com/cd32/952249-death-mask"
"Deep Core","Action,Platformer,2D","Deep Core is an Action game, developed by Dynafield and published by ICE,which was released in Europe in 1993.","n/a","n/a","n/a","Dynafield","1993 ","http://www.gamefaqs.com/cd32/619491-deep-core"
"Defender Of The Crown II","Strategy,Turn-Based,Historic","Defender Of The Crown II is a Strategy game, developed by Master Designer and published by Commodore,which was released in Europe in 1993.","n/a","8.0","n/a","Master Designer","1993 ","http://www.gamefaqs.com/cd32/619492-defender-of-the-crown-ii"
"Dennis","Action,Platformer,2D","Dennis is an Action game, developed by Citizen Software and published by Ocean,which was released in Europe in 1993.","n/a","6.0","n/a","Citizen Software","1993 ","http://www.gamefaqs.com/cd32/618127-dennis"
"The Clue!","Strategy,General","The Clue! is a Strategy game, developed by neo Software and published by Kompart,which was released in Europe in 1994.","n/a","n/a","n/a","neo Software","1994 ","http://www.gamefaqs.com/cd32/961705-the-clue"
"Diggers","Miscellaneous,Puzzle,Action","Diggers is a Miscellaneous game, developed and published by Millenium Interactive,which was released in Europe in 1993.","n/a","7.8","n/a","Millenium Interactive","1993 ","http://www.gamefaqs.com/cd32/619495-diggers"
"Disposable Hero","Action,Shooter,Scrolling","Disposable Hero's highly addictive gameplay features five huge levels of bombing and blasting action as well as 32 different weapons available to choose from. Stunning graphics and animation with great special effects and an original soundtrack. Countless aliens to blast through, just waiting for you!","n/a","7.0","n/a","Euphoria","1994 ","http://www.gamefaqs.com/cd32/952091-disposable-hero"
"Donk! The Samurai Duck!","Action,Platformer,2D","Donk! The Samurai Duck! is an Action game, developed by The Hidden and published by Global Software,which was released in Europe in 1994.","n/a","n/a","n/a","The Hidden","1994 ","http://www.gamefaqs.com/cd32/619493-donk-the-samurai-duck"
"Dragonstone","Adventure,Third-Person,Fantasy","Cut a path through Agon's demonic hordes and explore vast, forgotten lands as you play the hero in this fantasy role-playing adventure, set in a top-down, multi-directional perspective across seven externsive levels. A mystery with a twist in the dragon's tail...","n/a","7.3","n/a","Core Design Ltd.","1994 ","http://www.gamefaqs.com/cd32/952092-dragonstone"
"Emerald Mines","Miscellaneous,Puzzle,Action","Emerald Mines is a Miscellaneous game, developed and published by Almathera Systems,which was released in Europe in 1994.","n/a","n/a","n/a","Almathera Systems","1994 ","http://www.gamefaqs.com/cd32/619494-emerald-mines"
"Exile","Action,Platformer,2D","Exile is an Action game, developed and published by Audiogenic Ltd.,which was released in Europe in 1995.","n/a","7.5","n/a","Audiogenic Ltd.","1995 ","http://www.gamefaqs.com/cd32/619496-exile"
"Fears","Action,Shooter,First-Person,Sci-Fi","Have you got what it takes to face your Fears? Everyone said it couldn't be done. It has been! Prepare to meet thy doom across 30 levels of Manyk mayhem! An awesome display of 360 degree 3D action. Six different weapon systems and three levels of difficulty - Easy, Normal and Difficult. The Level Designer allows you to create your own fields of battle!","n/a","8.0","n/a","Bomb Software","1995 ","http://www.gamefaqs.com/cd32/952170-fears"
"Fields of Glory","Strategy,Real-Time,Military","Fields of Glory is a Strategy game, developed by WJS Design and published by MicroProse,which was released in Europe in 1994.","n/a","n/a","n/a","WJS Design","1994 ","http://www.gamefaqs.com/cd32/619885-fields-of-glory"
"Fightin' Spirit","Action,Fighting,2D","Fightin' Spirit is an Action game, developed by Light Shock and published by neo Software,which was released in Europe in 1996.","n/a","5.0","n/a","Light Shock","1996 ","http://www.gamefaqs.com/cd32/619886-fightin-spirit"
"Final Gate","Action,Shooter,Rail","Final Gate is an Action game, developed and published by Alternative Software,which was released in Europe in 1996.","n/a","n/a","n/a","Alternative Software","1996 ","http://www.gamefaqs.com/cd32/619887-final-gate"
"Fire & Ice","Action,Platformer,2D","Fire & Ice is an Action game, developed by Graftgold and published by Renegade,which was released in Europe in 1994.","n/a","8.0","n/a","Graftgold","1994 ","http://www.gamefaqs.com/cd32/952171-fire-and-ice"
"Fire Force","Action,Shooter,Scrolling","Fire Force is an Action game, developed and published by ICE,which was released in Europe in 1994.","n/a","n/a","n/a","ICE","1994 ","http://www.gamefaqs.com/cd32/952172-fire-force"
"Flink","Action,Platformer,2D","Disaster strikes Imagica Island and Wicked Wainwright's taken over! He's kidnapped the four island leaders, separated them, and has them under the watchful eyes of the Demon Guardians. Excited by his newfound control, he's gone absolutely crazy! He's casting dark clouds of smoke across the land, bringing unpleasant weather and much sadness to the people of Imagica. In a huge panic, the islanders appoint Flink, an apprentice wizard, to challenge Wicked Wainwright and to force the Demon Guardians to release the island leaders. Locate the leaders, bring their powers together, and help make Flink the full-fledged wizard he's always wanted to be!","n/a","n/a","n/a","Psygnosis","1995 ","http://www.gamefaqs.com/cd32/996837-flink"
"Fly Harder","Action,Shooter,Scrolling","Fly Harder is an Action game, developed by Starbyte and published by Krisalis Software,which was released in Europe in 1994.","n/a","n/a","n/a","Starbyte","1994 ","http://www.gamefaqs.com/cd32/619888-fly-harder"
"Frontier: Elite II","Simulation,Sci-Fi,Small Spaceship","The most eagerly awaited sequel to date, FRONTIER pitches you far, far into the future to the year 3200. Civilizations have spread through the galaxy hundreds of light years from Earth in all directions. Vast areas of the galaxy remain unexplored and with many thousands of worlds now settled in the cosmos, a rich and varied life of adventure awaits. Take on the role of a space trader known to moonlight as an intergalactic mercenary and watch the universe unfold before your very eyes.","n/a","n/a","n/a","GameTek","1993 ","http://www.gamefaqs.com/cd32/971966-frontier-elite-ii"
"Fury of the Furries","Action,Platformer,2D","During the unsuccesful voyage of the rebel Timies to the Earth, an evil Timy had captured the king and got held of the marvellous machine, turning Sidroughinto a planet of terror! Now that they have returned to their planet, these small hairy enimals have repaired their natural abilities. They can swim (above and below water), throw balls of fire, use a rope (to move about and grab objects) and even cut some elements of the scenery! Only by using your lightning reactions and crafty intelligence to the full can you guide the Timies through over a hundred levels of their astonishing planet.","n/a","n/a","n/a","Atreid Concept SA","1994 ","http://www.gamefaqs.com/cd32/952173-fury-of-the-furries"
"Gamers' Delight","Miscellaneous,Compilation","Gamers' Delight is a Miscellaneous game, developed and published by Schatztruhe,which was released in Europe in 1994.","n/a","n/a","n/a","Schatztruhe","1994 ","http://www.gamefaqs.com/cd32/619889-gamers-delight"
"Gangster Pursuit","Miscellaneous,Parlor,Gambling","Gangster Pursuit is a Miscellaneous game, developed and published by MMMGroup,which was released in Europe in 1995.","n/a","n/a","n/a","MMMGroup","1995 ","http://www.gamefaqs.com/cd32/619891-gangster-pursuit"
"Global Effect","Strategy,General","Make the decisions of a world leader as you control the balance of nature versus civilisation. Power-up and expand cities to rival those of Mother Earth, but watch out for global warming pollution, encroaching desert and deforestation. Destroy the enemy that trieds to blast your cities and poison your planet.The world is in your hands - take control!","n/a","n/a","n/a","Millenium Interactive","1994 ","http://www.gamefaqs.com/cd32/952093-global-effect"
"Gloom","Action,Shooter,First-Person,Sci-Fi","Sure, Gloom features the hottest 'you are there' 3-D graphics around - the most disturbingly realistic sound effects - the hugest armyof bizarre and bloodthirsty creatures yet assembled in one game.But none of that really matters when a game is this much sheer fun to play!","n/a","4.7","n/a","Black Magic Software","1995 ","http://www.gamefaqs.com/cd32/952221-gloom"
