"Title","Genres","Description","GameFAQs_Reader_Rating","GameFAQs_Rating","MetaCritics_MetaScore","Developer","ReleaseDate","ReferenceURL",
"Abracadabra!","Action Adventure,Fantasy","Abracadabra! is an Action Adventure game, developed and published by TG Software,which was released in 1983.","n/a","n/a","n/a","TG Software","1983 ","http://www.gamefaqs.com/atari8bit/971315-abracadabra"
"Ace of Aces","Simulation,Flight,Civilian Plane","Ace of Aces puts you in the cockpit of the Mosquito, the maverick RAF fighter bomber of World War II. It's white-knuckle aerial combat simulation, combining the exhilaration of flight with the gut-wrenching pressure of enemy confrontation. Your only allies are your wits, your weapons, and your radar. Are you equal to the challenge? Select one mission or any combination. If you complete all four successfully - and make it back alive - you'll become the most distinguished flight veteran of WWII - the Ace of Aces!","n/a","n/a","n/a","Distinctive Software","1988 ","http://www.gamefaqs.com/atari8bit/930900-ace-of-aces"
"Adventure Series","Adventure,Text","Adventure Series is an Adventure game, published by Atari,which was released in 1981.","n/a","n/a","n/a","Atari","1981 ","http://www.gamefaqs.com/atari8bit/564077-adventure-series"
"Adventureland","Adventure,Text","Adventureland is an Adventure game, developed and published by Adventure International,which was released in 1981.","n/a","n/a","n/a","Adventure International","1981 ","http://www.gamefaqs.com/atari8bit/564079-adventureland"
"The Adventures of Robbo","Miscellaneous,Puzzle,General","The Adventures of Robbo is a Miscellaneous game, developed by XLAND and published by LK Avalon,which was released in Europe in 1994.","n/a","n/a","n/a","XLAND","1994 ","http://www.gamefaqs.com/atari8bit/936782-the-adventures-of-robbo"
"Agent USA","Action,General","Agent USA is an Action game, developed by Tom Snyder Productions, Inc. and published by Scholastic, Inc.,which was released in 1985.","n/a","n/a","n/a","Tom Snyder Productions, Inc.","1985 ","http://www.gamefaqs.com/atari8bit/948974-agent-usa"
"Airball","Action,General","You have no time to lose! An evil wizard has transformed you into a fragile ball with a tiny hole that is gradually leaking precious air. Trapped in a huge mansion of over 150 rooms, you must watch out for hidden dangers that threaten to puncture your delicate skin while you desperately seek rooms which contain airpumps to replenish your dwindling supply. But pay close attention to your pressure gauge - as long as you remain on the pump your internal pressure will continue to rise and will cause you to explode if you don't break away in time! It's a race against time and your only hope is to find the evil wizard's spellbook which contains the secret to regaining your human form. Can you outwit the wizard before he deflates your existence?","n/a","7.0","n/a","Softworks Factory","1988 ","http://www.gamefaqs.com/atari8bit/930901-airball"
"Alf in the Color Caves","Action,General","Alf in the Color Caves is an Action game, developed by Joyce Hakansson Associates and published by Spinnaker Software,which was released in 1984.","n/a","n/a","n/a","Joyce Hakansson Associates","1984 ","http://www.gamefaqs.com/atari8bit/930902-alf-in-the-color-caves"
"Alpha Shield","Action,Shooter,Static","Alpha Shield is an Action game, developed and published by Sirius Software,which was released in 1983.","n/a","n/a","n/a","Sirius Software","1983 ","http://www.gamefaqs.com/atari8bit/932788-alpha-shield"
"Alternate Reality: The City","Role-Playing,General","Alternate Reality: The City is a Role-Playing game, developed by Paradise Programming and published by Datasoft,which was released in 1985.","n/a","8.0","n/a","Paradise Programming","1985 ","http://www.gamefaqs.com/atari8bit/575500-alternate-reality-the-city"
"Alternate Reality: The Dungeon","Role-Playing,General","Alternate Reality: The Dungeon is a Role-Playing game, developed and published by Datasoft,which was released in 1987.","n/a","10.0","n/a","Datasoft","1987 ","http://www.gamefaqs.com/atari8bit/575504-alternate-reality-the-dungeon"
"Andromeda Conquest","Strategy,Turn-Based,Sci-Fi","Andromeda Conquest is a Strategy game, developed by Microcomputer Games Inc. and published by Avalon Hill,which was released in 1982.","n/a","8.0","n/a","Microcomputer Games Inc.","1982 ","http://www.gamefaqs.com/atari8bit/943998-andromeda-conquest"
"Archon: The Light and the Dark","Miscellaneous,Board Games","There's a board. There are pieces with varying powers, squares to move into and an opponent to conquer. Once you decide where to attack, the board explodes into a battlefield. Your pieces, which include phoenixes, golems and wizards, fight the banshees, goblins and sorceresses. They cast spells and throw missiles in a fight to the finish. Only if you're smart, fast and dextrous will you win.","n/a","8.0","n/a","Free Fall Associates","1987 ","http://www.gamefaqs.com/atari8bit/955942-archon-the-light-and-the-dark"
"Arex","Action,General","Arex is an Action game, developed and published by Adventure International,which was released in 1983.","n/a","n/a","n/a","Adventure International","1983 ","http://www.gamefaqs.com/atari8bit/937852-arex"
"Arkanoid","Action,General","&quot;The time and era of this story is unknown. After the mothership &quot;ARKANOID&quot; was destroyed, a spacecraft &quot;Vaus&quot; scrambled away from it. But only to be trapped in space warped by someone...&quot;Shatter the walls of the space system in 33 amazing rounds of a fight for survival! Control the &quot;Vaus&quot;, a space vessel that acts as your paddle, in an attempt to break all the colored bricks without the ball falling off the playing field. Break all the bricks to advance to the next challenging level, collecting power-ups along the way!","n/a","n/a","n/a","Imagine","1987 ","http://www.gamefaqs.com/atari8bit/955984-arkanoid"
"Asteroids","Action,Shooter,Static","Your spaceship is trapped in a deadly asteroid belt. You will have to destroy the drifting asteroid boulders before they destroy your spaceship. But, watch out for enemy spacecraft. Fire your missiles to destroy the boulders and the enemy.","9.0","6.5","n/a","Atari","1981 ","http://www.gamefaqs.com/atari8bit/926638-asteroids"
"Astro Chase","Action,Shooter,Scrolling","ASTRO CHASE - a fast-flying, fast-fighting race through space to save the planet Earth from total destruction! Blast off and blaze across a scrolling, star-studded galaxy. Seek out and explode deadly megamines that close in as they orbit the earth. But keep an eye out for attacking enemy vessels - they'll pursue you to the far corners of space! Fire your lasers! Or activate your shields and ram the enemy! You've even got SINGLE THRUST PROPULSION - an amazing feature that lets you fire in one direction while speeding off in another. Save the planet from this awful doom and there's a secret reward awaiting you!","n/a","n/a","n/a","First Star Software","1982 ","http://www.gamefaqs.com/atari8bit/930885-astro-chase"
"Astro-Grover","Miscellaneous,Edutainment","Astro-Grover is a Miscellaneous game, developed by CCW, Inc. and published by CBS Software,which was released in 1984.","n/a","n/a","n/a","CCW, Inc.","1984 ","http://www.gamefaqs.com/atari8bit/951621-astro-grover"
