"Title","Genres","Description","GameFAQs_Reader_Rating","GameFAQs_Rating","MetaCritics_MetaScore","Developer","ReleaseDate","ReferenceURL",
"ABC Sports Presents: Power Hitter","Sports,Traditional,Baseball,Management","ABC Sports Presents: Power Hitter is a Sports game, developed by Fathom Pictures and published by Philips Media,which was released in Europe in 1992.","n/a","n/a","n/a","Fathom Pictures","1992 ","http://www.gamefaqs.com/cdi/937175-abc-sports-presents-power-hitter"
"ABC Sports Presents: The Palm Spring Open","Sports,Traditional,Golf,Arcade","ABC Sports Presents: The Palm Spring Open is a Sports game, developed by Fathom Pictures and published by Philips Media,which was released in Europe in 1991.","n/a","6.7","n/a","Fathom Pictures","1991 ","http://www.gamefaqs.com/cdi/937189-abc-sports-presents-the-palm-spring-open"
"Accelerator","Driving,Racing,Arcade","Accelerator is a Driving game, developed by The Vision Factory and published by SPC Vision,which was released in Europe in 1997.","n/a","3.5","n/a","The Vision Factory","1997 ","http://www.gamefaqs.com/cdi/937426-accelerator"
"Alfapet","Miscellaneous,Board Games","Alfapet is a Miscellaneous game, developed and published by ADATEK,which was released in Europe in 1993.","n/a","n/a","n/a","ADATEK","1993 ","http://www.gamefaqs.com/cdi/937427-alfapet"
"Alice in Wonderland","Adventure,General","Alice in Wonderland is an Adventure game, developed by Spinnaker Software and published by Philips Media,which was released in 1992.","n/a","5.7","n/a","Spinnaker Software","1992 ","http://www.gamefaqs.com/cdi/926991-alice-in-wonderland"
"Alien Gate","Action,General","Alien Gate is an Action game, developed by Vision Games and published by Philips Media,which was released in 1993.","n/a","5.0","n/a","Vision Games","1993 ","http://www.gamefaqs.com/cdi/575475-alien-gate"
"The Apprentice (1994)","Action,General","Poor Marvin needs your help! As apprentice to the great wizard Gandorf S. Wandburner III, Marvin must perform treacherous tasks throughout the castle towers. Take control of the apprentice and guide him through six heart-stopping levels in the arcade-style platform game that delivers fast, furious play with thousands of frames of animation. You'll be running, jumping, flying, even swimming your way around the towers, working against the clock and all the beastly enemies who are eager to prove that a wizard's work is never done!","10.0","7.7","n/a","The Vision Factory","1994 ","http://www.gamefaqs.com/cdi/581271-the-apprentice-1994"
"Arcade Classics","Miscellaneous,Compilation","Remember the good old days spending hours behind the arcade machine? These days are back. &quot;Arcade Classics&quot; has 3 all time classic games from the time that &quot;Game play&quot; was #1: Ms. Pac-Man, Galaxian and Galaga!","n/a","n/a","n/a","Philips Media","1996 ","http://www.gamefaqs.com/cdi/937190-arcade-classics"
"Asterix: Caesar's Challenge","Adventure,General","Asterix: Caesar's Challenge is an Adventure game, developed by Infogrames and published by Philips Media,which was released in Europe in 1995.","n/a","4.0","n/a","Infogrames","1995 ","http://www.gamefaqs.com/cdi/937193-asterix-caesars-challenge"
"Atlantis: The Last Resort","Adventure,General","Atlantis: The Last Resort is an Adventure game, developed and published by Philips Media,which was released in 1997.","n/a","5.0","n/a","Philips Media","1997 ","http://www.gamefaqs.com/cdi/575476-atlantis-the-last-resort"
