"Title","Genres","Description","GameFAQs_Reader_Rating","GameFAQs_Rating","MetaCritics_MetaScore","Developer","ReleaseDate","ReferenceURL",
"Channel F","Hardware,Console","Channel F is a Hardware game, developed and published by Fairchild,which was released in 1976.","n/a","7.0","n/a","Fairchild","August 1976 ","http://www.gamefaqs.com/channelf/916426-channel-f"
"Channel F","Hardware,Console","Channel F is a Hardware game, developed and published by Fairchild,which was released in 1976.","n/a","7.0","n/a","Fairchild","August 1976 ","http://www.gamefaqs.com/channelf/916426-channel-f"
"Channel F","Hardware,Console","Channel F is a Hardware game, developed and published by Fairchild,which was released in 1976.","n/a","7.0","n/a","Fairchild","August 1976 ","http://www.gamefaqs.com/channelf/916426-channel-f"
"Democart 01","Sports,Traditional,Tennis","Democart 01 is a Sports game, developed and published by Fairchild,which was released in 1977.","n/a","4.0","n/a","Fairchild","1977 ","http://www.gamefaqs.com/channelf/938736-democart-01"
"Hockey","Action,General","Hockey is an Action game, developed and published by Fairchild,which was released in 1976.","n/a","n/a","n/a","Fairchild","August 1976 ","http://www.gamefaqs.com/channelf/950852-hockey"
"Tennis","Action,General","Tennis is an Action game, developed and published by Fairchild,which was released in 1976.","n/a","n/a","n/a","Fairchild","August 1976 ","http://www.gamefaqs.com/channelf/951175-tennis"
"Channel F","Hardware,Console","Channel F is a Hardware game, developed and published by Fairchild,which was released in 1976.","n/a","7.0","n/a","Fairchild","August 1976 ","http://www.gamefaqs.com/channelf/916426-channel-f"
"Videocart 10: Maze","Action,Platformer,2D","Enjoy 52 variations of TV maze games including: Regular Maze - Every mouse for himself! Cat & Mouse - Mice vs. hungry cat! Paranoia - Nobody out till the cat has his lunch! Double Paranoia - Nobody out. Ever! Also features various 2-player game modes: Jailbreak - Escapist entertainment for the con artist. Find the weak bars and you're out! Blind-man's-bluff - Love is blind, and so are the mice! Trailblazer - Can't see the forest for the trees. Lose your opponent by leaving a flase trail!","n/a","n/a","n/a","Fairchild","1977 ","http://www.gamefaqs.com/channelf/927671-videocart-10-maze"
"Videocart 11: Backgammon / Acey-Deucey","Miscellaneous,Board Games","Play the world's newest and most modern game of backgammon. The pieces are on the tube, rather than a board. Like the regular game, but better... You've got nothing to lose! BACKGAMMON: Advance your runners to the comfort station. Send your buddy to the bar. Then get ready for a not-so-dangerous double. Get the point? ACEY-DEUCEY: Ahoy, buoys and gulls! Start with all stones unturned in this Navy version of backgammon. Then with a &quot;one&quot; and a &quot;two&quot;, you're three moves ahead.","n/a","n/a","n/a","Fairchild","1977 ","http://www.gamefaqs.com/channelf/567651-videocart-11-backgammon-acey-deucey"
"Videocart 12: Baseball","Sports,Traditional,Baseball,Arcade","Our Baseball game gives you nine (or more) innings to practice your timing, mix-up your pitches, shift your outfield... major league thrills with the comfort of home! It's Dizzy Dean, master of the fast ball, versus you! Common sandlot slugger. He winds up, throws... and WHACK! Straight over the center field fence! He should have tried a spit ball.","n/a","5.0","n/a","Fairchild","1977 ","http://www.gamefaqs.com/channelf/567652-videocart-12-baseball"
"Videocart 13: Robot War / Torpedo Alley","Action,Platformer,2D","The hunter or the hunted. Take your pick in these action-packed 1 and 2 player games. ROBOT WAR: The space station's computer has run amok. Four robots are on the hunt and you're the game! Lead them into one of the electrified force fields and short-circuit their calculated plans! TORPEDO ALLEY: Play against time or compete with another gunner. Blast away with your shore battery and &quot;deep six&quot; the invading fleet!","n/a","n/a","n/a","Fairchild","1977 ","http://www.gamefaqs.com/channelf/927608-videocart-13-robot-war-torpedo-alley"
