"Title","Genres","Description","GameFAQs_Reader_Rating","GameFAQs_Rating","MetaCritics_MetaScore","Developer","ReleaseDate","ReferenceURL",
"Air/Sea Attack","Miscellaneous,General","Air/Sea Attack is a Miscellaneous game, developed and published by VTech,which was released in Australia in 1981.","n/a","n/a","n/a","VTech","1981 ","http://www.gamefaqs.com/cvision/931874-air-sea-attack"
"Astro Pinball","Miscellaneous,Parlor,Pinball","Astro Pinball is a Miscellaneous game, developed and published by VTech,which was released in Australia in 1981.","n/a","n/a","n/a","VTech","1981 ","http://www.gamefaqs.com/cvision/931792-astro-pinball"
"Auto Chase","Driving,General","Auto Chase is a Driving game, developed and published by VTech,which was released in Australia in 1981.","n/a","n/a","n/a","VTech","1981 ","http://www.gamefaqs.com/cvision/931793-auto-chase"
"Chopper Rescue","Miscellaneous,General","Chopper Rescue is a Miscellaneous game, developed and published by VTech,which was released in Australia in 1983.","n/a","n/a","n/a","VTech","1983 ","http://www.gamefaqs.com/cvision/931875-chopper-rescue"
"Crazy Chicky","Action,General","Crazy Chicky is an Action game, developed and published by VTech,which was released in Australia in 1982.","n/a","n/a","n/a","VTech","1982 ","http://www.gamefaqs.com/cvision/931794-crazy-chicky"
"CreatiVision","Hardware,Console","CreatiVision is a Hardware game, developed and published by VTech,which was released in Europe in 1981.","n/a","10.0","n/a","VTech","1981 ","http://www.gamefaqs.com/cvision/934111-creativision"
"CreatiVision","Hardware,Console","CreatiVision is a Hardware game, developed and published by VTech,which was released in Europe in 1981.","n/a","10.0","n/a","VTech","1981 ","http://www.gamefaqs.com/cvision/934111-creativision"
"Deep Sea Adventure","Miscellaneous,General","Deep Sea Adventure is a Miscellaneous game, developed and published by VTech,which was released in Australia in 1982.","n/a","n/a","n/a","VTech","1982 ","http://www.gamefaqs.com/cvision/931876-deep-sea-adventure"
"Locomotive","Miscellaneous,General","Locomotive is a Miscellaneous game, developed and published by VTech,which was released in Australia in 1983.","n/a","n/a","n/a","VTech","1983 ","http://www.gamefaqs.com/cvision/931877-locomotive"
"Mouse Puzzle","Miscellaneous,General","Mouse Puzzle is a Miscellaneous game, developed and published by VTech,which was released in Australia in 1982.","n/a","n/a","n/a","VTech","1982 ","http://www.gamefaqs.com/cvision/931878-mouse-puzzle"
"Music Maker","Miscellaneous,Music Maker","Music Maker is a Miscellaneous game, developed and published by VTech,which was released in Australia in 1983.","n/a","n/a","n/a","VTech","1983 ","http://www.gamefaqs.com/cvision/949746-music-maker"
"Planet Defender","Miscellaneous,General","Planet Defender is a Miscellaneous game, developed and published by VTech,which was released in Australia in 1981.","n/a","n/a","n/a","VTech","1981 ","http://www.gamefaqs.com/cvision/931879-planet-defender"
"Police Jump","Miscellaneous,General","Police Jump is a Miscellaneous game, developed and published by VTech,which was released in Australia in 1981.","n/a","n/a","n/a","VTech","1981 ","http://www.gamefaqs.com/cvision/931880-police-jump"
"Soccer","Sports,Traditional,Soccer,Arcade","Soccer is a Sports game, developed and published by VTech,which was released in Australia in 1983.","n/a","n/a","n/a","VTech","1983 ","http://www.gamefaqs.com/cvision/931881-soccer"
"Sonic Invader","Action,General","Sonic Invader is an Action game, developed and published by VTech,which was released in Australia in 1981.","n/a","n/a","n/a","VTech","1981 ","http://www.gamefaqs.com/cvision/931882-sonic-invader"
"Tank Attack","Action,General","Tank Attack is an Action game, developed and published by VTech,which was released in Australia in 1981.","n/a","n/a","n/a","VTech","1981 ","http://www.gamefaqs.com/cvision/931883-tank-attack"
"Tennis","Sports,Traditional,Tennis","Tennis is a Sports game, developed and published by VTech,which was released in Australia in 1981.","n/a","n/a","n/a","VTech","1981 ","http://www.gamefaqs.com/cvision/931884-tennis"
