"Title","Genres","Description","GameFAQs_Reader_Rating","GameFAQs_Rating","MetaCritics_MetaScore","Developer","ReleaseDate","ReferenceURL",
"A-Mi-Da","Action,General","A-Mi-Da is an Action game, developed and published by Collavier,which was released in Japan in 2012.","n/a","10.0","n/a","Collavier","Nov 14, 2012 ","http://www.gamefaqs.com/ds/689673-a-mi-da"
"A-Ressha de Ikou DS","Simulation,Train","A-Ressha de Ikou DS is a Simulation game, developed and published by Artdink,which was released in Japan in 2009.","n/a","8.0","n/a","Artdink","Apr 23, 2009 ","http://www.gamefaqs.com/ds/958331-a-ressha-de-ikou-ds"
"A-Ressha de Ikou DS: Navigation Pack","Simulation,General","A-Ressha de Ikou DS: Navigation Pack is a Simulation game, developed and published by Artdink,which was released in Japan in 2010.","n/a","n/a","n/a","Artdink","Dec9, 2010 ","http://www.gamefaqs.com/ds/610264-a-ressha-de-ikou-ds-navigation-pack"
"16 Shot! Shooting Watch","Action,General","Back in the 8-bit glory days, Hudson's own &quot;Master Higgins&quot; (a.k.a. Takahashi Meijin) made a splash in the gaming world with his astonishing trigger-finger speed of 16 shots per second. Can you break the Master's record? A graph analysis feature breaks down your stats and indicates your weak spots. Use it effectively to improve your trigger-finger performance. If you get a high score, you can leave a customized signature using the touch screen. Get your family and friends to compete for some serious rapid-fire fun.","n/a","6.0","","","","http://www.gamefaqs.com/ds/995574-16-shot-shooting-watch"
"AAA: El Videojuego","Action,Fighting,Wrestling","AAA: El Videojuego is an Action game, developed by Immersion Software & Graphics and published by Sabarasa Entertainment,which was cancelled before it was released.","","","","","","http://www.gamefaqs.com/ds/961091-aaa-el-videojuego"
"Aahh! Spot the Difference","Miscellaneous,Puzzle,Matching","Demonstrate your skills of observation in this engaging &quot;Spot the Difference&quot; game! Complete 40 challenging levels in 4 unique scenarios by spotting the differences between the upper and lower screen. But you must be quick, as most of the objects and the camera are constantly moving. You can also test your skills in three additional modes: Survival, Speed Attack and Time Attack. You will earn one star for finding the required number of differences, two stars will be awarded if you find more, and if you find all the differences in the level you will receive three stars. Good luck!","n/a","10.0","","","","http://www.gamefaqs.com/ds/662320-aahh-spot-the-difference"
"Metal Torrent","Action,Shooter,Scrolling","Prepare for a high level of intensity as you pilot a solo ship deep into enemy space in this vertically scrolling shooter. Battle wave after wave of relentless attackers aiming to do one thing - destroy you! Your goal, beyond mere survival, is simple: Get the highest score possible and earn bragging rights in online leaderboards. Two powerful fighters are at your disposal: the Accipiter and Bateleur, tailored for beginner or expert players. Progress through eight phases of action and take out enemies by tactically using your weapons: an unlimited-fire blaster weapon available to both ships and an energy-consuming special weapon unique to each craft. Absorb energy cubes from destroyed enemies to replenish your energy gauge and increase your score. Collect a series of consecutive cubes to create a chain and boost your score even higher. Choose from pattern or random modes to vary the level of challenge, but the real indication of skill comes from competing with players around the world for the highest score possible. Use Nintendo Wi-Fi Connection to upload your score to the online leaderboards to see where you stack up or even view replays of top-ranking players' games and study their secrets. Do you have what it takes to be the best?","7.0","7.0","62","Arika","May 24, 2010 ","http://www.gamefaqs.com/ds/990144-metal-torrent"
"Absolute Baseball","Sports,Traditional,Baseball,Management","Become the manager of a baseball team and lead it to the championship. Make all the decisions for your team, from selecting the starting lineup and switching pitchers and runners to giving your players pitching, fielding and batting orders. Earn points as you play games throughout the season, and use them to increase your players' abilities. Build them into the team that will respond to your strategy and make it to the top. In addition to regular league games, there are interleague games, playoffs and the championship series.","n/a","7.7","","","","http://www.gamefaqs.com/ds/997449-absolute-baseball"
"Absolute BrickBuster","Action,General","Classic brick game action is here on the Nintendo DSi system. There are two modes of play: Free Play and Challenge. Pick one of eight characters and set special items to play at your own pace in Free Play Mode. The special items include different balls with special attributes, expandable paddle and paddle tilt. There are 10 stages in all. Each even-numbered stage gives you a mission, the result of which will determine the level of the next two stages. In Challenge Mode, different levels of missions are given - clear them to advance in the game.","n/a","6.0","","","","http://www.gamefaqs.com/ds/999539-absolute-brickbuster"
"Absolute Chess","Miscellaneous,Board Games","This easy-to-understand chess game explains everything from basic rules to aggressive strategies. There are two modes of play. In Free Play, you can play against a number of preset characters, ranging from a young kid to a grouchy old man. The Challenge mode gives players multiple levels and missions to complete. Player support features include a function to indicate possible moves for the player and the opponent, as well as the ability to undo your previous move. You can also enjoy matches with friends via DS Download Play.","n/a","6.8","","","","http://www.gamefaqs.com/ds/984929-absolute-chess"
