"Title","Genres","Description","GameFAQs_Reader_Rating","GameFAQs_Rating","MetaCritics_MetaScore","Developer","ReleaseDate","ReferenceURL",
"Abel: Shin Mokushiroku Taisen","Role-Playing,Console-style RPG","Abel: Shin Mokushiroku Taisen is a Role-Playing game, developed and published by Family Soft,which was released in Japan in 1995.","n/a","8.0","n/a","Family Soft","November 1995 ","http://www.gamefaqs.com/fmtowns/638394-abel-shin-mokushiroku-taisen"
"After Burner III","Simulation,Flight,Modern Jet","You're strapped into the Navy's fiercest jet fighter-the F-14 Tomcat. Kick in the afterburner to outrun deadly cannon fire &quot;hot on your six.&quot; Pull up hard...lock and launch! Roll 360 degrees to blow desert tank patrols, radio towers, and missile sites into oblivion.","n/a","n/a","n/a","CSK","1992 ","http://www.gamefaqs.com/fmtowns/707428-after-burner-iii"
"Amaranth III","Miscellaneous,General","Amaranth III is a Miscellaneous game, developed and published by Fuga,which was released in Asia in 1994.","n/a","6.0","n/a","Fuga","1994 ","http://www.gamefaqs.com/fmtowns/932022-amaranth-iii"
"Asuka 120% BURNING Fest.","Action,Fighting,2D","Asuka 120% BURNING Fest. is an Action game, developed by Fill-In Cafe and published by Family Soft,which was released in Japan in 1994.","n/a","6.0","n/a","Fill-In Cafe","Mar 11, 1994 ","http://www.gamefaqs.com/fmtowns/641804-asuka-120-burning-fest"
"Asuka 120% Excellent BURNING Fest.","Action,Fighting,2D","Asuka 120% Excellent BURNING Fest. is an Action game, developed by Fill-In Cafe and published by Family Soft,which was released in Japan in 1994.","n/a","n/a","n/a","Fill-In Cafe","Dec 22, 1994 ","http://www.gamefaqs.com/fmtowns/691802-asuka-120-excellent-burning-fest"
"Bacta 1&2+Voice","Adventure,General","Bacta 1&2+Voice is an Adventure game, developed and published by Himeya,which was released in Japan in 1996.","n/a","7.0","n/a","Himeya","Jan 12, 1996 ","http://www.gamefaqs.com/fmtowns/955929-bacta-12voice"
"Belle's Avenue Volume 1","Miscellaneous,General","Belle's Avenue Volume 1 is a Miscellaneous game, developed and published by Wendy Magazine,which was released in Japan in 1993.","n/a","7.0","n/a","Wendy Magazine","August 1993 ","http://www.gamefaqs.com/fmtowns/957423-belles-avenue-volume-1"
"Belle's Avenue Volume 2","Miscellaneous,General","Belle's Avenue Volume 2 is a Miscellaneous game, developed and published by Wendy Magazine,which was released in Japan in 1994.","n/a","7.0","n/a","Wendy Magazine","January 1994 ","http://www.gamefaqs.com/fmtowns/957424-belles-avenue-volume-2"
"Belle's Avenue Volume 3","Miscellaneous,General","Belle's Avenue Volume 3 is a Miscellaneous game, developed and published by Wendy Magazine,which was released in Japan in 1995.","n/a","6.0","n/a","Wendy Magazine","April 1995 ","http://www.gamefaqs.com/fmtowns/957425-belles-avenue-volume-3"
"Brandish","Role-Playing,Action RPG","Brandish is a Role-Playing game, developed and published by Falcom,which was released in Japan in 1995.","n/a","6.0","n/a","Falcom","1995 ","http://www.gamefaqs.com/fmtowns/952072-brandish"
"Bubble Bobble","Action,Platformer,2D","Meet Bub and Bob, two of the busiest beasties you ever saw, as they battle their way across 100 levels of controlled chaos in search of their girlfriends (ahhh!). Jump around picking up goodies and secret weapons as you seek to outsmart your enemies, but beware... hang around too long and you'll face Baron von Blubba, from whom there's no escape! Bubble Bobble will blast your brain and bruise your senses!","n/a","8.0","n/a","Ving","1993 ","http://www.gamefaqs.com/fmtowns/936911-bubble-bobble"
"Cameltry","Action,General","Major improvement have been done to the control interface!2 new control interfaces, &#34;Tilt&#34; and &#34;Flick&#34;, enables more intuitive, smooth and addictive game control!-Tilt : The Orb will fall in the tilted direction.-Flick : The stage will rotate in the flicked direction.Auto save system : Players can now continue the game from the beginning of the suspended stage.--------------------------------------------The story of a soul lost within a labyrinth painting&hellip;Welcome to the world of CAMELTRY!First released in 1989 as an arcade game, CAMELTRY, has been revitalized with a new worldview.Overcome a myriad of obstacles as you set out for the goal within this labyrinth of illusions.Gather items placed throughout the labyrinth to unlock hidden stages.In the end, will you be able to reach the final painting and escape this enigmatic world?Controls:-Roll your Orb to the goal by tilting your iPhone/iPod touch or touching the screen to rotate the stage.-Be careful, if you touch a time loss block your remaining time will decrease.-Some blocks can be destroyed if the Orb hits them with a strong enough momentum.-You can also make the Orb jump by lightly tapping your Orb or tilting your iPhone/iPod Touch back and forth on its axis to shake the stage.Game Modes:Practice Mode: Learn about the controls and items Enigma Mode: Collect items throughout the stages to unlock hidden paintings.Keyword: Puzzle, maze, labyrinth, orb, old, classic, arcade, video, rotation, roling, gyre, action, block, pinball, drop, descent, dip, fall, enigma, puzzle, riddle, code, password, secret, illusion, illusionism, fake, da Vinci, Escher.Languages:English, Japanese","n/a","7.0","n/a","Taito Corporation","1993 ","http://www.gamefaqs.com/fmtowns/934686-cameltry"
