"Title","Genres","Description","GameFAQs_Reader_Rating","GameFAQs_Rating","MetaCritics_MetaScore","Developer","ReleaseDate","ReferenceURL",
"Baldies","Strategy,General","Ever want to rule the world? With Baldies you have the resources, but do you have the strategy and skill? Build your own society complete with workers, builders, soldiers, and scientists, and use them to conquer enemy territory. When it comes to killing your foe, creativity is highly encouraged. You can skunk 'em, drown 'em, blow 'em up, and electrocute 'em. Plan your attack well. The enemy is trying to do the same to you!","6.0","4.0","n/a","Creative Edge Software","December 1995 ","http://www.gamefaqs.com/jaguarcd/916014-baldies"
"Battlemorph","Action,General","You thought Cybermorph was challenging? Now face a whole new mixture of enemies, worlds, weapons and puzzles in Battlemorph, only for the Jaguar CD. The Pernitian Empire has been kicked out of human space but they're back for revenge! Head off their attack with the morphing War Griffon that changes shape with the environment. Fly high or low, backwards, underwater and even underground to get at the enemy's weak spots. Discover new weapons and abilities on alien worlds like nothing you've ever seen!","9.0","6.6","n/a","Atari","December 1995 ","http://www.gamefaqs.com/jaguarcd/916015-battlemorph"
"Black Ice, White Noise","Action Adventure,Sci-Fi","Black Ice, White Noise is an Action Adventure game, developed and published by Atari,which was cancelled before it was released.","","","","","","http://www.gamefaqs.com/jaguarcd/619102-black-ice-white-noise"
"Blue Lightning","Simulation,Flight,Modern Jet","A top U.N. General named Drako has gone renegade. As a member of the U.N's Blue Lightning squad, you must stop him from organizing a global crime empire and holding the world for ransom. Use a multi-national selection of deadly fighter and attack aircraft to stop Drako's military forces. Only you stand between Drako and world domination!","5.3","5.8","n/a","Epyx","August 1995 ","http://www.gamefaqs.com/jaguarcd/916016-blue-lightning"
"Brain Dead 13","Adventure,Interactive Movie","As Lance, the world's hippest computer repair guru, you're called to the mysterious castle of the disembodied brain, Dr. Nero Neurosis. You learn of the Doctor's master plan... There's no turning back now! Race through the evil playground of the demented Doctor's twisted castle and battle the ultimate mishaps of science: Moose, Vivi, and Fritz, the half-human half-pet of Dr. Neurosis.","6.0","10.0","n/a","ReadySoft","March 1996 ","http://www.gamefaqs.com/jaguarcd/916017-brain-dead-13"
"Dragon's Lair","Adventure,Interactive Movie","Dragon's Lair is back and better than ever on Jaguar CD!This full arcade version is packed with spectacular animation and sound from the original laser disc, bringing Dragon's Lair to life like never before!You control the action of Dirk the Daring, a valiant knight, on a quest to rescue the fair Princess from the clutches of an Evil Dragon.Fight your way through the castle of the Dark Wizard who has enchanted it with treacherous monsters and obstacles.Lead on brave adventurer...your quest awaits!","7.5","8.5","n/a","ReadySoft","1995 ","http://www.gamefaqs.com/jaguarcd/586885-dragons-lair"
"Highlander","Action,General","You are Quentin MacLeod, last of the immortals and hope of all mankind. You discovered your true identity only after the death of your mother and the destruction of your village. As she died, your mother told you of your true destiny -- to save mankind from the evil immortal, Kortan. Ramirez, one of the good immortals, will aid you in your task. Your first quest is to rescue the remaining villagers (the Dundees) from Kortan's stronghold. Be careful or your first quest will be your last.","3.0","6.8","n/a","Lore Design","October 1995 ","http://www.gamefaqs.com/jaguarcd/916018-highlander"
"Hover Strike: Unconquered Lands","Action,General","You fear the worst for the missing colonists. Terrakian Pirates have taken over the distant planet, with their deadly machines patrolling every inch of the surface. The Federation has chosen you to launch a preemptive strike. Your vehicle is a state-of-the-art armored hovercraft, equipped with rapid-fire cannon and powerful missiles. Anti-grav units enable it to float over any terrain. Knock out key targets and make way for the Federation's armada. Save the colony before it's too late!","7.0","7.0","n/a","Atari","October 1995 ","http://www.gamefaqs.com/jaguarcd/916019-hover-strike-unconquered-lands"
"Iron Soldier 2","Simulation,Sci-Fi,Mech","Pilot your 42 foot mech robot through 20 new missions against the evil Penta Forces. Dramatically enhanced 3-D graphics create a virtual battlefield with war waged in all 360 degrees. Outfit your Iron Soldier with combinations of 12 weapons systems and begin your fight. With full motion video, driving soundtrack, and realistic SFX in stereo or surround sound, this product will set new standards for your gaming experience.","8.0","7.0","n/a","Eclipse Software","December 1997 ","http://www.gamefaqs.com/jaguarcd/916020-iron-soldier-2"
"Jaguar CD","Hardware,Console","Jaguar CD is a Hardware game, developed and published by Atari,which was released in 1995.","6.5","1.3","n/a","Atari","1995 ","http://www.gamefaqs.com/jaguarcd/916378-jaguar-cd"
