"Title","Genres","Description","GameFAQs_Reader_Rating","GameFAQs_Rating","MetaCritics_MetaScore","Developer","ReleaseDate","ReferenceURL",
"ADK World","Miscellaneous,Trivia / Game Show","ADK World is a Miscellaneous game, developed and published by ADK,which was released in Japan in 1995.","n/a","n/a","n/a","ADK","Nov 10, 1995 ","http://www.gamefaqs.com/neogeocd/565688-adk-world"
"Aero Fighters 2","Action,Shooter,Scrolling","Up in the skies above 8 countries, control one of 8 fighters and join the sonic dogfight! With 4 level shooting and special weapons, blow out your enemies!","6.0","7.6","n/a","Video System","Sep 29, 1994 ","http://www.gamefaqs.com/neogeocd/922295-aero-fighters-2"
"Aero Fighters 3","Action,Shooter,Scrolling","Aero Fighters 3 is an Action game, developed by Video System and published by SNK,which was released in Japan in 1995.","n/a","8.3","n/a","Video System","1995 ","http://www.gamefaqs.com/neogeocd/938960-aero-fighters-3"
"Aggressors of Dark Kombat","Action,Fighting,2D","Anything goes to beat up your enemies! No rules. No limitations for the fight! Aerial battle, Provoking, Faking, and Throwing... Anything is available! Weapons, strangleholds. No mercy even to the weakened enemy! Throwing attack? Fist fight? Try whatever you like!","n/a","7.0","n/a","ADK","1994 ","http://www.gamefaqs.com/neogeocd/922297-aggressors-of-dark-kombat"
"Alpha Mission II","Action,Shooter,Scrolling","The year is 2525. It's been 10 years since the &quot;SYD&quot; super jet plane installed the &quot;Armored scrum Object&quot; and one pilot saved space. A mysterious invasion of space has started again. The humans seriously damaged by the attack can only turn to the &quot;Legendary Hero&quot;. &quot;SYD&quot; was given to Alpha Mission II to stand by for the partner's ride. Break through the defense line and destroy the core!","n/a","5.5","n/a","SNK","Sep9, 1994 ","http://www.gamefaqs.com/neogeocd/922218-alpha-mission-ii"
"Art of Fighting","Action,Fighting,2D","Being a great fighter takes more than strength and pain. You need wisdom and need to win at any cost. Ryo Sakazaki's sister has been kidnapped and it leads Ryo and Robert, two of the greatest fighters of all time, on the most dangerous search of their lives... You'll discover magic techinques to master THE ART OF FIGHTING!","n/a","7.5","n/a","SNK","1994 ","http://www.gamefaqs.com/neogeocd/919817-art-of-fighting"
"Art of Fighting 2","Action,Fighting,2D","RYO and ROBERT return along with 10 of the meanest maulers of SOUTHTOWN. Use new characters and the RAGE GAUGE, visit new places, meet new enemeis; then push their faces in with your newly acquired arts of ARMAGEDDON!","n/a","6.6","n/a","SNK","1994 ","http://www.gamefaqs.com/neogeocd/922289-art-of-fighting-2"
"Art of Fighting 3","Action,Fighting,2D","Released in 1996, Art of Fighting 3: The Path of the Warrior is a fighting game set in Grasshill Valley, where drama and battles unfold among various fighters. Aside from the protagonists Ryo and Robert, this installment has all-new characters. Art of Fighting 3: The Path of the Warrior features powerful airborne combos, more efficient parrying maneuvers, the ability to inflict damage to downed opponents, and the Ultimate K.O., which allows characters to win a match in just one round. Furthermore, the graphics are based off of motion capture technology rendering them smoother than ever before, making it one of the most innovative 2D fighting games at the time.","n/a","6.7","n/a","SNK","Jun 14, 1996 ","http://www.gamefaqs.com/neogeocd/922309-art-of-fighting-3"
"Art of Fighting 3","Action,Fighting,2D","Released in 1996, Art of Fighting 3: The Path of the Warrior is a fighting game set in Grasshill Valley, where drama and battles unfold among various fighters. Aside from the protagonists Ryo and Robert, this installment has all-new characters. Art of Fighting 3: The Path of the Warrior features powerful airborne combos, more efficient parrying maneuvers, the ability to inflict damage to downed opponents, and the Ultimate K.O., which allows characters to win a match in just one round. Furthermore, the graphics are based off of motion capture technology rendering them smoother than ever before, making it one of the most innovative 2D fighting games at the time.","n/a","6.7","n/a","SNK","Jun 14, 1996 ","http://www.gamefaqs.com/neogeocd/922309-art-of-fighting-3"
"Alpha Mission II","Action,Shooter,Scrolling","The year is 2525. It's been 10 years since the &quot;SYD&quot; super jet plane installed the &quot;Armored scrum Object&quot; and one pilot saved space. A mysterious invasion of space has started again. The humans seriously damaged by the attack can only turn to the &quot;Legendary Hero&quot;. &quot;SYD&quot; was given to Alpha Mission II to stand by for the partner's ride. Break through the defense line and destroy the core!","n/a","5.5","n/a","SNK","Sep9, 1994 ","http://www.gamefaqs.com/neogeocd/922218-alpha-mission-ii"
"The Last Blade 2","Action,Fighting,2D","The Last Blade 2, originally released in 1998, is the sequel to the fighting game, The Last Blade, which was released a year before. It picks up where the previous title left off and takes the story of battling at the gates of hell to its climax. This time around, there are 16 unique swordsmen from which to choose. Choose from 2 sword types (Strength and Attack). Deflect your enemy's attacks with &quot;Repel&quot;. You can also cancel game-changing special moves like &quot;Super Secret Slice&quot; or &quot;Hidden Secret Slice&quot; with a &quot;Sublime Slash&quot;, which connects to Super Secret Slice - just like in the previous title. And there are even some new features like aerial repels, aerial guards and knockdown recovery. Take your battles to a whole 'nother level!","10.0","7.3","n/a","SNK","Feb 27, 1999 ","http://www.gamefaqs.com/neogeocd/562851-the-last-blade-2"
