"Title","Genres","Description","GameFAQs_Reader_Rating","GameFAQs_Rating","MetaCritics_MetaScore","Developer","ReleaseDate","ReferenceURL",
"Ballistic","Miscellaneous,Puzzle,General","Puzzle Players Unite! Ballistic is the exciting new action puzzle game everyone's been talking about! It's simple to play and offers endless hours of fun. Your goal is to keep the balls from reaching the center gate. rotate the launcher and shoot the balls into a constantly growing sting of balls. Matching three-of-a-kind creates a &quot;chain reaction&quot; and makes them disappear. Combine multiple chains for even more points!","6.0","7.0","n/a","Infogrames","July 2000 ","http://www.gamefaqs.com/nuon/915811-ballistic"
"Crayon Shin-Chan","Action,Platformer,2D","Crayon Shin-Chan is an Action game, developed and published by Okiyasu Lab,which was released in Korea in 2000.","n/a","9.0","n/a","Okiyasu Lab","2000 ","http://www.gamefaqs.com/nuon/924905-crayon-shin-chan"
"Freefall 3050 A.D.","Action,General","Freefall 3050 A.D. is an Action game, developed and published by Nuon,which was released in 2000.","n/a","5.0","n/a","Nuon","December 2000 ","http://www.gamefaqs.com/nuon/580398-freefall-3050-ad"
"Interactive Sampler","Miscellaneous,Demo Disc","Interactive Sampler is a Miscellaneous game, developed and published by VMLabs,which was released in 2000.","n/a","n/a","n/a","VMLabs","Jul1, 2000 ","http://www.gamefaqs.com/nuon/950976-interactive-sampler"
"Iron Soldier 3","Simulation,Sci-Fi,Mech","Get in, hold on and shut up! That's right, you are the Pilot of the Iron Soldier, a 40-foot giant robot, and saving the world is up to you. Well, you and your missile launcher! It won't be easy, but it will be fun.","n/a","n/a","n/a","Eclipse Software","June 2000 ","http://www.gamefaqs.com/nuon/924906-iron-soldier-3"
"Merlin Racing","Driving,General","Merlin Racing is a Driving game, developed by Miracle Designs and published by VMLabs,which was released in 2000.","7.0","5.0","n/a","Miracle Designs","December 2000 ","http://www.gamefaqs.com/nuon/453777-merlin-racing"
"The Next Tetris","Miscellaneous,Puzzle,Stacking","The Next Tetris is a Miscellaneous game, developed by Blue Planet Software and published by Nuon,which was released in 2001.","n/a","5.0","n/a","Blue Planet Software","January 2001 ","http://www.gamefaqs.com/nuon/924911-the-next-tetris"
"Nuon","Hardware,Console","Nuon is a Hardware game, developed and published by VMLabs,which was released in 2000.","n/a","7.0","n/a","VMLabs","2000 ","http://www.gamefaqs.com/nuon/916608-nuon"
"Nuon","Hardware,Console","Nuon is a Hardware game, developed and published by VMLabs,which was released in 2000.","n/a","7.0","n/a","VMLabs","2000 ","http://www.gamefaqs.com/nuon/916608-nuon"
"Space Invaders XL","Action,Shooter,Static","Space Invaders XL is an Action game, developed by Matahari Studios and published by Taito Corporation,which was released in 2000.","n/a","3.0","n/a","Matahari Studios","Jun1, 2000 ","http://www.gamefaqs.com/nuon/924907-space-invaders-xl"
"Tempest 3000","Action,Shooter,Static","A true arcade masterpiece is back! Way back in 1981, the original Tempest was introduced and immediately became a classic. Now, almost twenty years later, Tempest is back and looking better than ever! Tempest 3000 is best described as a fusion of modern music and psychedelic visuals with a generous dollor of old school, thumb-blistering, button smashing gameplay.","9.0","6.3","n/a","Llamasoft","Nov 27, 2000 ","http://www.gamefaqs.com/nuon/915831-tempest-3000"
