"Title","Genres","Description","GameFAQs_Reader_Rating","GameFAQs_Rating","MetaCritics_MetaScore","Developer","ReleaseDate","ReferenceURL",
"A-Train","Simulation,Train","You'll start with a bit of bare land and a small bank loan, then establish transportation systems, buy and sell land and businesses, and even invest in the stock market. If all goes well, you'll be rich and powerful. Then you can hop a train and take a first-person 3-D joy ride through your empire. If all doesn't go well... well. you'll have to find out for yourself. Trains, power and money - what more could you want?","9.0","4.5","","","","http://www.gamefaqs.com/ps/572384-a-train"
"A-Ressha de Ikou Z: Mezase! Tairiku Oudan","Strategy,Breeding/Constructing","A-Ressha de Ikou Z: Mezase! Tairiku Oudan is a Strategy game, developed and published by Artdink,which was released in Japan in 1999.","n/a","8.0","n/a","Artdink","May4, 1999 ","http://www.gamefaqs.com/ps/575303-a-ressha-de-ikou-z-mezase-tairiku-oudan"
"A-Train","Simulation,Train","You'll start with a bit of bare land and a small bank loan, then establish transportation systems, buy and sell land and businesses, and even invest in the stock market. If all goes well, you'll be rich and powerful. Then you can hop a train and take a first-person 3-D joy ride through your empire. If all doesn't go well... well. you'll have to find out for yourself. Trains, power and money - what more could you want?","9.0","4.5","","","","http://www.gamefaqs.com/ps/572384-a-train"
"A-Train","Simulation,Train","You'll start with a bit of bare land and a small bank loan, then establish transportation systems, buy and sell land and businesses, and even invest in the stock market. If all goes well, you'll be rich and powerful. Then you can hop a train and take a first-person 3-D joy ride through your empire. If all doesn't go well... well. you'll have to find out for yourself. Trains, power and money - what more could you want?","9.0","4.5","","","","http://www.gamefaqs.com/ps/572384-a-train"
"A. IV Evolution: A-Ressha de Ikou 4","Strategy,Breeding/Constructing","A. IV Evolution: A-Ressha de Ikou 4 is a Strategy game, developed and published by Artdink,which was released in Japan in 1994.","n/a","5.0","n/a","Artdink","Dec3, 1994 ","http://www.gamefaqs.com/ps/572603-a-iv-evolution-a-ressha-de-ikou-4"
"A2 Racer II","Driving,Racing,Arcade","A2 Racer II is a Driving game, developed and published by Davilex,which was released in Europe in 1998.","n/a","n/a","n/a","Davilex","1998 ","http://www.gamefaqs.com/ps/941787-a2-racer-ii"
"A2 Racer III: Europa Tour","Driving,Racing,Arcade","A2 Racer III: Europa Tour is a Driving game, developed and published by Davilex,which was released in Europe in 2002.","n/a","8.0","n/a","Davilex","2002 ","http://www.gamefaqs.com/ps/959375-a2-racer-iii-europa-tour"
"A5: A-Ressha de Ikou 5","Strategy,Breeding/Constructing","A5: A-Ressha de Ikou 5 is a Strategy game, developed and published by Artdink,which was released in Japan in 1997.","n/a","7.0","n/a","Artdink","Dec4, 1997 ","http://www.gamefaqs.com/ps/572606-a5-a-ressha-de-ikou-5"
"AbalaBurn","Action,General","AbalaBurn is an Action game, developed by Tamsoft and published by Takara,which was released in Japan in 1998.","n/a","6.0","n/a","Tamsoft","Aug 20, 1998 ","http://www.gamefaqs.com/ps/572607-abalaburn"
"Oddworld: Abe's Exoddus","Action,Platformer,2D","Abe's peaceful retirement was shattered when visited by a vision from the Mudokon Spirit Guides. Abe&trade; learned the Magog Cartel was mining Necrum, the sacred Mudokon city of the dead, to collect bones to make super-addictive SoulStorm Brew.After freeing the Mudokon spirits imprisoned in the Mudanchee and Mudomo Vaults, Abe gained scary powers from the Spirit Guides, including the ability to heal his Mudokon friends of Soul-Storm addiction, and the power to turn invisible. Infiltrating the transportation hub of FeeCo Depot, and using explosive farts to survive adventures at the Slig Barracks and Bonewerks, Abe broke into SoulStorm Brewery.There Abe learned the truth behind the secret ingredient of SoulStorm Brew . . . just before blasting the place to atoms with the combined power of the sobered-up Mudokon he'd rescued. Then Abe joined his brew-addled pals at Alf's Rehab & Tea to take the cure - the journey of a lifetime starts with one step. Or is it twelve?","8.4","8.3","88","Oddworld Inhabitants","Oct 31, 1998 ","http://www.gamefaqs.com/ps/198222-oddworld-abes-exoddus"
"Oddworld: Abe's Oddysee","Action,Platformer,2D","In a lush of diabolical danger where everyone wants to eat you, you're the skinny guy with no weapons. Run, jump, hide, scramble and talk your way past the ugliest bunch of carnivorous crustaceans ever created. Unlock Abe's special powers then figure out your foes, and you might save your race. Don't, and you're dinner! Enter Oddworld's surreal, sensory overload of pure gaming and claim your destiny.","9.0","8.1","85","Oddworld Inhabitants","Aug 31, 1997 ","http://www.gamefaqs.com/ps/198224-oddworld-abes-oddysee"
