"Title","Genres","Description","GameFAQs_Reader_Rating","GameFAQs_Rating","MetaCritics_MetaScore","Developer","ReleaseDate","ReferenceURL",
"VR Golf '97","Sports,Traditional,Golf,Sim","It's just a game like the Green Jacket is just a sports coat. Say hello to the next generation of golf. We're talking real-time 3-D Virtual Field Vision&trade; that lets you play and view any lie on the course form any perspective instantly.It's interative technology that doesn't just look better, it plays better. Plus, the fast course set-up between shots means there's no waiting on this course. So gauge your distance, select your club, pick your direction and park a 300-yard drive down the middle of the fairway. Play amateur and professional tours or play up to three of your friends at the same time.","n/a","4.3","n/a","Gremlin Interactive","1996 ","http://www.gamefaqs.com/saturn/574021-vr-golf-97"
"VR Soccer","Sports,Traditional,Soccer,Sim","It's just a game like English soccer fans are just a little bit enthusiastic. Say hello to the next generation of soccer. We're talking real-time 3D Virtual FieldVision that puts you anywhere on the field. Play from virtually any perspective with smooth, fast camera action that gets you in the game. It's interactive technology that doesn't just look better, it plays better. Select your squad from 44 international teams and choose the position you want to play. Plus, head-to-head or alternating play modes for one or two players. VR Soccer. The difference is real.","2.0","5.0","","","","http://www.gamefaqs.com/saturn/199232-vr-soccer"
"VR Soccer","Sports,Traditional,Soccer,Sim","It's just a game like English soccer fans are just a little bit enthusiastic. Say hello to the next generation of soccer. We're talking real-time 3D Virtual FieldVision that puts you anywhere on the field. Play from virtually any perspective with smooth, fast camera action that gets you in the game. It's interactive technology that doesn't just look better, it plays better. Select your squad from 44 international teams and choose the position you want to play. Plus, head-to-head or alternating play modes for one or two players. VR Soccer. The difference is real.","2.0","5.0","","","","http://www.gamefaqs.com/saturn/199232-vr-soccer"
"Advanced V.G.","Action,Fighting,2D","Advanced V.G. is an Action game, published by TGL,which was released in Japan in 1997.","n/a","6.0","n/a","TGL","Mar 14, 1997 ","http://www.gamefaqs.com/saturn/577682-advanced-vg"
"Advanced World War: Sennen Teikoku no Koubou","Strategy,Wargame,Turn-Based","Advanced World War: Sennen Teikoku no Koubou is a Strategy game, published by Sega,which was released in Japan in 1997.","n/a","n/a","n/a","Sega","Mar 20, 1997 ","http://www.gamefaqs.com/saturn/574777-advanced-world-war-sennen-teikoku-no-koubou"
"AI Igo: Saturn Version","Miscellaneous,Board Games","AI Igo: Saturn Version is a Miscellaneous game, developed by ISCO and published by ASCII Entertainment,which was released in Japan in 1997.","n/a","n/a","n/a","ISCO","Jul 11, 1997 ","http://www.gamefaqs.com/saturn/580102-ai-igo-saturn-version"
"AI Shogi","Miscellaneous,Board Games","AI Shogi is a Miscellaneous game, published by Soft Bank,which was released in Japan in 1995.","n/a","n/a","n/a","Soft Bank","Aug 25, 1995 ","http://www.gamefaqs.com/saturn/577527-ai-shogi"
"AI Shogi 2","Miscellaneous,Board Games","AI Shogi 2 is a Miscellaneous game, published by ASCII Entertainment,which was released in Japan in 1998.","n/a","n/a","n/a","ASCII Entertainment","Jun 11, 1998 ","http://www.gamefaqs.com/saturn/574035-ai-shogi-2"
"Air Management '96","Strategy,Breeding/Constructing","Air Management '96 is a Strategy game, published by Koei,which was released in Japan in 1996.","n/a","n/a","n/a","Koei","Mar 22, 1996 ","http://www.gamefaqs.com/saturn/577624-air-management-96"
"Airs Adventure","Adventure,General","Airs Adventure is an Adventure game, developed and published by Game Studio,which was released in Japan in 1996.","n/a","8.3","n/a","Game Studio","Dec 20, 1996 ","http://www.gamefaqs.com/saturn/574778-airs-adventure"
