"Title","Genres","Description","GameFAQs_Reader_Rating","GameFAQs_Rating","MetaCritics_MetaScore","Developer","ReleaseDate","ReferenceURL",
"Adventure Land","Adventure,Text","Adventure Land is an Adventure game, developed by Adventure Soft and published by Commodore,which was released in 1981.","n/a","n/a","n/a","Adventure Soft","1981 ","http://www.gamefaqs.com/vic20/927376-adventure-land"
"AE","Action,Shooter,First-Person,Sci-Fi","AE is an Action game, developed and published by Broderbund,which was released in 1982.","n/a","n/a","n/a","Broderbund","1982 ","http://www.gamefaqs.com/vic20/933530-ae"
"Apple Panic","Action,General","Apple Panic is an Action game, developed by Broderbund and published by Creative Software,which was released in 1982.","n/a","n/a","n/a","Broderbund","1982 ","http://www.gamefaqs.com/vic20/933583-apple-panic"
"Artillery Duel","Action,General","A two player game of skill and strategy as you try to knock out your enemy's gun emplacement. New random terrains in each battle!","n/a","n/a","n/a","Xonox","1983 ","http://www.gamefaqs.com/vic20/933531-artillery-duel"
"Astroblitz","Action,Shooter,Scrolling","Astroblitz is an Action game, developed and published by Creative Software,which was released in 1982.","n/a","10.0","n/a","Creative Software","1982 ","http://www.gamefaqs.com/vic20/997337-astroblitz"
"Atlantis","Action,Shooter,Static","Only you can save the lost city of Atlantis, one of the greatest civilizations man has ever known. You command the three defense posts that guard the skies. As the dreaded Gorgon Fleet descends on Atlantis, you must destroy them, or perish! One or two players can help defend the submerged city of Atlantis. The longer you last, the faster they come. Some enemy ships fly slowly but steadily over Atlantis. Others streak across the sky. Knock out a Bandit Bomber and annihilate its entire Gorgon squad! Blitz them!","7.0","n/a","n/a","Imagic","1983 ","http://www.gamefaqs.com/vic20/931727-atlantis"
"Aztec Challenge","Action,General","Aztec Challenge is an Action game, developed and published by Cosmi,which was released in 1982.","n/a","9.0","n/a","Cosmi","1982 ","http://www.gamefaqs.com/vic20/933532-aztec-challenge"
"B-1 Nuclear Bomber","Simulation,Flight,WWII","B-1 Nuclear Bomber is a Simulation game, developed by Microcomputer Games Inc. and published by Avalon Hill,which was released in 1983.","n/a","n/a","n/a","Microcomputer Games Inc.","1983 ","http://www.gamefaqs.com/vic20/933592-b-1-nuclear-bomber"
"Baldor's Castle","Action,Platformer,2D","Baldor's Castle is an Action game, developed and published by Daedalus,which was released in 1983.","n/a","n/a","n/a","Daedalus","1983 ","http://www.gamefaqs.com/vic20/935105-baldors-castle"
"Battlezone","Action,General","From the control panel of the last combat tank on Earth, it's up to you to stop the fleet of automated weapons that is ravaging the countryside. Armed with a radar screen and turret gun, you must search out and destroy these relentless automatons before they destroy your tank.","n/a","8.0","n/a","Atari","1983 ","http://www.gamefaqs.com/vic20/933577-battlezone"
"Buck Rogers: Planet of Zoom","Action,Shooter,Scrolling","It's the 25th Century. You are Buck Rogers fighting the battle of Planet Zoom. Skillfully slip through zapping electron posts. Dodge and destroy deadly space hoppers and alien saucers. Your race against death has just begun! Prepare for battle with your most powerful enemy... the Mother Ship! It's never easy when it's do or die. You must hit the Mother Ship dead center. Anything less will only waste precious fuel. Aim steady, but hurry... your fuel is dangerously low!","n/a","n/a","n/a","Sega","1983 ","http://www.gamefaqs.com/vic20/933533-buck-rogers-planet-of-zoom"
"Cannonball Blitz","Action,General","Cannonball Blitz is an Action game, developed by Sierra Entertainment and published by Sierra Online,which was released in 1982.","n/a","n/a","n/a","Sierra Entertainment","1982 ","http://www.gamefaqs.com/vic20/933584-cannonball-blitz"
"Cavern Fighter","Action,General","Cavern Fighter is an Action game, developed and published by Anirog Software,which was released in 1982.","n/a","n/a","n/a","Anirog Software","1982 ","http://www.gamefaqs.com/vic20/933534-cavern-fighter"
"Centipede","Action,Shooter,Static","An insidious invasion of multiplying insects (centipedes, jumping spiders, poisonous spiders, and frenzied fleas) pose different perils to the mushroom patch. You must repeatedly blast enraged creepers and stubborn obstacles or lose your enchanted fungus. Remember to listen for the distinctive sounds of the attacking bugs; and watch out for blasted centipede segments, each one grows a new head!","n/a","n/a","n/a","Syndein Systems","1983 ","http://www.gamefaqs.com/vic20/933578-centipede"
"Choplifter","Action,Shooter,Scrolling","Man a chopper in the nation's top action adventure. Pockets of international hostages are trapped. All across the world. In the Middle East. In the South Seas. And in a secret base somewhere in a cavern. You man a helicopter rescue team. And your job is to take your helicopter down, rescue the hostages and fly them back to safety. All the while dodging and destroying dangerous enemy fire. An action-packed helicopter game at its best!","n/a","8.0","n/a","Broderbund","1982 ","http://www.gamefaqs.com/vic20/997259-choplifter"
"Cloudburst","Action,General","Cloudburst is an Action game, developed and published by UMI,which was released in 1982.","n/a","n/a","n/a","UMI","1982 ","http://www.gamefaqs.com/vic20/935106-cloudburst"
"Computer War","Action,Shooter,Scrolling","Computer War is an Action game, developed and published by Thorn EMI,which was released in 1983.","n/a","n/a","n/a","Thorn EMI","1983 ","http://www.gamefaqs.com/vic20/996887-computer-war"
"Congo Bongo","Action,General","You're on a jungle safari packed full of wild and zany adventures. Climb the cliffs to the top of Monkey Mountain as you try to reach the jungle's most mischievous gorilla. Don't get clobbered by the coconuts he'll throw your way. Watch out for menacing monkeys. Beyond Monkey Mountain you'll come to Lazy Lake where you'll see raging rhinos and hollering hippos. Leap from lily pad to lily pad across the treacherous lake filled with ferocious man-eating fish and other jungle dangers, but be careful... one slip and it's safari heaven!","2.0","7.0","n/a","Sega","1983 ","http://www.gamefaqs.com/vic20/666506-congo-bongo"
"Cosmic Jailbreak","Action,Shooter,Static","Cosmic Jailbreak is an Action game, developed and published by Commodore,which was released in 1982.","n/a","n/a","n/a","Commodore","1982 ","http://www.gamefaqs.com/vic20/997338-cosmic-jailbreak"
"The Count","Adventure,Interactive Movie","You wake up in a large brass bed in a castle somewhere in Transylvania. Who are you, what are you doing here, and why did the postman deliver a bottle of blood? It's LOVE AT FIRST BYTE!","n/a","6.0","n/a","Adventure Soft","1981 ","http://www.gamefaqs.com/vic20/927382-the-count"
"Creepy Corridors","Action Adventure,Fantasy","Creepy Corridors is an Action Adventure game, developed and published by Sierra Entertainment,which was released in 1982.","n/a","n/a","n/a","Sierra Entertainment","1982 ","http://www.gamefaqs.com/vic20/997352-creepy-corridors"
"Crush, Crumble & Chomp!","Action,General","Crush, Crumble & Chomp! is an Action game, developed by Automated Simulations and published by Epyx,which was released in 1982.","n/a","n/a","n/a","Automated Simulations","1982 ","http://www.gamefaqs.com/vic20/996500-crush-crumble-and-chomp"
"Dig Dug","Miscellaneous,Puzzle,General","Create your own maze as you tunnel fearlessly through the earth. Your goal: Reap tasty vegetables worth healthy points. Your enemies: ghosts who want to bury you alive, fierce fire-breathing dragons, and mean balloon-like bullies! Can you dig it? Here's the exciting home version of the celebrated coin-op original!","n/a","n/a","n/a","Syndein Systems","1983 ","http://www.gamefaqs.com/vic20/997353-dig-dug"
"Donkey Kong","Action,Platformer,2D","You can feel an exciting tingle up and down your spine when you play DONKEY KONG at home, just like at an arcade. Your joystick guides Mario,* the fearless carpenter, up the girders and elevators as he attempts to rescue his sweetheart from the clutches of Donkey Kong. All the thrills of the arcade game in a home computer version for one or two players.","n/a","7.0","n/a","Syndein Systems","1983 ","http://www.gamefaqs.com/vic20/997354-donkey-kong"
"Garden Wars","Action,General","Garden Wars is an Action game, developed and published by Commodore,which was released in 1982.","n/a","n/a","n/a","Commodore","1982 ","http://www.gamefaqs.com/vic20/997260-garden-wars"
"Gorf","Action,Shooter,Static","The smash hit Bally Midway arcade game comes to your home video computer system! Featuring four completely different space games: Astro Battles, Laser Attack, Space Warp, and Flagship. This arcade classic will give you hours of space action fun!","n/a","7.5","n/a","Bally/Midway","1982 ","http://www.gamefaqs.com/vic20/933579-gorf"
"Gridrunner","Action,Shooter,Scrolling","Here's another slick shooter from the developer who is rapidly gaining a reputation as the king of retro on iOS.Gridrunner was a much-loved and popular game on the Commodore Vic-20 and Commodore 64 back in 1982.Here the game is reimagined by its original author in the style of an early 1980s coin-op arcade machine.Of course this is a Minotaur Project game, so we ignore the limitations of such old hardware, borrowing just the style but presenting a slick, modern shooter that is a joy to play on iOS.As can be relied on in a Llamasoft game the controls are excellent and the gameplay fun, satisfying and rewarding.Gridrunner is OpenFeint enabled and supports leaderboards and achievements on both OpenFeint and GameCenter.Get your blasting trousers on and get ready to enjoy some classic shooting fun re-energised for the modern era.Another great Minotaur Project release.","n/a","n/a","n/a","Llamasoft","1982 ","http://www.gamefaqs.com/vic20/669284-gridrunner"
"Home Babysitter","Miscellaneous,Edutainment","Home Babysitter is a Miscellaneous game, developed and published by Commodore,which was released in 1982.","1.0","n/a","n/a","Commodore","1982 ","http://www.gamefaqs.com/vic20/931899-home-babysitter"
"Hunchback","Action,General","As the Hunchback, you have been given the mighty task of rescuing Esmerelda from her castle stronghold! Featuring Ramparts, Knights, Arrows, Fireballs, the Pit and of course the Bells! 100% machine code, just like in the arcade!","n/a","n/a","n/a","Ocean","1984 ","http://www.gamefaqs.com/vic20/934959-hunchback"
"Lode Runner","Miscellaneous,Puzzle,Action","You're a highly trained Galactic Commando, deep in enemy territory. Your mission: to recover a fortune in gold, stolen from the Bungeling people by their power-hungry leaders. You'll be running, jumping, and climbing heroically, solving perplexing puzzles. With your laser pistol, you'll drill passageways through stone floors and barriers. To get through this mission alive, you'll need more than fleet feet and good looks. You'll need your quick wits and brains. And more than just a little luck.","n/a","7.0","n/a","Broderbund","1983 ","http://www.gamefaqs.com/vic20/935097-lode-runner"
"Mission: Impossible","Adventure,Text","Mission: Impossible is an Adventure game, developed by Adventure Soft and published by Commodore,which was released in 1981.","n/a","7.0","n/a","Adventure Soft","1981 ","http://www.gamefaqs.com/vic20/927379-mission-impossible"
"Money Wars","Action,Shooter,Static","Money Wars is an Action game, developed and published by Commodore,which was released in 1981.","n/a","n/a","n/a","Commodore","1981 ","http://www.gamefaqs.com/vic20/647862-money-wars"
"Monster Maze","Action,General","Monster Maze is an Action game, developed and published by Epyx,which was released in 1983.","n/a","n/a","n/a","Epyx","1983 ","http://www.gamefaqs.com/vic20/935098-monster-maze"
"Ms. Pac-Man","Action,General","Meet the queen of video games - Ms. Pac-Man! She's all dressed up - and hungry as ever! Score points as Ms. Pac-Man gobbles up dots, energy pills, fruit, pretzels, and of course, those grumpy ghosts.","n/a","n/a","n/a","Syndein Systems","1983 ","http://www.gamefaqs.com/vic20/927378-ms-pac-man"
"Omega Race","Action,Shooter,Scrolling","The Omegans, the most feared and respected star warriors throughout the galaxy, have come to Earth to challenge you to their legendary OMEGA RACE! Grab hold of your Booster-Grip and speed your Fighter around the perimeters of the mysterious cosmic arena. Ricochet off walls to outmaneuver and vaporize Omegan Droid Ships and Command Ships and avoid the deadly Photon Mines. Endurance, skill and luck are what you'll need to clear the arena and destroy the madly-spinning Death Ship! But don't get too confident, hotshot. The Omegans waste no time in sending new challenges your way. This is one race that never ends!","n/a","9.0","n/a","Bally/Midway","1982 ","http://www.gamefaqs.com/vic20/997261-omega-race"
"Pac-Man","Action,General","Gobble, gobble, gulp! Who's munching Power Pellets? Who's zipping around the maze at top speed, chomping up ghosts and scoring big points? It's Pac-Man, the world's hungriest character! Devour a fruit treat and get a big bonus score. But if you're caught by the little haunters, you're ghostflakes! Use the warp tunnel for a quick escape. Hours of ghost-chomping action!","n/a","n/a","n/a","Designer Software","1982 ","http://www.gamefaqs.com/vic20/927380-pac-man"
"Pharaoh's Curse","Action,Platformer,2D","Pharaoh's Curse is an Action game, developed by Human Engineered Software and published by HesWare,which was released in 1983.","n/a","n/a","n/a","Human Engineered Software","1983 ","http://www.gamefaqs.com/vic20/926461-pharaohs-curse"
"Pinball Spectacular","Miscellaneous,Parlor,Pinball","Pinball Spectacular is a Miscellaneous game, developed and published by Commodore,which was released in 1981.","n/a","n/a","n/a","Commodore","1981 ","http://www.gamefaqs.com/vic20/647864-pinball-spectacular"
"Pirate Cove","Adventure,Text","Yo ho ho and a bottle of rum... You'll meet a tough old pirate and his daffy bird, and encounter many strange sights as you attempt to go from your London flat to Treasure Island. Can you find and recover Long John Silver's lost treasures?","2.0","7.0","n/a","Adventure Soft","1984 ","http://www.gamefaqs.com/vic20/918748-pirate-cove"
