"releaseID","romID","releaseTitleName","regionLocalizedID","TEMPregionLocalizedName","TEMPsystemShortName","TEMPsystemName","releaseCoverFront","releaseCoverBack","releaseCoverCart","releaseCoverDisc","releaseDescription","releaseDeveloper","releasePublisher","releaseGenre","releaseDate","releaseReferenceURL"
2876,2826,"3 Choume no Tama: Tama and Friends: 3 Choume Obake Panic!!",13,"Japan","GB","Nintendo Game Boy","","","","","","","","","",""
2877,2827,"3-pun Yosou: Umaban Club",13,"Japan","GB","Nintendo Game Boy","","","","","","","","","",""
2878,2828,"4 in 1",7,"Europe","GB","Nintendo Game Boy","","","","","","","","","",""
2879,2829,"4 in 1",7,"Europe","GB","Nintendo Game Boy","","","","","","","","","",""
2880,2830,"4-in-1 Fun Pak",13,"Japan","GB","Nintendo Game Boy","","","","","","","","","",""
2881,2831,"4-in-1 Fun Pak",7,"Europe","GB","Nintendo Game Boy","","","","","","","","","",""
2882,2831,"4-in-1 Fun Pak",21,"USA","GB","Nintendo Game Boy","","","","","","","","","",""
2883,2832,"4-in-1 Fun Pak Volume II",7,"Europe","GB","Nintendo Game Boy","","","","","","","","","",""
2884,2832,"4-in-1 Fun Pak Volume II",21,"USA","GB","Nintendo Game Boy","","","","","","","","","",""
2885,2833,"A-mazing Tater",21,"USA","GB","Nintendo Game Boy","","","","","","","","","",""
2886,2834,"Aa Harimanada",13,"Japan","GB","Nintendo Game Boy","","","","","","","","","",""
2887,2835,"The Addams Family",13,"Japan","GB","Nintendo Game Boy","","","","","","","","","",""
2888,2836,"The Addams Family",21,"USA","GB","Nintendo Game Boy","","","","","","","","","",""
2889,2837,"The Addams Family",7,"Europe","GB","Nintendo Game Boy","","","","","","","","","",""
2890,2838,"The Addams Family: Pugsley's Scavenger Hunt",7,"Europe","GB","Nintendo Game Boy","","","","","","","","","",""
2891,2838,"The Addams Family: Pugsley's Scavenger Hunt",21,"USA","GB","Nintendo Game Boy","","","","","","","","","",""
2892,2839,"Adventure Island",7,"Europe","GB","Nintendo Game Boy","","","","","","","","","",""
2893,2839,"Adventure Island",21,"USA","GB","Nintendo Game Boy","","","","","","","","","",""
2894,2840,"Adventure Island II: Aliens in Paradise",7,"Europe","GB","Nintendo Game Boy","","","","","","","","","",""
2895,2840,"Adventure Island II: Aliens in Paradise",21,"USA","GB","Nintendo Game Boy","","","","","","","","","",""
2896,2841,"Adventures of Lolo",7,"Europe","GB","Nintendo Game Boy","","","","","","","","","",""
2897,2842,"The Adventures of Pinocchio",21,"USA","GB","Nintendo Game Boy","","","","","","","","","",""
2898,2843,"The Adventures of Rocky and Bullwinkle and Friends",21,"USA","GB","Nintendo Game Boy","","","","","","","","","",""
