"releaseID","romID","releaseTitleName","regionLocalizedID","TEMPregionLocalizedName","TEMPsystemShortName","TEMPsystemName","releaseCoverFront","releaseCoverBack","releaseCoverCart","releaseCoverDisc","releaseDescription","releaseDeveloper","releasePublisher","releaseGenre","releaseDate","releaseReferenceURL"
4770,4407,"007: The World Is Not Enough",7,"Europe","GBC","Nintendo Game Boy Color","","","","","","","","","",""
4771,4407,"007: The World Is Not Enough",21,"USA","GBC","Nintendo Game Boy Color","","","","","","","","","",""
4772,4408,"10-Pin Bowling",21,"USA","GBC","Nintendo Game Boy Color","","","","","","","","","",""
4773,4409,"10-Pin Bowling",7,"Europe","GBC","Nintendo Game Boy Color","","","","","","","","","",""
4774,4410,"102 Dalmatas: Cachorros Al Rescate",17,"Spain","GBC","Nintendo Game Boy Color","","","","","","","","","",""
4775,4411,"102 Dalmatians: Puppies to the Rescue",7,"Europe","GBC","Nintendo Game Boy Color","","","","","","","","","",""
4776,4411,"102 Dalmatians: Puppies to the Rescue",21,"USA","GBC","Nintendo Game Boy Color","","","","","","","","","",""
4777,4412,"Les 102 Dalmatiens a la Rescousse",9,"France","GBC","Nintendo Game Boy Color","http://www.dvd-cdlire.fr/12052-12696-large/les-102-dalmatiens-a-la-rescousse.jpg","","","","It's puppy power to the rescue! As Oddball or Domino, it's up to you to rescue your captured puppy friends from the evil clutches of Cruella De Vil and her army of pet-napping toys!","Crystal Dynamics","Activision","Platformer","","http://www.gamefaqs.com/gbc/913902-disneys-102-dalmatians-puppies-to-the-rescue"
4778,4413,"102 Dalmatiner",10,"Germany","GBC","Nintendo Game Boy Color","","","","","","","","","",""
4779,4414,1942,7,"Europe","GBC","Nintendo Game Boy Color","","","","","","","","","",""
4780,4414,1942,21,"USA","GBC","Nintendo Game Boy Color","","","","","","","","","",""
4781,4415,"3-D Ultra Pinball: Thrillride",21,"USA","GBC","Nintendo Game Boy Color","","","","","","","","","",""
4782,4416,"3D Pocket Pool",7,"Europe","GBC","Nintendo Game Boy Color","","","","","","","","","",""
4783,4417,"4x4 World Trophy",7,"Europe","GBC","Nintendo Game Boy Color","","","","","","","","","",""
4784,4418,"720 Degrees",7,"Europe","GBC","Nintendo Game Boy Color","","","","","","","","","",""
4785,4418,"720 Degrees",21,"USA","GBC","Nintendo Game Boy Color","","","","","","","","","",""
4786,4419,"Action Man: Search for Base X",7,"Europe","GBC","Nintendo Game Boy Color","","","","","","","","","",""
4787,4419,"Action Man: Search for Base X",21,"USA","GBC","Nintendo Game Boy Color","","","","","","","","","",""
4788,4420,"Action Replay Online",7,"Europe","GBC","Nintendo Game Boy Color","","","","","","","","","",""
4789,4421,"The Adventures of Elmo in Grouchland",7,"Europe","GBC","Nintendo Game Boy Color","","","","","","","","","",""
4790,4422,"The Adventures of Elmo in Grouchland",21,"USA","GBC","Nintendo Game Boy Color","","","","","","","","","",""
4791,4423,"The Adventures of the Smurfs",7,"Europe","GBC","Nintendo Game Boy Color","","","","","","","","","",""
4792,4424,"AirForce Delta",21,"USA","GBC","Nintendo Game Boy Color","","","","","","","","","",""
4793,4425,"AirForce Delta",13,"Japan","GBC","Nintendo Game Boy Color","","","","","","","","","",""
4794,4426,"Aladdin",7,"Europe","GBC","Nintendo Game Boy Color","","","","","","","","","",""
4795,4427,"Aladdin",21,"USA","GBC","Nintendo Game Boy Color","","","","","","","","","",""
4796,4428,"Alfred's Adventure",7,"Europe","GBC","Nintendo Game Boy Color","","","","","","","","","",""
4797,4429,"Alice in Wonderland",7,"Europe","GBC","Nintendo Game Boy Color","","","","","","","","","",""
4798,4430,"Alice in Wonderland",21,"USA","GBC","Nintendo Game Boy Color","","","","","","","","","",""
4799,4431,"Aliens: Thanatos Encounter",7,"Europe","GBC","Nintendo Game Boy Color","","","","","","","","","",""
4800,4431,"Aliens: Thanatos Encounter",21,"USA","GBC","Nintendo Game Boy Color","","","","","","","","","",""
4801,4432,"All Star Tennis 2000",7,"Europe","GBC","Nintendo Game Boy Color","","","","","","","","","",""
4802,4433,"All-Star Baseball 2000",7,"Europe","GBC","Nintendo Game Boy Color","","","","","","","","","",""
4803,4433,"All-Star Baseball 2000",21,"USA","GBC","Nintendo Game Boy Color","","","","","","","","","",""
4804,4434,"All-Star Baseball 2001",21,"USA","GBC","Nintendo Game Boy Color","","","","","","","","","",""
4805,4435,"Alone in the Dark: The New Nightmare",7,"Europe","GBC","Nintendo Game Boy Color","","","","","","","","","",""
4806,4436,"Alone in the Dark: The New Nightmare",21,"USA","GBC","Nintendo Game Boy Color","","","","","","","","","",""
4807,4437,"Animal Breeder 3",13,"Japan","GBC","Nintendo Game Boy Color","","","","","","","","","",""
4808,4438,"Animal Breeder 4",13,"Japan","GBC","Nintendo Game Boy Color","","","","","","","","","",""
4809,4439,"Animastar GB",13,"Japan","GBC","Nintendo Game Boy Color","","","","","","","","","",""
4810,4440,"Animorphs",21,"USA","GBC","Nintendo Game Boy Color","","","","","","","","","",""
4811,4441,"Animorphs",7,"Europe","GBC","Nintendo Game Boy Color","","","","","","","","","",""
4812,4442,"Anpfiff: Der RTL Fussball-Manager",10,"Germany","GBC","Nintendo Game Boy Color","","","","","","","","","",""
4813,4443,"Antz",7,"Europe","GBC","Nintendo Game Boy Color","","","","","","","","","",""
4814,4444,"Antz",21,"USA","GBC","Nintendo Game Boy Color","","","","","","","","","",""
4815,4445,"Antz Racing",7,"Europe","GBC","Nintendo Game Boy Color","","","","","","","","","",""
4816,4446,"Antz Racing",21,"USA","GBC","Nintendo Game Boy Color","","","","","","","","","",""
4817,4447,"Antz World Sportz",7,"Europe","GBC","Nintendo Game Boy Color","","","","","","","","","",""
4818,4448,"Aqualife",13,"Japan","GBC","Nintendo Game Boy Color","","","","","","","","","",""
4819,4449,"Arcade Hits: Joust & Defender",7,"Europe","GBC","Nintendo Game Boy Color","","","","","","","","","",""
4820,4449,"Arcade Hits: Joust & Defender",21,"USA","GBC","Nintendo Game Boy Color","","","","","","","","","",""
4821,4450,"Arcade Hits: Moon Patrol & Spy Hunter",7,"Europe","GBC","Nintendo Game Boy Color","","","","","","","","","",""
4822,4450,"Arcade Hits: Moon Patrol & Spy Hunter",21,"USA","GBC","Nintendo Game Boy Color","","","","","","","","","",""
4823,4451,"Arle no Bouken: Mahou no Jewel",13,"Japan","GBC","Nintendo Game Boy Color","","","","","","","","","",""
4824,4452,"Armada: FX Racers",21,"USA","GBC","Nintendo Game Boy Color","","","","","","","","","",""
4825,4453,"Armorines: Project S.W.A.R.M.",7,"Europe","GBC","Nintendo Game Boy Color","","","","","","","","","",""
4826,4453,"Armorines: Project S.W.A.R.M.",21,"USA","GBC","Nintendo Game Boy Color","","","","","","","","","",""
4827,4454,"Army Men",7,"Europe","GBC","Nintendo Game Boy Color","","","","","","","","","",""
4828,4454,"Army Men",21,"USA","GBC","Nintendo Game Boy Color","","","","","","","","","",""
4829,4455,"Army Men: Air Combat",7,"Europe","GBC","Nintendo Game Boy Color","","","","","","","","","",""
4830,4455,"Army Men: Air Combat",21,"USA","GBC","Nintendo Game Boy Color","","","","","","","","","",""
4831,4456,"Army Men: Sarge's Heroes 2",7,"Europe","GBC","Nintendo Game Boy Color","","","","","","","","","",""
4832,4456,"Army Men: Sarge's Heroes 2",21,"USA","GBC","Nintendo Game Boy Color","","","","","","","","","",""
4833,4457,"Army Men 2",7,"Europe","GBC","Nintendo Game Boy Color","","","","","","","","","",""
4834,4457,"Army Men 2",21,"USA","GBC","Nintendo Game Boy Color","","","","","","","","","",""
4835,4458,"Arthur's Absolutely Fun Day!",21,"USA","GBC","Nintendo Game Boy Color","","","","","","","","","",""
4836,4459,"Asterix & Obelix",7,"Europe","GBC","Nintendo Game Boy Color","","","","","","","","","",""
4837,4460,"Asterix & Obelix vs Caesar",7,"Europe","GBC","Nintendo Game Boy Color","","","","","","","","","",""
4838,4461,"Asterix: Search for Dogmatix",7,"Europe","GBC","Nintendo Game Boy Color","","","","","","","","","",""
4839,4462,"Asteroids",7,"Europe","GBC","Nintendo Game Boy Color","","","","","","","","","",""
4840,4462,"Asteroids",21,"USA","GBC","Nintendo Game Boy Color","","","","","","","","","",""
4841,4463,"Atlantis: The Lost Empire",7,"Europe","GBC","Nintendo Game Boy Color","","","","","","","","","",""
4842,4464,"Atlantis: The Lost Empire",7,"Europe","GBC","Nintendo Game Boy Color","","","","","","","","","",""
4843,4465,"Atlantis: The Lost Empire",7,"Europe","GBC","Nintendo Game Boy Color","","","","","","","","","",""
4844,4465,"Atlantis: The Lost Empire",21,"USA","GBC","Nintendo Game Boy Color","","","","","","","","","",""
4845,4466,"Atsumete Asobu Kuma no Pooh-san: Mori no Takaramono",13,"Japan","GBC","Nintendo Game Boy Color","","","","","","","","","",""
4846,4467,"ATV Racing",7,"Europe","GBC","Nintendo Game Boy Color","","","","","","","","","",""
4847,4468,"ATV Racing & Karate Joe",7,"Europe","GBC","Nintendo Game Boy Color","","","","","","","","","",""
4848,4469,"ATV Racing & Karate Joe",7,"Europe","GBC","Nintendo Game Boy Color","","","","","","","","","",""
4849,4470,"Austin Powers: Oh, Behave!",7,"Europe","GBC","Nintendo Game Boy Color","","","","","","","","","",""
4850,4471,"Austin Powers: Oh, Behave!",21,"USA","GBC","Nintendo Game Boy Color","","","","","","","","","",""
4851,4472,"Austin Powers: Welcome to my Underground Lair!",21,"USA","GBC","Nintendo Game Boy Color","","","","","","","","","",""
4852,4473,"Austin Powers: Welcome to my Underground Lair!",7,"Europe","GBC","Nintendo Game Boy Color","","","","","","","","","",""
4853,4474,"Les Aventures de Buzz l'Éclair",9,"France","GBC","Nintendo Game Boy Color","","","","","","","","","",""
4854,4475,"Azarashi Sentai Inazuma: Dokidoki Daisakusen!",13,"Japan","GBC","Nintendo Game Boy Color","","","","","","","","","",""
4855,4476,"Azure Dreams",7,"Europe","GBC","Nintendo Game Boy Color","","","","","","","","","",""
4856,4477,"Azure Dreams",21,"USA","GBC","Nintendo Game Boy Color","","","","","","","","","",""
4857,4478,"B-Daman Bakugaiden: Victory e no Michi",13,"Japan","GBC","Nintendo Game Boy Color","","","","","","","","","",""
4858,4479,"B-Daman Bakugaiden V: Final Mega Tune",13,"Japan","GBC","Nintendo Game Boy Color","","","","","","","","","",""
4859,4480,"Babe and Friends",21,"USA","GBC","Nintendo Game Boy Color","","","","","","","","","",""
4860,4481,"Babe and Friends",7,"Europe","GBC","Nintendo Game Boy Color","","","","","","","","","",""
4861,4482,"Baby Felix: Halloween",7,"Europe","GBC","Nintendo Game Boy Color","","","","","","","","","",""
4862,4483,"Backgammon",7,"Europe","GBC","Nintendo Game Boy Color","","","","","","","","","",""
4863,4484,"Backgammon",13,"Japan","GBC","Nintendo Game Boy Color","","","","","","","","","",""
4864,4485,"Bad Badtz-Maru Robo Battle",13,"Japan","GBC","Nintendo Game Boy Color","","","","","","","","","",""
4865,4486,"Bakukyuu Renpatsu!! Super B-Daman: Gekitan! Rising Valkyrie!!",13,"Japan","GBC","Nintendo Game Boy Color","","","","","","","","","",""
4866,4487,"Bakusou Dekotora Densetsu GB Special: Otoko Dokyou no Tenka Touitsu",13,"Japan","GBC","Nintendo Game Boy Color","","","","","","","","","",""
4867,4488,"Bakusou Senki Metal Walker GB: Koutetsu no Yuujou",13,"Japan","GBC","Nintendo Game Boy Color","","","","","","","","","",""
4868,4489,"Bakuten Shoot Beyblade",13,"Japan","GBC","Nintendo Game Boy Color","","","","","","","","","",""
4869,4490,"Ballistic",21,"USA","GBC","Nintendo Game Boy Color","","","","","","","","","",""
4870,4491,"Balloon Fight GB",13,"Japan","GBC","Nintendo Game Boy Color","","","","","","","","","",""
4871,4492,"Barbie: Aventura Submarina",17,"Spain","GBC","Nintendo Game Boy Color","","","","","","","","","",""
4872,4493,"Barbie: Avventure nell'Oceano",12,"Italy","GBC","Nintendo Game Boy Color","","","","","","","","","",""
4873,4494,"Barbie: Chasse au Tresor Sous-Marine",9,"France","GBC","Nintendo Game Boy Color","","","","","","","","","",""
4874,4495,"Barbie: Diepzee Avontuur",15,"Netherlands","GBC","Nintendo Game Boy Color","","","","","","","","","",""
4875,4496,"Barbie: Fashion Pack Games",7,"Europe","GBC","Nintendo Game Boy Color","","","","","","","","","",""
4876,4496,"Barbie: Fashion Pack Games",21,"USA","GBC","Nintendo Game Boy Color","","","","","","","","","",""
4877,4497,"Barbie: Magic Genie Adventure",21,"USA","GBC","Nintendo Game Boy Color","","","","","","","","","",""
4878,4498,"Barbie: Meeres Abenteuer",10,"Germany","GBC","Nintendo Game Boy Color","","","","","","","","","",""
4879,4499,"Barbie: Ocean Discovery",7,"Europe","GBC","Nintendo Game Boy Color","","","","","","","","","",""
4880,4500,"Barbie: Ocean Discovery",21,"USA","GBC","Nintendo Game Boy Color","","","","","","","","","",""
4881,4501,"Barbie: Pet Rescue",7,"Europe","GBC","Nintendo Game Boy Color","","","","","","","","","",""
4882,4502,"Barbie: Pet Rescue",21,"USA","GBC","Nintendo Game Boy Color","","","","","","","","","",""
4883,4503,"Barbie: Shelly Club",7,"Europe","GBC","Nintendo Game Boy Color","","","","","","","","","",""
4884,4504,"Barca Total 2000",7,"Europe","GBC","Nintendo Game Boy Color","","","","","","","","","",""
