"releaseID","romID","releaseTitleName","regionLocalizedID","TEMPregionLocalizedName","TEMPsystemShortName","TEMPsystemName","releaseCoverFront","releaseCoverBack","releaseCoverCart","releaseCoverDisc","releaseDescription","releaseDeveloper","releasePublisher","releaseGenre","releaseDate","releaseReferenceURL"
14231,13444,"A.P.B.: All Points Bulletin",7,"Europe","Lynx","Atari Lynx","","","","","","","","","",""
14232,13444,"A.P.B.: All Points Bulletin",21,"USA","Lynx","Atari Lynx","","","","","","","","","",""
14233,13445,"Alien vs Predator",21,"USA","Lynx","Atari Lynx","","","","","","","","","",""
14234,13446,"Awesome Golf",7,"Europe","Lynx","Atari Lynx","","","","","","","","","",""
14235,13446,"Awesome Golf",21,"USA","Lynx","Atari Lynx","","","","","","","","","",""
14236,13447,"Baseball Heroes",7,"Europe","Lynx","Atari Lynx","","","","","","","","","",""
14237,13447,"Baseball Heroes",21,"USA","Lynx","Atari Lynx","","","","","","","","","",""
14238,13448,"Basketbrawl",7,"Europe","Lynx","Atari Lynx","","","","","","","","","",""
14239,13448,"Basketbrawl",21,"USA","Lynx","Atari Lynx","","","","","","","","","",""
14240,13449,"Batman Returns",7,"Europe","Lynx","Atari Lynx","","","","","","","","","",""
14241,13449,"Batman Returns",21,"USA","Lynx","Atari Lynx","","","","","","","","","",""
14242,13450,"Battle Wheels",7,"Europe","Lynx","Atari Lynx","","","","","","","","","",""
14243,13450,"Battle Wheels",21,"USA","Lynx","Atari Lynx","","","","","","","","","",""
14244,13451,"Battlezone 2000",7,"Europe","Lynx","Atari Lynx","","","","","","","","","",""
14245,13451,"Battlezone 2000",21,"USA","Lynx","Atari Lynx","","","","","","","","","",""
14246,13452,"Bill & Ted's Excellent Adventure",7,"Europe","Lynx","Atari Lynx","","","","","","","","","",""
14247,13452,"Bill & Ted's Excellent Adventure",21,"USA","Lynx","Atari Lynx","","","","","","","","","",""
14248,13453,"Block Out",7,"Europe","Lynx","Atari Lynx","","","","","","","","","",""
14249,13453,"Block Out",21,"USA","Lynx","Atari Lynx","","","","","","","","","",""
14250,13454,"Blue Lightning",21,"USA","Lynx","Atari Lynx","","","","","","","","","",""
14251,13455,"Blue Lightning",7,"Europe","Lynx","Atari Lynx","","","","","","","","","",""
14252,13455,"Blue Lightning",21,"USA","Lynx","Atari Lynx","","","","","","","","","",""
14253,13456,"Bubble Trouble",7,"Europe","Lynx","Atari Lynx","","","","","","","","","",""
14254,13456,"Bubble Trouble",21,"USA","Lynx","Atari Lynx","","","","","","","","","",""
14255,13457,"California Games",7,"Europe","Lynx","Atari Lynx","","","","","","","","","",""
14256,13457,"California Games",21,"USA","Lynx","Atari Lynx","","","","","","","","","",""
14257,13458,"Centipede",21,"USA","Lynx","Atari Lynx","","","","","","","","","",""
14258,13459,"Checkered Flag",7,"Europe","Lynx","Atari Lynx","","","","","","","","","",""
14259,13459,"Checkered Flag",21,"USA","Lynx","Atari Lynx","","","","","","","","","",""
14260,13460,"Chip's Challenge",7,"Europe","Lynx","Atari Lynx","","","","","","","","","",""
14261,13460,"Chip's Challenge",21,"USA","Lynx","Atari Lynx","","","","","","","","","",""
14262,13461,"Crystal Mines II",7,"Europe","Lynx","Atari Lynx","","","","","","","","","",""
14263,13461,"Crystal Mines II",21,"USA","Lynx","Atari Lynx","","","","","","","","","",""
14264,13462,"Daemonsgate",21,"USA","Lynx","Atari Lynx","","","","","","","","","",""
14265,13463,"Desert Strike: Return to the Gulf",7,"Europe","Lynx","Atari Lynx","","","","","","","","","",""
