"releaseID","romID","releaseTitleName","regionLocalizedID","TEMPregionLocalizedName","TEMPsystemShortName","TEMPsystemName","releaseCoverFront","releaseCoverBack","releaseCoverCart","releaseCoverDisc","releaseDescription","releaseDeveloper","releasePublisher","releaseGenre","releaseDate","releaseReferenceURL"
17343,15861,"007 Shitou: The Duel",13,"Japan","MD","Sega Genesis/Mega Drive","","","","","","","","","",""
17344,15862,"10 Super Jogos",3,"Brazil","MD","Sega Genesis/Mega Drive","","","","","","","","","",""
17345,15863,"16 Zhang Ma Jiang",5,"China","MD","Sega Genesis/Mega Drive","","","","","","","","","",""
17346,15864,"16t",13,"Japan","MD","Sega Genesis/Mega Drive","","","","","","","","","",""
17347,15865,"2020 Toshi Super Baseball",13,"Japan","MD","Sega Genesis/Mega Drive","","","","","","","","","",""
17348,15866,"3 Ninjas Kick Back",21,"USA","MD","Sega Genesis/Mega Drive","","","","","","","","","",""
17349,15867,"6-Pak",21,"USA","MD","Sega Genesis/Mega Drive","","","","","","","","","",""
17350,15868,"688 Attack Sub",7,"Europe","MD","Sega Genesis/Mega Drive","","","","","","","","","",""
17351,15868,"688 Attack Sub",21,"USA","MD","Sega Genesis/Mega Drive","","","","","","","","","",""
17352,15869,"A Ressha de Ikou MD",13,"Japan","MD","Sega Genesis/Mega Drive","","","","","","","","","",""
17353,15870,"Aa Harimanada",13,"Japan","MD","Sega Genesis/Mega Drive","","","","","","","","","",""
17354,15871,"Aaahh!!! Real Monsters",21,"USA","MD","Sega Genesis/Mega Drive","","","","","","","","","",""
17355,15872,"Aaahh!!! Real Monsters",21,"USA","MD","Sega Genesis/Mega Drive","","","","","","","","","",""
17356,15873,"Aaahh!!! Real Monsters",7,"Europe","MD","Sega Genesis/Mega Drive","","","","","","","","","",""
17357,15874,"Action 52",21,"USA","MD","Sega Genesis/Mega Drive","","","","","","","","","",""
17358,15875,"Action 52",21,"USA","MD","Sega Genesis/Mega Drive","","","","","","","","","",""
17359,15876,"Action Replay",7,"Europe","MD","Sega Genesis/Mega Drive","","","","","","","","","",""
17360,15877,"Addams Family Values",7,"Europe","MD","Sega Genesis/Mega Drive","","","","","","","","","",""
17361,15878,"The Addams Family",7,"Europe","MD","Sega Genesis/Mega Drive","","","","","","","","","",""
17362,15878,"The Addams Family",21,"USA","MD","Sega Genesis/Mega Drive","","","","","","","","","",""
17363,15879,"The Addams Family",21,"USA","MD","Sega Genesis/Mega Drive","","","","","","","","","",""
17364,15880,"The Addams Family",21,"USA","MD","Sega Genesis/Mega Drive","","","","","","","","","",""
17365,15881,"Advanced Busterhawk Gleylancer",13,"Japan","MD","Sega Genesis/Mega Drive","","","","","","","","","",""
17366,15882,"Advanced Daisenryaku: Deutsch Dengeki Sakusen",13,"Japan","MD","Sega Genesis/Mega Drive","","","","","","","","","",""
17367,15883,"The Adventures of Batman & Robin",7,"Europe","MD","Sega Genesis/Mega Drive","","","","","","","","","",""
