"releaseID","romID","releaseTitleName","regionLocalizedID","TEMPregionLocalizedName","TEMPsystemShortName","TEMPsystemName","releaseCoverFront","releaseCoverBack","releaseCoverCart","releaseCoverDisc","releaseDescription","releaseDeveloper","releasePublisher","releaseGenre","releaseDate","releaseReferenceURL"
15914,14772,"20 em 1",3,"Brazil","SMS","Sega Master System","","","","","","","","","",""
15915,14773,"4 PAK All Action",2,"Australia","SMS","Sega Master System","","","","","","","","","",""
15916,14774,"94 Super World Cup Soccer",14,"Korea","SMS","Sega Master System","","","","","","","","","",""
15917,14775,"Ace of Aces",7,"Europe","SMS","Sega Master System","","","","","","","","","",""
15918,14776,"Action Fighter",7,"Europe","SMS","Sega Master System","","","","","","","","","",""
15919,14776,"Action Fighter",13,"Japan","SMS","Sega Master System","","","","","","","","","",""
15920,14777,"Action Fighter",7,"Europe","SMS","Sega Master System","","","","","","","","","",""
15921,14777,"Action Fighter",21,"USA","SMS","Sega Master System","","","","","","","","","",""
15922,14778,"The Addams Family",7,"Europe","SMS","Sega Master System","","","","","","","","","",""
15923,14779,"Aerial Assault",21,"USA","SMS","Sega Master System","","","","","","","","","",""
15924,14780,"Aerial Assault",7,"Europe","SMS","Sega Master System","","","","","","","","","",""
15925,14781,"After Burner",7,"Europe","SMS","Sega Master System","","","","","","","","","",""
15926,14781,"After Burner",13,"Japan","SMS","Sega Master System","","","","","","","","","",""
15927,14781,"After Burner",21,"USA","SMS","Sega Master System","","","","","","","","","",""
15928,14782,"Agigongnyong Dooly",14,"Korea","SMS","Sega Master System","","","","","","","","","",""
15929,14783,"Air Rescue",7,"Europe","SMS","Sega Master System","","","","","","","","","",""
15930,14784,"Aladdin",7,"Europe","SMS","Sega Master System","","","","","","","","","",""
15931,14785,"Aleste",13,"Japan","SMS","Sega Master System","","","","","","","","","",""
15932,14786,"Alex Kidd: High-Tech World",7,"Europe","SMS","Sega Master System","","","","","","","","","",""
15933,14786,"Alex Kidd: High-Tech World",21,"USA","SMS","Sega Master System","","","","","","","","","",""
15934,14787,"Alex Kidd: The Lost Stars",7,"Europe","SMS","Sega Master System","","","","","","","","","",""
15935,14787,"Alex Kidd: The Lost Stars",13,"Japan","SMS","Sega Master System","","","","","","","","","",""
15936,14787,"Alex Kidd: The Lost Stars",21,"USA","SMS","Sega Master System","","","","","","","","","",""
15937,14788,"Alex Kidd BMX Trial",13,"Japan","SMS","Sega Master System","","","","","","","","","",""
15938,14789,"Alex Kidd in Miracle World",7,"Europe","SMS","Sega Master System","","","","","","","","","",""
15939,14789,"Alex Kidd in Miracle World",21,"USA","SMS","Sega Master System","","","","","","","","","",""
15940,14790,"Alex Kidd in Miracle World",7,"Europe","SMS","Sega Master System","","","","","","","","","",""
15941,14790,"Alex Kidd in Miracle World",21,"USA","SMS","Sega Master System","","","","","","","","","",""
15942,14791,"Alex Kidd in Shinobi World",7,"Europe","SMS","Sega Master System","","","","","","","","","",""
15943,14791,"Alex Kidd in Shinobi World",21,"USA","SMS","Sega Master System","","","","","","","","","",""
15944,14792,"Alex Kidd no Miracle World",13,"Japan","SMS","Sega Master System","","","","","","","","","",""
15945,14793,"Alf",21,"USA","SMS","Sega Master System","","","","","","","","","",""
15946,14794,"Alien 3",7,"Europe","SMS","Sega Master System","","","","","","","","","",""
15947,14795,"Alien Storm",7,"Europe","SMS","Sega Master System","","","","","","","","","",""
15948,14796,"Alien Syndrome",20,"Unknown","SMS","Sega Master System","","","","","","","","","",""
15949,14797,"Alien Syndrome",13,"Japan","SMS","Sega Master System","","","","","","","","","",""
15950,14798,"Alien Syndrome",7,"Europe","SMS","Sega Master System","","","","","","","","","",""
15951,14798,"Alien Syndrome",21,"USA","SMS","Sega Master System","","","","","","","","","",""
15952,14799,"Altered Beast",7,"Europe","SMS","Sega Master System","","","","","","","","","",""
15953,14799,"Altered Beast",21,"USA","SMS","Sega Master System","","","","","","","","","",""
15954,14800,"American Baseball",7,"Europe","SMS","Sega Master System","","","","","","","","","",""
15955,14801,"American Pro Football",7,"Europe","SMS","Sega Master System","","","","","","","","","",""
15956,14802,"Ancient Ys Vanished Omen",21,"USA","SMS","Sega Master System","","","","","","","","","",""
15957,14803,"Andre Agassi Tennis",7,"Europe","SMS","Sega Master System","","","","","","","","","",""
15958,14804,"Anmitsu Hime",13,"Japan","SMS","Sega Master System","","","","","","","","","",""
15959,14805,"Arcade Smash Hits",7,"Europe","SMS","Sega Master System","","","","","","","","","",""
