"releaseID","romID","releaseTitleName","regionLocalizedID","TEMPregionLocalizedName","TEMPsystemShortName","TEMPsystemName","releaseCoverFront","releaseCoverBack","releaseCoverCart","releaseCoverDisc","releaseDescription","releaseDeveloper","releasePublisher","releaseGenre","releaseDate","releaseReferenceURL"
13975,13189,"3-D Tetris",21,"USA","VB","Nintendo Virtual Boy","http://image.gamespotcdn.net/gamespot/images/box/4/9/8/582498_36563_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/4/9/8/582498_36563_back.jpg","","","The mesmerizing force of Tetris returns with virtual style! This thrilling animated puzzler takes dexterity and split-second timing to the extreme with dimensional blocks and challenging planes. 3-D Tetris propels players at a demanding pace where quick response and strategy rule. Tetris devotees of all levels will crave this latest sensation of brain-teasing fun!","T&E Soft","Nintendo","Puzzle","03/22/96","http://www.gamefaqs.com/virtualboy/582498-3-d-tetris"
13976,13190,"Bound High (Proto)",20,"Unknown","VB","Nintendo Virtual Boy","","","","","","Japan System Supply","Nintendo","Puzzle","",""
13977,13191,"Galactic Pinball",13,"Japan","VB","Nintendo Virtual Boy","http://image.gamespotcdn.net/gamespot/images/box/9/1/4/563914_4601_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/9/1/4/563914_4601_back.jpg","","","Prepare to enter the vast expanse of the Milky Way. Put your pinball skills to an interstellar test with four incredible space tables.
Blast your pinball at rotating planets and turn them into dust in the Cosmic world. Send your puck flying through galactic formations in the deep-space Colony. Defeat an evil skeleton and hit the ultimate UFO jackpot! Knock down multiple rings and destroy wicked assailants in an Alien place. Defy arduous obstacles and save the world from impending devastation!","Intelligent Systems","Nintendo","Pinball","07/21/95","http://www.gamefaqs.com/virtualboy/563914-galactic-pinball"
13978,13191,"Galactic Pinball",21,"USA","VB","Nintendo Virtual Boy","http://image.gamespotcdn.net/gamespot/images/box/9/1/4/563914_54844_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/9/1/4/563914_54844_back.jpg","","","Prepare to enter the vast expanse of the Milky Way. Put your pinball skills to an interstellar test with four incredible space tables.
Blast your pinball at rotating planets and turn them into dust in the Cosmic world. Send your puck flying through galactic formations in the deep-space Colony. Defeat an evil skeleton and hit the ultimate UFO jackpot! Knock down multiple rings and destroy wicked assailants in an Alien place. Defy arduous obstacles and save the world from impending devastation!","Intelligent Systems","Nintendo","Pinball","08/14/95","http://www.gamefaqs.com/virtualboy/563914-galactic-pinball"
13979,13192,"Golf",21,"USA","VB","Nintendo Virtual Boy","http://image.gamespotcdn.net/gamespot/images/box/9/1/6/563916_29137_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/9/1/6/563916_29137_back.jpg","","","Tee off for 18 holes of realistic 3-D links! Virtual Boy Golf elevates the game to an incredible new level!
Determine your strategy as you ponder the conditions. Check your position and the distance to the pin. Select a club and adjust your swing. Consider the wind factor carefully or you could end up out of bounds! Each dimensional fairway provides harrowing hazards to challenge players of all handicaps. Swing into action and go for a hole in one!","T&E Soft","Nintendo","Sports","11/01/95","http://www.gamefaqs.com/virtualboy/563916-golf"
13980,13193,"Innsmouth no Yakata",13,"Japan","VB","Nintendo Virtual Boy","http://image.gamespotcdn.net/gamespot/images/box/7/2/9/579729_20417_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/7/2/9/579729_20417_back.jpg","","","Innsmouth no Yakata is an Action game, developed by Betop and published by I'Max, which was released in Japan in 1995.","Betop","I'Max","Action","0/13/95","http://www.gamefaqs.com/virtualboy/579729-innsmouth-no-yakata"
13981,13194,"Jack Bros.",21,"USA","VB","Nintendo Virtual Boy","http://image.gamespotcdn.net/gamespot/images/box/9/1/7/563917_54846_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/9/1/7/563917_54846_back.jpg","","","The portal between Earth and another mysterious dimension has opened, and the intrepid Jack Brothers have come through for an adventure in our world. Having lost track of time, they now have only one hour to return to their home or be banished forever. Help them battle hoards of loathsome enemies through six electrifying 3-D levels, each with many floors to explore and conquer. This is one phenomenal adventure you can't afford to miss!","Atlus","Atlus","Action","10/01/95","http://www.gamefaqs.com/virtualboy/563917-jack-bros"
13982,13195,"Jack Bros. no Meiro de Hiihoo!",13,"Japan","VB","Nintendo Virtual Boy","http://image.gamespotcdn.net/gamespot/images/box/9/1/7/563917_4523_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/9/1/7/563917_4523_back.jpg","","","The portal between Earth and another mysterious dimension has opened, and the intrepid Jack Brothers have come through for an adventure in our world. Having lost track of time, they now have only one hour to return to their home or be banished forever. Help them battle hoards of loathsome enemies through six electrifying 3-D levels, each with many floors to explore and conquer. This is one phenomenal adventure you can't afford to miss!","Atlus","Atlus","Action","09/29/95","http://www.gamefaqs.com/virtualboy/563917-jack-bros"
13983,13196,"Mario Clash",13,"Japan","VB","Nintendo Virtual Boy","http://image.gamespotcdn.net/gamespot/images/box/9/1/8/563918_4602_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/9/1/8/563918_4602_back.jpg","","","Mario finds himself pitted against a host of evil and nasty enemies. You must help him outwit the Spikes, Para-Goombahs, and other beasts and evils that lurk inside a tower that reaches to the clouds. After stunning a Koopa, he uses it as ammo against his enemies! The attaack is relentless!
But watch out, there are also creatures made of fire and ice that must be avoided -- hazards at every turn. Even the narrow ledges on which Mario teeters and the pipes he races through must be traversed with caution!
The pace gets hotter at each level, and the action jumps right out at you! Hold on! This 3-D Virtual Boy game offers a white-knuckled adventure that will keep you on the edge of your seat!","Nintendo","Nintendo","Action","09/28/95","http://www.gamefaqs.com/virtualboy/563918-mario-clash"
13984,13196,"Mario Clash",21,"USA","VB","Nintendo Virtual Boy","http://image.gamespotcdn.net/gamespot/images/box/9/1/8/563918_54847_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/9/1/8/563918_54847_back.jpg","","","Mario finds himself pitted against a host of evil and nasty enemies. You must help him outwit the Spikes, Para-Goombahs, and other beasts and evils that lurk inside a tower that reaches to the clouds. After stunning a Koopa, he uses it as ammo against his enemies! The attaack is relentless!
But watch out, there are also creatures made of fire and ice that must be avoided -- hazards at every turn. Even the narrow ledges on which Mario teeters and the pipes he races through must be traversed with caution!
The pace gets hotter at each level, and the action jumps right out at you! Hold on! This 3-D Virtual Boy game offers a white-knuckled adventure that will keep you on the edge of your seat!","Nintendo","Nintendo","Action","10/01/95","http://www.gamefaqs.com/virtualboy/563918-mario-clash"
